id,fase,rho_tercio1,p_tercio1,n_tercio1,rho_tercio2,p_tercio2,n_tercio2,rho_tercio3,p_tercio3,n_tercio3,rho_lockbox,p_lockbox,n_lockbox,n_bloques_validos,n_bloques_signo_positivo,rho_min,rho_max,rho_media,rho_residual_total,p_residual_total,n_residual_total
R01_sn_ext,Reducción,-0.06505850585058506,0.5201673867660576,100,-0.005376537653765376,0.9576603675054322,100,0.12934095850148866,0.20432660336855124,98,0.044450844854070665,0.7294001737744276,63,4,2,-0.06505850585058506,0.12934095850148866,0.025839189962802222,0.050458722675329276,0.33974682034927384,360
R02_feo_ret,Reducción,0.2744314431443144,0.005726025144474786,100,0.2865526552655266,0.003847860457168651,100,0.319613928045445,0.0014170007292739397,97,-0.13628072196620586,0.2868704033684845,63,4,3,-0.13628072196620586,0.319613928045445,0.18607932612227002,0.21085832256993614,5.6583378609483754e-05,359
R03_sn_net_l03,Reducción,-0.05249324932493248,0.603976500289519,100,0.017269726972697266,0.8645864711501493,100,0.09346728382074478,0.36250203251460755,97,0.041474654377880185,0.7468908972628707,63,4,3,-0.05249324932493248,0.09346728382074478,0.024929603961597435,0.04970095910946505,0.3477333039373141,359
R04_sn_net_l06,Reducción,-0.03716771677167716,0.7135211841060655,100,0.04027602760276028,0.6907347994085701,100,0.11647906585314537,0.25587856295833533,97,0.0424347158218126,0.7412343377675514,63,4,3,-0.03716771677167716,0.11647906585314537,0.04050552312651027,0.06479850401747042,0.22066485609767048,359
R05_sn_net_l10,Reducción,-0.0030483048304830477,0.9759874073330237,100,0.06334233423342334,0.5312566796293732,100,0.13900431306543234,0.1744991200620342,97,0.046610983102918585,0.7167901678063662,63,4,3,-0.0030483048304830477,0.13900431306543234,0.061477331392822805,0.0828620780877982,0.11706021424411824,359
R06_frac_sn,Reducción,-0.12375103854351045,0.23470283521303184,94,0.021470147014701468,0.8320863076688739,100,0.022155066337687837,0.8285695948726289,98,0.3080837173579109,0.014032046840071321,63,4,3,-0.12375103854351045,0.3080837173579109,0.056989473041697436,0.046659502798709965,0.3814296497662933,354
R07_kapp_sn,Reducción,-0.21420520587510128,0.04506819499041199,88,-0.04058805880588059,0.688462126160585,100,-0.03727789147524051,0.7155413360775466,98,0.3509024577572965,0.00480699613579811,63,4,1,-0.21420520587510128,0.3509024577572965,0.014707825400268534,-0.024931470418313045,0.6430137173773247,348
R08_feo_ret_frac,Reducción,0.28519601282096446,0.007074822733071227,88,0.31609960996099606,0.0013561681538237895,100,0.37187996098158094,0.00016302006791282916,98,-0.061011904761904774,0.6347780690262769,63,4,3,-0.061011904761904774,0.37187996098158094,0.2280409197504092,0.2407930325482412,5.551479343021742e-06,348
R09_selectividad,Reducción,0.047105890364317345,0.6611272719508564,89,-0.011377137713771376,0.9105501712785189,100,0.06475363941769317,0.532995401260467,95,-0.026881720430107527,0.8343450964609209,63,4,2,-0.026881720430107527,0.06475363941769317,0.018400167909532902,0.05220940195391801,0.3328959581646498,346
R10_log_selectividad,Reducción,0.047105890364317345,0.6611272719508564,89,-0.011377137713771376,0.9105501712785189,100,0.06475363941769317,0.532995401260467,95,-0.026881720430107527,0.8343450964609209,63,4,2,-0.026881720430107527,0.06475363941769317,0.018400167909532902,0.05220940195391801,0.3328959581646498,346
