id,fase,familia,n_dev,n_lockbox,sd_target_dev,r2_oof_A,r2_oof_B,r2_oof_C,mae_oof_B,r2_lockbox_A,r2_lockbox_B,ganancia_control,n_winsor,sd_ruido,sd_target,r2_max,aplica_mc,predecible,trivial,sensible_palancas,ruido_puro
F07_T_media,Fusión,termico,1794,378,76.2638380359463,0.9663334485050299,0.9663084837690273,0.5621291475341481,10.363867214960441,0.8126946949137717,0.8170692164649721,-2.496473600255289e-05,18,,,,False,True,True,False,False
F08_T_ventana,Fusión,termico,1794,378,48.415888240456255,0.9170746161655948,0.9172342865896189,0.3677381102249807,10.362826453339316,0.7645376567965053,0.7836160638182416,0.00015967042402409426,18,,,,False,True,True,False,False
F10_irf_next,Fusión,matriz,1780,377,0.0397949605958181,0.7464675182582552,0.7442010433849302,0.20110792256019827,0.013084031362887287,0.6694259985754858,0.661987005024107,-0.002266474873324986,18,,,,False,True,False,False,False
F01_sn_ext,Fusión,conservacion,1749,374,2995.2287358908015,0.7179731574374089,0.7398212441245207,0.6323100917579056,998.3147235603676,0.6783532723184083,0.6872883128147993,0.0218480866871118,18,202.92910766601562,2995.2287358908015,0.9954098306996303,True,True,False,False,True
F05_ley_feo_next,Fusión,matriz,1781,377,1.7439699198978096,0.718701799562758,0.7207535094679467,0.2017169261188244,0.5850844654309313,0.6448209056134158,0.660832200006956,0.002051709905188659,18,0.30027663707733154,1.7439699198978096,0.9703540680823994,True,True,False,False,True
F09_T_gas_bhf,Fusión,polvo,1793,378,4.955775627019858,0.35949646617656805,0.6848448546684329,0.46645701942696793,1.8820224737478988,0.07633954438596846,0.5931546561072558,0.32534838849186487,18,,,,False,True,False,True,False
F16_sn_ret_frac,Fusión,conservacion,1770,375,0.16201814448663993,0.5410421252020267,0.5544479075332662,0.5101387772469628,0.07490964950834396,-0.05078774951459142,-0.0033270320196343572,0.013405782331239569,18,0.011956680566072464,0.16201814448663993,0.9945537954906053,True,True,False,False,True
F11_log_sn_feo_next,Fusión,conservacion,1780,377,0.2746175451234388,0.5401135487064027,0.5438252735236169,0.32640234196964835,0.1325288362765758,0.31503135672009286,0.29169219531378143,0.003711724817214157,18,0.05100930854678154,0.2746175451234388,0.9654981556228227,True,True,False,False,True
F12_d_log_sn_feo,Fusión,conservacion,1772,375,0.2635827634787283,0.48963956169736333,0.5015393352726736,0.40729111066589496,0.13094417132667466,0.3048711665061141,0.29856543912849276,0.011899773575310246,18,0.0723521038889885,0.2635827634787283,0.9246525923918769,True,True,False,False,True
F04_feo_ret_por_fe,Fusión,matriz,1745,375,0.2056162583312992,0.49162959417785357,0.49218992394934136,0.1991841883698997,0.09141921275973722,-0.4002043077590769,-0.26247153246180543,0.0005603297714877886,18,0.05289050191640854,0.2056162583312992,0.9338331479777822,True,True,False,False,True
F14_sn_ret_por_c,Fusión,conservacion,1749,374,0.8395049941813177,0.4391094936643114,0.4596004650964959,0.4847424312620048,0.43746298358718677,0.47560100459074717,0.48042755610151977,0.02049097143218448,18,0.08662040531635284,0.8395049941813177,0.9893538187685517,True,True,False,False,True
F15_dT,Fusión,termico,1794,378,17.393571737870616,0.4078444698209256,0.40159104551576075,0.10531999354015775,9.881865078721187,0.05087767598872328,0.07645094011909692,-0.006253424305164845,18,,,,False,True,False,False,False
F13_masa_por_carga,Fusión,matriz,1741,374,0.2107167136487404,0.38153115214480293,0.38004572080242216,0.349154495328286,0.11244630593340584,0.19971602138172118,0.19549502084115822,-0.001485431342380772,18,0.05278710648417473,0.2107167136487404,0.9372436400972141,True,True,False,False,True
F03_feo_formado,Fusión,matriz,1771,375,806.2072077741796,0.36064989606253783,0.3748289606269605,0.29071202466837553,415.6375326523267,0.23669115238250016,0.27932184176915054,0.014179064564422639,18,254.14190673828125,806.2072077741796,0.9006291019388802,True,True,False,False,True
F02_frac_sn_ext,Fusión,conservacion,1746,374,0.2078049201482578,0.3261717290987167,0.34533853214152144,0.34296890291586746,0.11907669574728974,0.1990438451085269,0.13790583071629825,0.019166803042804714,18,0.02505938895046711,0.2078049201482578,0.9854578271708991,True,True,False,False,True
F06_B2_ventana,Fusión,matriz,1782,377,0.05134362929131077,0.2624196634464686,0.26565477943123295,0.06332515039656073,0.03073720278352641,0.34102031627974605,0.39491358502175955,0.0032351159847643363,18,,,,False,True,False,False,False
R03_sn_net_l03,Reducción,metal-equivalente,1062,238,3636.264046391589,0.9771824774312466,0.977867747838067,0.9699391700142914,315.9186011550784,0.9864534345909979,0.9867095816885728,0.0006852704068203153,12,113.40704345703125,3636.264046391589,0.9990273216864103,True,True,True,False,True
R01_sn_ext,Reducción,extraccion,1076,238,3780.0053436718104,0.9754100630375023,0.9756676273609276,0.9695902876512299,343.3458070178206,0.9863893179325363,0.9864958930952186,0.00025756432342527447,12,122.09906768798828,3780.0053436718104,0.9989566263416568,True,True,True,False,True
R12_d_avance,Reducción,extraccion,1076,238,0.0753764183198835,0.9742559516887952,0.9745210386685379,0.9663272328929803,0.006985801403344382,0.9836018754971678,0.9829995592330806,0.00026508697974270135,12,0.0024355542846024036,0.0753764183198835,0.998955941981317,True,True,True,False,True
R04_sn_net_l06,Reducción,metal-equivalente,1062,238,3537.1690355518517,0.9726446095718643,0.9735589314544992,0.9652844245914204,356.3465132656215,0.9833117612331443,0.9847763684395091,0.0009143218826349608,12,172.5330810546875,3537.1690355518517,0.9976207880814898,True,True,True,False,True
R05_sn_net_l10,Reducción,metal-equivalente,1062,238,3425.282389411668,0.9573510666983195,0.9586571579796948,0.9479306741121568,468.67838996225,0.9730439419023081,0.9744930240591572,0.0013060912813752656,12,284.9634094238281,3425.282389411668,0.9930787357118623,True,True,True,False,True
R18_T_ventana,Reducción,termico,1196,252,40.042772149218365,0.8933515326095435,0.8949617160478022,0.04739511803869667,9.867529342689316,0.8470797726783692,0.8521243629613942,0.0016101834382586944,12,,,,False,True,True,False,False
R15_d_log_sn_feo,Reducción,selectividad,1087,242,0.6059488213729876,0.762525921535717,0.76315461616686,0.7354998993478686,0.2190525628913641,0.8122344770337788,0.8178787977707647,0.0006286946311430119,12,0.04521368443965912,0.6059488213729876,0.9944324015189526,True,True,False,False,True
R11_util_carbon,Reducción,selectividad,1008,226,0.49796954424141987,0.568729201180102,0.6883250416313753,0.6302566344961793,0.16037770849206537,0.5437017012226764,0.6989564903307234,0.11959584045127336,12,0.06639669090509415,0.49796954424141987,0.982221819693102,True,True,False,True,True
R14_log_sn_feo_next,Reducción,selectividad,1091,242,0.509405131320764,0.6624332200208329,0.6741753606584939,0.5813545746013735,0.21883421181466425,0.59528973901155,0.6048326362932339,0.011742140637660992,12,0.036778807640075684,0.509405131320764,0.99478722883748,True,True,False,False,True
R06_frac_sn,Reducción,extraccion,1043,240,0.297652925201902,0.640331084747735,0.6418678510461104,0.6027504499602285,0.1278948747321784,0.7121683056889307,0.7047214752067623,0.0015367662983754027,12,0.031651683151721954,0.297652925201902,0.9886923252203387,True,True,False,False,True
R19_T_gas_bhf,Reducción,polvo,1194,252,8.15168873998638,0.24574692532079667,0.6356326620992157,0.5001458578195582,3.3594986461378507,0.18723946450815077,0.5402141342976974,0.389885736778419,12,,,,False,True,False,True,False
