id,fase,variante,palanca,role,theta_1sd,theta_significativo,sign_theta,rho_target_rendimiento,rho_p,sign_rho,sign_chain,exp19_variable,exp19_coef_por_sd,exp19_p,exp19_sig,sign_exp19,estado_cadena,valor_heatmap
R03_sn_net_l03,Reducción,cinetica,exceso_o2_combustion_pct,o2,6.055748963446065,False,1.0,0.016265044788534723,0.7801349768422771,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R03_sn_net_l03,Reducción,cinetica,tasa_aire_nm3_min,aire,4.165305187635378,False,1.0,0.016265044788534723,0.7801349768422771,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,primitiva,tasa_feed_Carbon_kg_min,carbon,152.20471444269285,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,carbon_total_R,0.406474938261433,0.8742278035365605,False,1.0,indeterminado,0
R04_sn_net_l06,Reducción,primitiva,tasa_gn_nm3_min,gn,-21.075317584494375,False,-1.0,0.03496235711000811,0.5483909135235983,1.0,-1.0,gn_total_R,-1.042515828888145,0.0312010221603329,True,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,primitiva,tasa_o2_nm3_min,o2,39.124730215495205,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,primitiva,tasa_aire_nm3_min,aire,10.769449030462226,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,cinetica,Cx_sn_v4,carbon,427.9811756066518,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,carbon_total_R,0.406474938261433,0.8742278035365605,False,1.0,indeterminado,0
R04_sn_net_l06,Reducción,cinetica,tasa_gn_nm3_min,gn,20.50271332193043,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,gn_total_R,-1.042515828888145,0.0312010221603329,True,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,cinetica,exceso_o2_combustion_pct,o2,11.579981833022611,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R04_sn_net_l06,Reducción,cinetica,tasa_aire_nm3_min,aire,3.3343719090300694,False,1.0,0.03496235711000811,0.5483909135235983,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
