kpi,modelo,n_dev,r2_oof_mean,r2_oof_sd,rho_oof_mean,rho_oof_sd,r2_lockbox,rho_lockbox,p_lockbox,n_lockbox
K0,HGB,299,0.14781355027593024,0.04002634694254736,0.43251793824306234,0.03871842100285707,0.1219529714916262,0.48175883256528423,6.39956490834606e-05,63
K0,Ridge,299,0.206908282716084,0.023047745312983422,0.47216643098172134,0.011582087719958386,0.1081777873872618,0.3466781874039939,0.005378280536249533,63
K1,HGB,299,0.09825603638220852,0.010129175118621258,0.38717095762908427,0.023176618970861273,-0.015638335485154586,0.3964093701996928,0.0012987230444549492,63
K1,Ridge,299,0.14734705306056428,0.01105731023225158,0.40654426013632317,0.008312980644420502,-0.08787132450507862,0.5056643625192012,2.3648651423484834e-05,63
K2,HGB,299,0.09763829809238345,0.023751718724589727,0.38720268157093374,0.0008878809065982376,-0.09737585078374589,0.3904569892473118,0.0015577826514516272,63
K2,Ridge,299,0.15092321788336838,0.012614691850818656,0.4215549220743268,0.006599550002059873,-0.15894920254588207,0.45962941628264214,0.00015093194990773698,63
K3,HGB,298,0.26388640707561556,0.023792168913959865,0.5141974389129335,0.01650896969910042,-0.5418350021654752,0.35670217320138,0.004430318423990279,62
K3,Ridge,298,0.09609316135994055,0.022565042168116823,0.34714401011453827,0.026175036534113558,-0.06878119806391947,0.32190073279443987,0.01073003297411642,62
K3b,HGB,299,0.2236304163086743,0.013775158572253744,0.4880414206938864,0.020179384339778825,-0.4843920241035693,0.3717609730301427,0.0031777626683464548,61
K3b,Ridge,299,0.06552168222605488,0.02907485512779808,0.2918081898647991,0.0463878876216544,-0.3191484290529607,0.3959280803807509,0.0015859616585365078,61
K4,HGB,297,0.3190985922783663,0.016038784591322963,0.5708796044366514,0.011437987464241715,-1.4992801134327678,0.2479111581173981,0.05405684347476844,61
K4,Ridge,297,0.015933676803908076,0.09017242591105856,0.28651607678453317,0.0702543303944847,-0.44294039263257434,0.275462718138551,0.03165950651076946,61
K5_k1,HGB,299,-0.043948484317639425,0.009679749215983196,0.2131760603952025,0.013819855002999471,0.056609916449743336,0.3474855833396288,0.005653609187923456,62
K5_k1,Ridge,299,-0.0047183225353855844,0.018411897343490916,0.13011859067884746,0.045143086837505855,0.06394542333149289,0.42323285739467653,0.0006095818587656998,62
K5_k2,HGB,299,-0.08054586175890477,0.0520257331755832,0.13064547746777103,0.058399394598026434,-0.6206908670554563,0.15409836065573768,0.2357225889811734,61
K5_k2,Ridge,299,-0.038505559823318304,0.021268626193323197,-0.009268628463259335,0.03617461041777896,-0.23893979557078904,0.24516129032258063,0.05686697408138596,61
K5_k3,HGB,299,-0.006420776087340818,0.05420139663119516,0.20914053556598056,0.06590316015732517,-0.3908031113183288,0.2348430119477633,0.07089154291493206,60
K5_k3,Ridge,299,0.028834693012877593,0.01698582538077908,0.212255617157864,0.02215968693556714,-0.18832545970506254,0.10141706029452627,0.440683846912638,60
K6,HGB,299,0.1317723598522654,0.018999304748629906,0.39851301504642617,0.028771290179833944,0.04927048358916497,0.5754608294930876,8.070914504819642e-07,63
K6,Ridge,299,0.17685453736859466,0.010495332192449185,0.4316717170583526,0.010591690311310829,-0.2116657080910178,0.3331413210445469,0.007631448741639756,63
K7,HGB,299,0.16281782633019873,0.021586258418950205,0.43604602964392863,0.024770216496414213,0.040887053252419814,0.5925499231950845,3.118423617324154e-07,63
K7,Ridge,299,0.19538714651011416,0.007078977308650974,0.4552982723919404,0.0045411688695078676,-0.17483502910822746,0.3462461597542243,0.005439947475613352,63
