modelo,muestra,regressor,n,coef,ci_low,ci_high,p,r2_adj,vif
mejor_R_mejor_F,dev,R08_feo_ret_frac,284,1.3185090323571236,0.5757016541171663,2.061316410597081,0.0005032801224932716,0.1539240646032186,1.0192987573518082
mejor_R_mejor_F,dev,F10_irf_next,284,1.295566445348748,0.823900548339404,1.7672323423580922,7.300803145037137e-08,0.1539240646032186,1.244865423346793
mejor_R_mejor_F,dev,feed_sn_total_t,284,0.33466244287278696,-0.36948156037566054,1.0388064461212345,0.3515830923408142,0.1539240646032186,1.642377649455805
mejor_R_mejor_F,dev,ley_sn_conc_batch_pct,284,-0.9474057715740566,-1.6833017076620669,-0.21150983548604618,0.011626142925839165,0.1539240646032186,1.5555519037568057
mejor_R_mejor_F,dev,espesor_ladrillo_norm_mm,284,0.9650366268486928,0.13674498577062533,1.7933282679267604,0.022398583850665517,0.1539240646032186,1.877449984580067
mejor_R_mejor_F,dev,frac_carga_secundaria_F,284,-0.23169945704276884,-1.1640814569097082,0.7006825428241705,0.6262183851522527,0.1539240646032186,4.412528700641466
mejor_R_mejor_F,dev,feed_dross_Fe_total_t,284,-0.7041861005727101,-1.6962816472308422,0.287909446085422,0.16417209937266086,0.1539240646032186,4.597231372857275
mejor_R_mejor_F,lockbox,R08_feo_ret_frac,63,-0.158247049681014,-1.2793726263548646,0.9628785269928366,0.7820494658203254,0.10643302820738476,1.190975745651173
mejor_R_mejor_F,lockbox,F10_irf_next,63,1.5731277339667473,-0.014525371647676533,3.160780839581171,0.05213318338367702,0.10643302820738476,1.3603772218601544
mejor_R_mejor_F,lockbox,feed_sn_total_t,63,-0.8041980301406491,-5.461517674057626,3.8531216137763287,0.7350355315060983,0.10643302820738476,7.675589586121483
mejor_R_mejor_F,lockbox,ley_sn_conc_batch_pct,63,-0.049303177752461735,-3.639000301181339,3.5403939456764157,0.9785240290548072,0.10643302820738476,6.920575434496841
mejor_R_mejor_F,lockbox,espesor_ladrillo_norm_mm,63,0.8103611219127123,-18.145403841265686,19.766126085091113,0.9332244446976243,0.10643302820738476,4.757314606298363
mejor_R_mejor_F,lockbox,frac_carga_secundaria_F,63,-6.9007702985831205,-15.590000450871573,1.7884598537053318,0.1195762674992991,0.10643302820738476,4.386964388650647
mejor_R_mejor_F,lockbox,feed_dross_Fe_total_t,63,2.5467512753626345,-7.816448946478317,12.909951497203586,0.6300473751552127,0.10643302820738476,4.657325927132066
mejor_R_mejor_F,total,R08_feo_ret_frac,347,1.1407005400568058,0.5318394836387288,1.7495615964748827,0.0002406686917420957,0.13369176900089852,1.02195094994283
mejor_R_mejor_F,total,F10_irf_next,347,1.26722022836338,0.8214843986480707,1.7129560580786893,2.5161753362321938e-08,0.13369176900089852,1.2324504042562119
mejor_R_mejor_F,total,feed_sn_total_t,347,0.1734255282753888,-0.5402408548075086,0.8870919113582862,0.633872152633156,0.13369176900089852,2.211132649562
mejor_R_mejor_F,total,ley_sn_conc_batch_pct,347,-0.32195710516669496,-0.9165280507479643,0.27261384041457437,0.2885488589343983,0.13369176900089852,1.5533360291887972
mejor_R_mejor_F,total,espesor_ladrillo_norm_mm,347,0.23131303715137874,-0.36943475305876383,0.8320608273615213,0.45044812297865755,0.13369176900089852,1.9414442854171974
mejor_R_mejor_F,total,frac_carga_secundaria_F,347,-0.42201487373049607,-1.32513854636999,0.48110879890899805,0.35974084781463234,0.13369176900089852,4.696278640034734
mejor_R_mejor_F,total,feed_dross_Fe_total_t,347,-0.5444101196331619,-1.5167897582348173,0.42796951896849356,0.27249586758283395,0.13369176900089852,4.878265055262325
top3_R_top3_F,dev,R08_feo_ret_frac,283,0.8367597459911833,0.023495431855851345,1.6500240601265153,0.043738538008268296,0.18261827605213277,2.4424265896210646
top3_R_top3_F,dev,R02_feo_ret,283,1.1116711545599924,-0.19358926542660027,2.4169315745465854,0.09506337227100593,0.18261827605213277,6.548379865684137
top3_R_top3_F,dev,R20_fe_metalizado_por_sn,283,-0.06024806084998602,-1.3937761095398842,1.2732799878399121,0.9294394741943149,0.18261827605213277,5.381027958552209
top3_R_top3_F,dev,F10_irf_next,283,1.7589271444851553,0.7946399358817142,2.723214353088596,0.00035007927038291657,0.18261827605213277,3.935198791513171
top3_R_top3_F,dev,F05_ley_feo_next,283,-0.4486332900074359,-1.388904147253017,0.49163756723814533,0.34970508425141544,0.18261827605213277,3.6719944069634005
top3_R_top3_F,dev,F04_feo_ret_por_fe,283,-0.025078673292311754,-1.108968044901233,1.0588106983166092,0.9638291332047313,0.18261827605213277,1.8133291760094046
top3_R_top3_F,dev,feed_sn_total_t,283,0.26359603448290675,-0.4422540400840142,0.9694461090498276,0.4642062016417552,0.18261827605213277,1.8791436468869671
top3_R_top3_F,dev,ley_sn_conc_batch_pct,283,-0.8826083139785299,-1.6431373305463972,-0.12207929741066248,0.022931419866953677,0.18261827605213277,1.630013958777809
top3_R_top3_F,dev,espesor_ladrillo_norm_mm,283,0.7099363680305524,-0.11419886739710561,1.5340716034582105,0.09133917685609276,0.18261827605213277,1.9931391739747009
top3_R_top3_F,dev,frac_carga_secundaria_F,283,-0.14598057652246255,-1.0906882645299742,0.7987271114850492,0.7619945374501189,0.18261827605213277,4.643730386935412
top3_R_top3_F,dev,feed_dross_Fe_total_t,283,-0.8496941033867998,-1.9463711191096422,0.24698291233604242,0.12887328798261202,0.18261827605213277,5.868279081722605
top3_R_top3_F,lockbox,R08_feo_ret_frac,63,4.234873109852689,-11.067188203980116,19.536934423685494,0.5875267439835499,0.0882656885230092,59.48118289577957
top3_R_top3_F,lockbox,R02_feo_ret,63,-6.590598803498107,-23.656168679315396,10.474971072319182,0.44909550544537225,0.0882656885230092,88.33256792241232
top3_R_top3_F,lockbox,R20_fe_metalizado_por_sn,63,2.210936536746324,-2.1011598791726973,6.523032952665345,0.3149304533900983,0.0882656885230092,12.205232316486136
top3_R_top3_F,lockbox,F10_irf_next,63,1.32252996342801,-1.759254108319435,4.404314035175455,0.4002878227963437,0.0882656885230092,4.772204480846014
top3_R_top3_F,lockbox,F05_ley_feo_next,63,-0.32187417205676283,-3.2867609136736906,2.643012569560165,0.8315003574461973,0.0882656885230092,3.456965886919096
top3_R_top3_F,lockbox,F04_feo_ret_por_fe,63,-1.5829964891406174,-15.292070440373772,12.126077462092537,0.8209537644261163,0.0882656885230092,8.393149237048624
top3_R_top3_F,lockbox,feed_sn_total_t,63,-0.6664693109989224,-5.654075834099743,4.321137212101899,0.7933982771472823,0.0882656885230092,7.765126084416907
top3_R_top3_F,lockbox,ley_sn_conc_batch_pct,63,0.19221926164279068,-3.7452361011053386,4.12967462439092,0.9237732933588111,0.0882656885230092,7.297131859220196
top3_R_top3_F,lockbox,espesor_ladrillo_norm_mm,63,2.6270048116913576,-18.14269547874827,23.396705102130984,0.8042108069940483,0.0882656885230092,5.111579756825856
top3_R_top3_F,lockbox,frac_carga_secundaria_F,63,-9.1451138313736,-20.385327527283756,2.0950998645365573,0.11079277478352022,0.0882656885230092,6.245982206554373
top3_R_top3_F,lockbox,feed_dross_Fe_total_t,63,3.37596679597186,-7.535522255071132,14.28745584701485,0.5442463470577341,0.0882656885230092,5.419186723080164
top3_R_top3_F,total,R08_feo_ret_frac,346,0.6149110448352868,-0.0626909613061638,1.2925130509767375,0.07530038292073486,0.15623050981259856,2.8478848733918447
top3_R_top3_F,total,R02_feo_ret,346,0.719979248203763,-0.5160639452822364,1.9560224416897625,0.25359795595719403,0.15623050981259856,7.490817645369944
top3_R_top3_F,total,R20_fe_metalizado_por_sn,346,0.2447655564253961,-1.0106859104338959,1.500217023284688,0.7023732078990872,0.15623050981259856,5.646809447533245
top3_R_top3_F,total,F10_irf_next,346,1.9190143941843671,1.0838168749273387,2.7542119134413956,6.688592927451957e-06,0.15623050981259856,3.5521602667974532
top3_R_top3_F,total,F05_ley_feo_next,346,-0.6494060222987784,-1.4170273854768436,0.11821534087928676,0.09729217513926158,0.15623050981259856,2.947273799211111
top3_R_top3_F,total,F04_feo_ret_por_fe,346,-0.09066574962960151,-1.1792594375924275,0.9979279383332245,0.8703297839241018,0.15623050981259856,1.7842611242506934
top3_R_top3_F,total,feed_sn_total_t,346,0.0922339747687449,-0.5879216729713836,0.7723896225088736,0.790404683026844,0.15623050981259856,2.405277379613997
top3_R_top3_F,total,ley_sn_conc_batch_pct,346,-0.40667722498405345,-1.009131660384913,0.19577721041680618,0.18582130436206745,0.15623050981259856,1.575038382056551
top3_R_top3_F,total,espesor_ladrillo_norm_mm,346,0.261491417521417,-0.3709656443391437,0.8939484793819777,0.4177370650652664,0.15623050981259856,2.107577919599489
top3_R_top3_F,total,frac_carga_secundaria_F,346,-0.2509018054514359,-1.1555951060430032,0.6537914951401314,0.5867416959629053,0.15623050981259856,4.933671533256627
top3_R_top3_F,total,feed_dross_Fe_total_t,346,-0.7849703055753025,-1.8246699772942891,0.25472936614368435,0.13893537051984997,0.15623050981259856,6.164672371808618
