id,muestra,coef_sd,p,rho_parcial_irfF0,n
st_F01_sn_ext,dev,-0.10984048386199785,0.7457684560943063,0.09373117339219032,296
st_F01_sn_ext,lockbox,0.9911839787328021,0.03221382550524593,0.2118556571227116,62
st_F02_frac_sn_ext,dev,-0.3266787891870875,0.31005232439079244,0.03578524595473748,296
st_F02_frac_sn_ext,lockbox,0.6425297679669142,0.21206776124559457,0.1876306313112236,62
st_F03_feo_formado,dev,-0.91906728776306,0.004251050385885643,-0.06708495861038233,296
st_F03_feo_formado,lockbox,-0.3073031575986358,0.644749369096622,-0.0547707184407343,62
st_F04_feo_ret_por_fe,dev,-0.6146825714594903,0.1895629667879145,0.017645534594687134,296
st_F04_feo_ret_por_fe,lockbox,0.49091092854861396,0.40475649794278845,0.05265543552164388,62
st_F05_ley_feo_next,dev,-0.58312920802831,0.13907537097560943,-0.16424899475746932,296
st_F05_ley_feo_next,lockbox,0.05943019021125856,0.904520392421253,-0.027473496008662588,62
st_F06_B2_ventana,dev,0.32743408769012067,0.20271751436044538,0.07218358574290777,296
st_F06_B2_ventana,lockbox,-0.024418768827355386,0.9563021976340071,0.053813804739241015,62
st_F07_T_media,dev,-0.5757611130375224,0.20824371915760653,-0.12623856522161606,296
st_F07_T_media,lockbox,-0.07763339733269348,0.9022992295021229,0.004658658809901539,62
st_F08_T_ventana,dev,-0.7597777622030077,0.016874690080662173,-0.14298088535376668,296
st_F08_T_ventana,lockbox,0.05584659726242336,0.9285829005954147,-0.010400141018861274,62
st_F09_T_gas_bhf,dev,0.7612547142272859,0.011929134040267839,0.20276100445591969,296
st_F09_T_gas_bhf,lockbox,-0.004712740574888025,0.992829295412998,0.1708090957165521,62
st_F10_irf_next,dev,-0.3582457494115753,0.44095373399667437,-0.07563727055252478,296
st_F10_irf_next,lockbox,0.4630283515755651,0.4862773818964571,0.04948251114300824,62
st_F11_log_sn_feo_next,dev,0.4836368975967824,0.07470584577646902,0.16011882452560416,296
st_F11_log_sn_feo_next,lockbox,0.17461777583606697,0.6966679101798936,0.12956107879428874,62
st_F12_d_log_sn_feo,dev,-0.08902967972034181,0.7535849776615986,-0.019992411517835245,296
st_F12_d_log_sn_feo,lockbox,-0.8532368572199913,0.08428027115059077,-0.1452242451713631,62
st_F13_masa_por_carga,dev,-0.2728114945779694,0.1152684984834502,0.022338363016329115,296
st_F13_masa_por_carga,lockbox,0.514407272819934,0.3718953962909729,0.15136863841253054,62
st_F14_sn_ret_por_c,dev,-0.2710758854868349,0.3859124745629485,0.014797540221269032,296
st_F14_sn_ret_por_c,lockbox,0.7078174184691395,0.16813539076665873,0.17347838130492813,62
st_F15_dT,dev,-0.5531536833686168,0.057290884300307834,-0.14270325795749525,296
st_F15_dT,lockbox,0.49288276502577366,0.23886252241211048,0.18803354234343128,62
st_F16_sn_ret_frac,dev,-0.03642948761114706,0.8965041266417184,0.0929940726550896,296
st_F16_sn_ret_frac,lockbox,0.3795907952107376,0.41655017871497413,0.15620357079902294,62
