feature,importance_mean,importance_sd
heel_irf_F0,0.16295222033334383,0.08745991302567176
st_F07_T_media,0.06230207492113338,0.029466737634047026
st_F03_feo_formado,0.047764771542650894,0.04348699562311638
st_R22_sdi,0.04166080137153768,0.0457254785745039
feed_sn_total_t,0.03957509382991127,0.023519572881204237
st_F05_ley_feo_next,0.02673061245030541,0.01105096657775557
ley_sn_conc_batch_pct,0.023323474525724603,0.014309600171897205
espesor_ladrillo_norm_mm,0.023270255648155193,0.009408146886220147
st_R17_dT,0.01707917360805909,0.013457075888176686
st_R20_fe_metalizado_por_sn,0.015659554402968765,0.01546712719998214
st_R02_feo_ret,0.015264907543150274,0.016908015896155967
st_F09_T_gas_bhf,0.011762704429946062,0.01645816830417998
st_R18_T_ventana,0.011418619293959095,0.00948245137488662
st_R14_log_sn_feo_next,0.009952417747925527,0.014855283792008568
st_R09_selectividad,0.009600511935833072,0.003095977580380166
st_F15_dT,0.007623106324563933,0.008312645324983872
feed_dross_Fe_total_t,0.006212546373016954,0.009053698697685415
st_F11_log_sn_feo_next,0.0061365091143738525,0.02010355557086107
st_F08_T_ventana,0.006125852617636148,0.010403785626494473
st_R06_frac_sn,0.005879393111611401,0.0040800080390880275
st_R15_d_log_sn_feo,0.005409744941503662,0.01528567233000763
st_F16_sn_ret_frac,0.004367704392434105,0.004472552038843057
st_F13_masa_por_carga,0.004365227749004711,0.005090920034767668
st_F14_sn_ret_por_c,0.002373299261233989,0.02277918068913384
st_F06_B2_ventana,0.0007928845867510932,0.005174581711181516
st_R11_util_carbon,0.00030851754363333167,0.0031866586658241256
st_R19_T_gas_bhf,1.8194022240025643e-05,0.00720059279199937
st_R10_log_selectividad,0.0,0.0
st_R21_ln_feo_ret,0.0,0.0
st_F01_sn_ext,-0.0002514680317303434,0.008186426890485796
st_R03_sn_net_l03,-0.00026612356670166297,0.0015929211250754612
st_R01_sn_ext,-0.0002808291478101429,0.0009210526041950423
st_F12_d_log_sn_feo,-0.0003509498228272068,0.011912812551654503
st_R07_kapp_sn,-0.0005494332519203319,0.015292005570918017
st_F10_irf_next,-0.0011985814583993614,0.004423484040441554
st_R12_d_avance,-0.0012268409961626184,0.0027907524356600008
st_F04_feo_ret_por_fe,-0.002430369328028548,0.0052698716424046214
st_R13_sn_residual,-0.0026217069751264402,0.01414252504755204
st_F02_frac_sn_ext,-0.0032997428776964915,0.002580281109687231
heel_irf_R_prev,-0.0037915748103174588,0.012161545328926122
st_R08_feo_ret_frac,-0.006150737911813224,0.020433642856684437
st_R05_sn_net_l10,-0.006702616325460586,0.002775567538638139
st_R04_sn_net_l06,-0.007703208741775499,0.007234484785904137
frac_carga_secundaria_F,-0.011938240359310485,0.011817356093442125
st_R16_feo_por_sn_disp,-0.023629997497923817,0.02961138610584057
