Batch,orden,lnirf_R,sdi
AP0020,2,-1.4056779037255718,
AP0020,3,-1.4445605926362133,
AP0021,0,,
AP0021,1,,
AP0021,2,,
AP0021,3,,
AP0021,4,,
AP0021,5,,
AP0021,6,,
AP0021,0,-1.4123937156816848,-0.9093780081367364
AP0021,1,-1.483088449696595,1.1279309881547122
AP0021,2,-1.4110621344800587,0.24043015706389134
AP0021,3,-1.43611804053355,0.24986309320264385
AP0022,0,,
AP0022,1,,
AP0022,2,,
AP0022,3,,
AP0022,4,,
AP0022,5,,
AP0022,6,,
AP0022,0,-1.5116243420448492,0.40781053695845526
AP0022,1,-1.4846932218070725,0.40022169238577976
AP0022,2,-1.510653846716142,-0.07571567733452111
AP0022,3,-1.5742692520761956,0.018321562713707884
AP0023,0,,
AP0023,1,,
AP0023,2,,
AP0023,3,,
AP0023,4,,
AP0023,5,,
AP0023,6,,
AP0023,0,-1.4088379335072396,1.7125228014865366
AP0023,1,-1.476430693266528,-0.15751845613968685
AP0023,2,-1.5292474856187663,0.2684673231944057
AP0023,3,-1.5034843885348714,0.15995215331938933
AP0024,0,,
AP0024,1,,
AP0024,2,,
AP0024,3,,
AP0024,4,,
AP0024,5,,
AP0024,6,,
AP0024,0,-1.3859315922570075,0.7892548249640756
AP0024,1,-1.3977776606347594,-0.47778086526301494
AP0024,2,-1.4138886357070466,0.5648808865480596
AP0024,3,-1.4167482237456348,0.16251897827884848
AP0025,0,,
AP0025,1,,
AP0025,2,,
AP0025,3,,
AP0025,4,,
AP0025,5,,
AP0025,6,,
AP0025,0,-1.41779627456061,1.4660441128983097
AP0025,1,-1.425900032783719,0.38124594286673574
AP0025,2,-1.4407940941792414,0.1518592067630834
AP0025,3,-1.4524433457114974,-0.15281045507036686
AP0026,0,,
AP0026,1,,
AP0026,2,,
AP0026,3,,
AP0026,4,,
AP0026,5,,
AP0026,6,,
AP0026,0,-1.3624303525895154,1.823490018646687
AP0026,1,-1.3845623484055742,0.4173115206994132
AP0026,2,-1.4837889351566127,-0.3567852521245731
AP0026,3,,
AP0027,0,,
AP0027,1,,
AP0027,2,,
AP0027,3,,
AP0027,4,,
AP0027,5,,
AP0027,6,,
AP0027,0,-1.4236446454456213,0.35161210083251127
AP0027,1,-1.455999631480984,0.7565097856878595
AP0027,2,-1.4878919206192824,-0.14011754859679026
AP0027,3,-1.5607511216861492,-0.4169011338148604
AP0028,0,,
AP0028,1,,
AP0028,2,,
AP0028,3,,
AP0028,4,,
AP0028,5,,
AP0028,6,,
AP0028,0,-1.4567251565219264,0.9645714847481706
AP0028,1,-1.5832648116434926,-0.4802169556118352
AP0028,2,-1.5767594647085823,0.24124786242495944
AP0028,3,,
AP0029,0,,
AP0029,1,,
AP0029,2,,
AP0029,3,,
AP0029,4,,
AP0029,5,,
AP0029,6,,
AP0029,0,-1.3916023584352422,1.0392655471872185
AP0029,1,-1.5028419085895395,0.28949327936482394
AP0029,2,-1.5749567226212515,-0.2914625597299792
AP0029,3,,
AP0030,0,,
AP0030,1,,
AP0030,2,,
AP0030,3,,
AP0030,4,,
AP0030,5,,
AP0030,6,,
AP0030,0,-1.3442248505922063,0.6111933998334886
AP0030,1,-1.5109880934021511,-0.35585579369715137
AP0030,2,-1.5223659774322629,0.30669913805645643
AP0030,3,-1.589871186562584,-0.46256229435383434
AP0031,0,,
AP0031,1,,
AP0031,2,,
AP0031,3,,
AP0031,4,,
AP0031,5,,
AP0031,6,,
AP0031,0,-1.4607512854122642,-0.6631558639978496
AP0031,1,-1.52438655809494,0.5307266412350964
AP0031,2,-1.5816845670522812,0.12073811729100647
AP0031,3,-1.6916688441608665,-0.3933077239570568
AP0032,0,,
AP0032,1,,
AP0032,2,,
AP0032,3,,
AP0032,4,,
AP0032,5,,
AP0032,6,,
AP0032,0,-1.4081386464601842,-0.40201610876351435
AP0032,1,-1.4573490982710897,1.213270376946677
AP0032,2,-1.6498577327624329,-0.7875667308270089
AP0032,3,,
AP0033,0,,
AP0033,1,,
AP0033,2,,
AP0033,3,,
AP0033,4,,
AP0033,5,,
AP0033,6,,
AP0033,0,-1.297011263690779,0.1459826647918312
AP0033,1,-1.4545115624942915,-0.49934169859687283
AP0033,2,-1.3811124869274787,0.7241492396242426
AP0033,3,-1.4906335049953694,-1.091157208941118
AP0034,0,,
AP0034,1,,
AP0034,2,,
AP0034,3,,
AP0034,4,,
AP0034,5,,
AP0034,6,,
AP0034,0,-1.4140611752496528,-0.3256339896762013
AP0034,1,-1.3810856156795763,1.1397097381813013
AP0034,2,-1.42550951885006,0.011104186562709895
AP0034,3,-1.4458327567088787,-0.009537619296067446
AP0035,0,,
AP0035,1,,
AP0035,2,,
AP0035,3,,
AP0035,4,,
AP0035,5,,
AP0035,6,,
AP0035,0,-1.3676637236956042,1.6280740206362392
AP0035,1,-1.382098634700344,0.01594464095149406
AP0035,2,-1.4034374590706435,-0.020535361738986624
AP0035,3,-1.4338946143618734,0.12673085353117158
AP0036,0,,
AP0036,1,,
AP0036,2,,
AP0036,3,,
AP0036,4,,
AP0036,5,,
AP0036,6,,
AP0036,0,-1.4224885655124384,-0.6928679182371815
AP0036,1,-1.5198810961510543,0.9820035664850663
AP0036,2,-1.5893314679832569,0.017718239190085527
AP0036,3,,
AP0037,0,,
AP0037,1,,
AP0037,2,,
AP0037,3,,
AP0037,4,,
AP0037,5,,
AP0037,6,,
AP0037,0,-1.3705199123944773,1.039863827703658
AP0037,1,-1.4671393135846105,-0.20046035780801486
AP0037,2,-1.417502915082456,0.6790196050810576
AP0037,3,-1.5021480540840721,-0.30945770583168014
AP0038,0,,
AP0038,1,,
AP0038,2,,
AP0038,3,,
AP0038,4,,
AP0038,5,,
AP0038,6,,
