palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,theta_1sd_rel
tasa_feed_Carbon_kg_min,-0.00011763206288012217,-0.001158018707679039,0.0005672942905259445,22.031834456024114,-0.002591650136095471,-0.02551327646456357,0.012498533896715259,False,-0.01945056951866718
tasa_gn_nm3_min,-0.006516406720876212,-0.009905354897420813,-0.0034978455439572315,4.978844185223292,-0.03244417371078451,-0.04931721863359668,-0.017415227947340666,True,-0.2434964686969929
tasa_o2_nm3_min,0.0028760193894113873,0.0005569685103727368,0.005815444193332148,8.629294114680214,0.024818017190753865,0.004806245088621664,0.05018317835177233,True,0.18626147177855518
tasa_aire_nm3_min,0.000376206820868241,-1.6182860473172348e-05,0.0008810908448530552,9.94534357533641,0.003741506088919697,-0.00016094410743743015,0.008762751173147064,False,0.0280803428184522
