modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n
A_solo_irf,dev,irf_fin_st,0.8908846124934959,0.3573776464528754,1.4243915785341166,0.0010645944619547501,0.033637114189701944,298
A_solo_irf,lockbox,irf_fin_st,1.3939756036980824,0.20809045624032585,2.579860751155839,0.02122914844677895,0.10183249949191031,63
A_solo_irf,total,irf_fin_st,1.0393304666075447,0.5652039681923064,1.513456965022783,1.735724420417848e-05,0.04916788020259999,361
B_irf+controles,dev,irf_fin_st,1.1117666057024422,0.5952648733789256,1.6282683380259588,2.4559547524520083e-05,0.05000172546808168,297
B_irf+controles,dev,feed_sn_total_t,0.1702142972318788,-0.5309690916844023,0.87139768614816,0.6342261819365445,0.05000172546808168,297
B_irf+controles,dev,ley_sn_conc_batch_pct,-0.5941123500513042,-1.2413317265882355,0.05310702648562693,0.071996405750744,0.05000172546808168,297
B_irf+controles,dev,espesor_ladrillo_norm_mm,0.8207877638035782,0.12282224817878362,1.5187532794283727,0.021174282406667844,0.05000172546808168,297
B_irf+controles,dev,frac_carga_secundaria_F,-0.04993222514090035,-1.030674377903449,0.9308099276216483,0.9205133919986067,0.05000172546808168,297
B_irf+controles,dev,feed_dross_Fe_total_t,-0.6503574483249691,-1.6780156345060662,0.37730073785612805,0.2148382872437401,0.05000172546808168,297
B_irf+controles,lockbox,irf_fin_st,1.3675250003941748,0.03646444193278087,2.6985855588555685,0.044045530869840234,0.12119737923950269,63
B_irf+controles,lockbox,feed_sn_total_t,-0.49711280123069773,-2.832403249823278,1.8381776473618823,0.6765195941646857,0.12119737923950269,63
B_irf+controles,lockbox,ley_sn_conc_batch_pct,0.03162329394857988,-2.5261323665581377,2.5893789544552974,0.9806672470538494,0.12119737923950269,63
B_irf+controles,lockbox,espesor_ladrillo_norm_mm,0.02234760222136406,-2.072199362413513,2.1168945668562413,0.9833161095121249,0.12119737923950269,63
B_irf+controles,lockbox,frac_carga_secundaria_F,-1.7988815211482034,-4.132514294599984,0.5347512523035771,0.13082952054687377,0.12119737923950269,63
B_irf+controles,lockbox,feed_dross_Fe_total_t,0.7721438295459795,-2.3136312548573335,3.857918913949292,0.6238256578883257,0.12119737923950269,63
