salida,senal,lag-6,lag-5,lag-4,lag-3,lag-2,lag-1,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag_max,rho_max,rho_lag0
D_dross_t,Sn_cargado_t,0.19877228915435644,0.18977191603943225,0.22846119750573893,0.19504054723748881,0.24496451198251176,0.24714285559426477,0.2569756315110853,0.22296978241510348,0.234810105460695,0.2284823164715235,0.16770616290317986,0.1526331305174946,0.14844929676824073,0,0.2569756315110853,0.2569756315110853
D_dross_t,FeO_reducido_R_kg,0.03561833615234311,0.034663040795287106,0.01176271970155128,0.03932547560543319,0.155500808252526,0.049962039545929295,0.16930325223294118,0.2504595033700793,0.19755059906412198,0.07702774724043175,0.15397565124606086,0.16087598134469672,0.042929544478434,1,0.2504595033700793,0.16930325223294118
D_dross_t,Fe_cargado_t,0.127920557524037,0.14198465400367347,0.19999101614764375,0.16091899766250173,0.16670253588174183,0.19955210581627753,0.22070283460993917,0.16287003257085816,0.19181540173729253,0.16756183397789426,0.15260701393030687,0.1332484433745929,0.11093256300916132,0,0.22070283460993917,0.22070283460993917
D_dross_t,dross_Fe_cargado_t,-0.0037447448200244485,0.012328385148102307,0.03825094201316569,0.006573587421445838,0.025008955515256545,0.07574116514089602,0.02833692890396145,-0.005528564302035261,0.027277750346283533,-0.017814083448423085,-0.05019724263732421,-0.07786578942355889,-0.10329971476561138,6,-0.10329971476561138,0.02833692890396145
D_dross_t,pellets_cargados_t,-0.040525269646838676,-0.013074644898584842,-0.02025119871333973,-0.04753028812404075,-0.035626200297863786,0.015623050091928707,-0.04196727515321005,-0.06503284789039919,-0.022680618001610496,-0.03432216388010985,-0.0672668237511524,-0.09437146209879237,-0.0704428005489041,5,-0.09437146209879237,-0.04196727515321005
D_dross_t,Sn_en_dross_cargado_t,-0.017163536803271626,-3.995701785347237e-05,0.015112758863762961,-0.001963481016733625,0.01507783583597145,0.05917506904377589,0.016089497203858154,-0.013368792822627295,0.022886761873567647,-0.029964704269313327,-0.056850836435246924,-0.0792560201409438,-0.1099758130888256,6,-0.1099758130888256,0.016089497203858154
D_dross_t,Sn_en_pellets_cargado_t,-0.05243746878161232,-0.026861533833871472,-0.029572324538022807,-0.05256257225999427,-0.043142950214154735,0.008509114371222527,-0.046022663061638484,-0.06498409456415989,-0.024803583640350586,-0.038689723389147786,-0.06621580208239101,-0.0953328044835933,-0.06405917897559528,5,-0.0953328044835933,-0.046022663061638484
D_dross_t,SDI,0.01844432233939951,0.06583443565658731,0.08348165940216824,-0.02973161888444145,-0.10148514620442146,-0.0206830369469972,-0.19235861193455983,-0.22447068206534287,-0.14139745868174,-0.08097909491475773,-0.11043408233161553,-0.0340060176567863,0.016774567568089562,1,-0.22447068206534287,-0.19235861193455983
D_dross_t,lnIRF_R,0.10883790497229194,0.11191746754864267,0.1693286178788124,0.05308887349881841,-0.000358027707152201,0.10154848646802561,-0.1546194655611997,-0.043305790415146546,0.05011551987739833,-0.009082238832305155,0.00370469488673086,0.08456379706563502,0.027222841307685104,-4,0.1693286178788124,-0.1546194655611997
D_dross_t,IRF_finF,0.07103454347932832,0.1153293368022523,0.1399729571502345,0.08319008099003945,0.04722696759418808,0.08377578283358264,-0.07503231925308518,0.03853414660322498,0.10415098489371745,0.0037587026166362547,0.029904325385611122,0.0983248520584025,-0.011314419282890315,-4,0.1399729571502345,-0.07503231925308518
