id,fase,variante,n_coherente,n_incoherente,n_indeterminado,coherente_carbon,coherente_gn
F04_feo_ret_por_fe,Fusión,cinetica,2,1,1,coherente,indeterminado
F09_T_gas_bhf,Fusión,cinetica,2,1,1,incoherente,coherente
F01_sn_ext,Fusión,cinetica,1,0,3,indeterminado,coherente
F02_frac_sn_ext,Fusión,cinetica,1,0,3,indeterminado,coherente
F03_feo_formado,Fusión,cinetica,1,0,3,coherente,indeterminado
F08_T_ventana,Fusión,cinetica,1,0,3,indeterminado,coherente
F11_log_sn_feo_next,Fusión,cinetica,1,1,2,incoherente,coherente
F12_d_log_sn_feo,Fusión,cinetica,1,1,2,incoherente,coherente
F13_masa_por_carga,Fusión,cinetica,1,0,3,coherente,indeterminado
F14_sn_ret_por_c,Fusión,cinetica,1,1,2,coherente,incoherente
F05_ley_feo_next,Fusión,cinetica,0,0,4,indeterminado,indeterminado
F06_B2_ventana,Fusión,cinetica,0,1,3,incoherente,indeterminado
F07_T_media,Fusión,cinetica,0,2,2,indeterminado,incoherente
F10_irf_next,Fusión,cinetica,0,0,4,indeterminado,indeterminado
F15_dT,Fusión,cinetica,0,2,2,indeterminado,incoherente
F16_sn_ret_frac,Fusión,cinetica,0,0,4,indeterminado,indeterminado
F04_feo_ret_por_fe,Fusión,primitiva,2,0,2,coherente,indeterminado
F09_T_gas_bhf,Fusión,primitiva,2,1,1,incoherente,coherente
F03_feo_formado,Fusión,primitiva,1,0,3,coherente,indeterminado
F05_ley_feo_next,Fusión,primitiva,1,0,3,coherente,indeterminado
F14_sn_ret_por_c,Fusión,primitiva,1,0,3,coherente,indeterminado
F01_sn_ext,Fusión,primitiva,0,0,4,indeterminado,indeterminado
F02_frac_sn_ext,Fusión,primitiva,0,0,4,indeterminado,indeterminado
F06_B2_ventana,Fusión,primitiva,0,1,3,incoherente,indeterminado
F07_T_media,Fusión,primitiva,0,2,2,incoherente,indeterminado
F08_T_ventana,Fusión,primitiva,0,0,4,indeterminado,indeterminado
F10_irf_next,Fusión,primitiva,0,0,4,indeterminado,indeterminado
F11_log_sn_feo_next,Fusión,primitiva,0,1,3,incoherente,indeterminado
F12_d_log_sn_feo,Fusión,primitiva,0,1,3,incoherente,indeterminado
F13_masa_por_carga,Fusión,primitiva,0,0,4,indeterminado,indeterminado
F15_dT,Fusión,primitiva,0,2,2,incoherente,indeterminado
F16_sn_ret_frac,Fusión,primitiva,0,0,4,indeterminado,indeterminado
R08_feo_ret_frac,Reducción,cinetica,1,0,3,indeterminado,coherente
R11_util_carbon,Reducción,cinetica,1,1,2,incoherente,indeterminado
R14_log_sn_feo_next,Reducción,cinetica,1,0,3,coherente,indeterminado
R15_d_log_sn_feo,Reducción,cinetica,1,0,3,coherente,indeterminado
R16_feo_por_sn_disp,Reducción,cinetica,1,0,3,indeterminado,coherente
R19_T_gas_bhf,Reducción,cinetica,1,2,1,incoherente,indeterminado
R01_sn_ext,Reducción,cinetica,0,1,3,indeterminado,incoherente
R02_feo_ret,Reducción,cinetica,0,1,3,indeterminado,indeterminado
R03_sn_net_l03,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R04_sn_net_l06,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R05_sn_net_l10,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R06_frac_sn,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R07_kapp_sn,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R09_selectividad,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R10_log_selectividad,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R12_d_avance,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R13_sn_residual,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R17_dT,Reducción,cinetica,0,1,3,indeterminado,indeterminado
R18_T_ventana,Reducción,cinetica,0,2,2,incoherente,incoherente
R20_fe_metalizado_por_sn,Reducción,cinetica,0,0,4,indeterminado,indeterminado
R19_T_gas_bhf,Reducción,primitiva,2,2,0,incoherente,coherente
R02_feo_ret,Reducción,primitiva,1,1,2,indeterminado,coherente
R07_kapp_sn,Reducción,primitiva,1,0,3,indeterminado,coherente
R08_feo_ret_frac,Reducción,primitiva,1,0,3,indeterminado,coherente
R14_log_sn_feo_next,Reducción,primitiva,1,1,2,coherente,incoherente
R16_feo_por_sn_disp,Reducción,primitiva,1,0,3,indeterminado,coherente
R20_fe_metalizado_por_sn,Reducción,primitiva,1,0,3,indeterminado,coherente
R01_sn_ext,Reducción,primitiva,0,1,3,indeterminado,incoherente
R03_sn_net_l03,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R04_sn_net_l06,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R05_sn_net_l10,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R06_frac_sn,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R09_selectividad,Reducción,primitiva,0,1,3,indeterminado,indeterminado
R10_log_selectividad,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R11_util_carbon,Reducción,primitiva,0,2,2,incoherente,incoherente
R12_d_avance,Reducción,primitiva,0,1,3,indeterminado,incoherente
R13_sn_residual,Reducción,primitiva,0,0,4,indeterminado,indeterminado
R15_d_log_sn_feo,Reducción,primitiva,0,1,3,indeterminado,incoherente
R17_dT,Reducción,primitiva,0,1,3,indeterminado,indeterminado
R18_T_ventana,Reducción,primitiva,0,0,4,indeterminado,indeterminado
