id,rho_dev,p_dev,n_dev,rho_lockbox,p_lockbox,n_lockbox,rho_total,p_total,n_total,p_bh_dev
st_F11_log_sn_feo_next,0.10140211570033571,0.08052943906723471,298,0.1948924731182796,0.12585520482684412,63,0.1474191804022997,0.005006733613007157,361,0.1365499184183545
st_F04_feo_ret_por_fe,0.09888859640829292,0.0883649141953676,298,0.255568356374808,0.04321794421096373,63,0.10972845023288082,0.03716868101244547,361,0.14359298556747235
st_R21_ln_feo_ret,0.09598950471864463,0.10524016270144002,286,0.10167050691244242,0.42784629508197014,63,0.08577187460301776,0.10969817377470012,349,0.16417465381424642
st_R08_feo_ret_frac,0.09305072334597367,0.11638085437926787,286,0.10167050691244242,0.42784629508197014,63,0.08320832215901872,0.12076401803643894,349,0.1745712815689018
st_R15_d_log_sn_feo,0.08159097654282947,0.16005027236407185,298,0.4341397849462366,0.0003781362099726252,63,0.14883942190457242,0.004597755853595366,361,0.22292716507852864
st_F07_T_media,0.07494062983995871,0.19627591810854653,299,-0.0021601382488479265,0.9865943837464951,63,0.12854660376124694,0.014386337476223657,362,0.2551586935411105
st_R02_feo_ret,0.0714427056708936,0.21959771155777683,297,0.013728878648233486,0.9149536154141559,63,0.05918461304999781,0.2627027900034702,360,0.2762680887339773
st_R18_T_ventana,0.0687576036452605,0.23587775679606332,299,-0.1032546082949309,0.4206453157517007,63,0.008885489613864253,0.8662083492543639,362,0.2874760160952022
st_F08_T_ventana,0.055311889744337955,0.34051119568204163,299,0.0021601382488479265,0.9865943837464951,63,0.04320765530002108,0.41243200360170534,362,0.4024223221696856
st_F06_B2_ventana,0.05210122367986389,0.37012702263639924,298,0.122215821812596,0.3399743096118737,63,0.06280232421705616,0.2339359224211686,361,0.4245574671417521
st_R06_frac_sn,0.04467611013079756,0.4469372562265706,292,0.3756240399385561,0.002416145820103638,63,0.11139286681812452,0.03591101924816777,355,0.4980157997953215
st_R14_log_sn_feo_next,0.026495028169962517,0.648172122009812,299,0.3215725806451613,0.01017143049608955,63,0.059641719391758,0.25769990082403843,362,0.6832084529292614
st_F09_T_gas_bhf,0.020484388678144148,0.7242672100559077,299,0.2822100614439324,0.025033866082735057,63,0.05975479433325057,0.2567970631770882,362,0.7433268734784315
st_R20_fe_metalizado_por_sn,0.017955724709882902,0.7579580744297513,297,0.06898041474654378,0.5911352251362226,63,0.039258664499640286,0.4577380781749585,360,0.7579580744297513
st_R07_kapp_sn,-0.03293420315243165,0.5791141036032093,286,0.27976190476190477,0.0263766388866655,63,0.02688864736686098,0.6166457679637453,349,0.62737361223681
st_R13_sn_residual,-0.07754573410248929,0.18112830712785394,299,0.17713133640552994,0.1648960031954353,63,-0.03905246740526274,0.45885309995504986,362,0.24358634406849322
st_R17_dT,-0.0850454535251734,0.1423562746758661,299,-0.2598406298003072,0.039725467145324975,63,-0.06293126422211459,0.23232463474617632,362,0.20562573008736212
st_F15_dT,-0.14069179143004648,0.014903301330664278,299,0.13935291858678955,0.2760412088536422,63,-0.14247025237340383,0.0066241742222983456,362,0.04356695532459447
