id,rho_dev,p_dev,n_dev,rho_lockbox,p_lockbox,n_lockbox,rho_total,p_total,n_total,p_bh_dev
st_F10_irf_next,0.27763369140667066,1.123890266805925e-06,298,0.35287058371735797,0.0045596219037355125,63,0.3004157675374828,5.774670796735413e-09,361,4.383172040543108e-05
st_R23_lnirf_R,0.26176561693340217,4.483013575407319e-06,299,0.49692780337941633,3.432089445497029e-05,63,0.3170764284154039,6.747381186930367e-10,362,8.741876472044273e-05
st_F01_sn_ext,0.2507331853698938,1.185129143671308e-05,298,0.29046658986175117,0.02092283690334599,63,0.23300122944756482,7.69894847430184e-06,361,0.00015406678867727004
st_R12_d_avance,0.20373903566200033,0.0004008922524719024,298,0.20439708141321045,0.10808091047986527,63,0.21616927605434055,3.4421769039301324e-05,361,0.003908699461601049
st_F16_sn_ret_frac,0.18464436060000694,0.0013665111110507404,298,0.2707853302611367,0.03183060256442148,63,0.2114932941542574,5.1142210546740184e-05,361,0.010658786666195776
st_R01_sn_ext,0.1722717512037617,0.0028477524010472248,298,0.19666858678955454,0.1223752855285234,63,0.2011202767022237,0.00011936955929760004,361,0.01851039060680696
st_F05_ley_feo_next,0.1694846082618348,0.003338465910857568,298,0.1245199692780338,0.3308783934471429,63,0.15161922675258283,0.0038833435109235314,361,0.018600024360492164
st_F02_frac_sn_ext,0.1507743454513894,0.009140651329421991,298,0.26435291858678955,0.036293739817714825,63,0.18443068256538092,0.0004278324397348088,361,0.04356695532459447
st_R11_util_carbon,0.1489743251488218,0.010143098748114867,297,0.2936347926267281,0.019505414576720646,63,0.18951586560595887,0.00029904114649360164,360,0.04356695532459447
st_R04_sn_net_l06,0.14454906401215126,0.012641264388438796,297,0.21068548387096772,0.09743079624879486,63,0.18524191287484215,0.0004106855501061381,360,0.04356695532459447
st_R05_sn_net_l10,0.14263164934305875,0.013882270666174234,297,0.21342165898617513,0.0930603166256988,63,0.18304899471960948,0.0004819927837468812,360,0.04356695532459447
st_F13_masa_por_carga,0.14234894567547032,0.013911760725555762,298,0.14088901689708141,0.27072992947853913,63,0.09756278599960208,0.06407125445659702,361,0.04356695532459447
st_R03_sn_net_l03,0.14015953109912843,0.015639419860110835,297,0.19119623655913978,0.1333375492844995,63,0.17864181050779712,0.0006613190869233223,360,0.04356695532459447
st_F14_sn_ret_por_c,0.13548775244088015,0.0192914486177489,298,0.2336309523809524,0.06535117561500325,63,0.16979716301832803,0.001201580729470659,361,0.050157766406147136
st_F03_feo_formado,0.13132582814520366,0.02336972078737715,298,0.1289842549923195,0.31369652357666933,63,0.10451885748100986,0.04721023935564545,361,0.056963694419231804
st_R22_sdi,0.12307153693546505,0.037513830791437545,286,0.2728494623655914,0.030499537268235375,63,0.1447719734074837,0.006745640102325103,349,0.07767296570986182
st_R09_selectividad,0.12205245607923157,0.03983229010762144,284,0.030001920122887864,0.815437793340572,63,0.14156335318706026,0.008270321384664471,347,0.07767296570986182
st_R10_log_selectividad,0.12205245607923157,0.03983229010762144,284,0.030001920122887864,0.815437793340572,63,0.14156335318706026,0.008270321384664471,347,0.07767296570986182
st_F12_d_log_sn_feo,0.11924252513689337,0.039672844522905856,298,0.1953725038402458,0.12490735881139187,63,0.12066058574759082,0.02184893804637679,361,0.07767296570986182
st_R16_feo_por_sn_disp,0.10854140795486059,0.06585108994316073,288,0.07147657450076805,0.5777462099419537,63,0.13890775890775892,0.009166068199463882,351,0.12229488132301279
st_R19_T_gas_bhf,0.1038257278175574,0.0730301225057626,299,0.10824692780337943,0.398410433917971,63,0.09992194793468114,0.05752170261637655,362,0.12946248989657916
