kpi,modelo,n_dev,r2_oof,r2_oof_min,r2_oof_max,rho_oof,r2_lockbox,rho_lockbox,r2_walkforward
rendimiento,Ridge,299,-904847495.4730321,-1712651918.3941438,-97043072.55192052,0.47101411865053533,0.3310355972315965,0.5460829493087558,-2083235349.4695528
rendimiento,HGB,299,0.15878031217810568,0.14296759874330534,0.17459302561290602,0.4437182105901102,-0.10080614378872532,0.40173771121351765,0.06716530579843831
recuperacion_real,Ridge,299,-83758862353.46915,-94255031114.4591,-73262693592.47917,0.4137386366187067,0.19205053129419936,0.4604934715821813,-188263080567.50766
recuperacion_real,HGB,299,0.14844942567934072,0.14295749654311607,0.15394135481556537,0.4174254225494377,-0.06866794522001807,0.43049155145929346,0.0805652216023579
f_dross,Ridge,299,-927359955.2445602,-1159257961.1313431,-695461949.3577775,0.48076384368476577,0.2770128998868093,0.6381048387096775,-3210237970.5276017
f_dross,HGB,299,0.2513966826927786,0.2462403153741486,0.2565530500114086,0.5049707077282215,0.03418963946968989,0.5000480030721967,-0.04077057917248983
f_polvo,Ridge,299,-1472640442.725346,-2862601415.5636263,-82679469.88706592,0.2886384144014725,-0.11091512836197448,0.07022849462365592,-1524098784.9626198
f_polvo,HGB,299,-0.019325639606640577,-0.03117754756983282,-0.007473731643448334,0.18102264820093827,-0.3827550515944902,-0.0017761136712749616,-0.09034502974072245
rendimiento_2batches,Ridge,299,-3174292760.0658026,-5989599504.885512,-358986015.2460932,0.42578258624946697,0.3101562578289102,0.5453652640326357,-4946694008.111249
rendimiento_2batches,HGB,299,0.20790907332146702,0.20316708224141578,0.21265106440151826,0.45486767973782855,0.011226158377712459,0.6510790461081313,0.04347392252532382
