id,rho_dev__coherente,rho_dev__first,rho_dev__last,rho_dev__max,rho_dev__mean,rho_dev__median,rho_dev__min,rho_dev__sum,rho_dev__twmean,p_dev__coherente,p_dev__first,p_dev__last,p_dev__max,p_dev__mean,p_dev__median,p_dev__min,p_dev__sum,p_dev__twmean,n_dev__coherente,n_dev__first,n_dev__last,n_dev__max,n_dev__mean,n_dev__median,n_dev__min,n_dev__sum,n_dev__twmean,rho_lockbox__coherente,rho_lockbox__first,rho_lockbox__last,rho_lockbox__max,rho_lockbox__mean,rho_lockbox__median,rho_lockbox__min,rho_lockbox__sum,rho_lockbox__twmean,p_lockbox__coherente,p_lockbox__first,p_lockbox__last,p_lockbox__max,p_lockbox__mean,p_lockbox__median,p_lockbox__min,p_lockbox__sum,p_lockbox__twmean,n_lockbox__coherente,n_lockbox__first,n_lockbox__last,n_lockbox__max,n_lockbox__mean,n_lockbox__median,n_lockbox__min,n_lockbox__sum,n_lockbox__twmean,fase,agg_registrada,rho_coherente_dev,p_coherente_dev,mejor_regla_dev,rho_mejor_dev,brecha
F01_sn_ext,0.0632000687442765,0.09063384172809326,0.03639887007263721,0.02753421399467504,0.034131125172852626,0.045238132486454634,0.030946487614126945,0.0632000687442765,0.023318865746645146,0.27681384732913494,0.11847139898713238,0.5313748899834051,0.6359232845797061,0.5572780151401581,0.43654095083867617,0.5946557115040625,0.27681384732913494,0.688487301018248,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.18663594470046085,0.007248463901689709,0.3161962365591398,0.03691436251920123,0.19110023041474652,0.13786482334869432,0.3322292626728111,0.18663594470046085,0.27160138248847926,0.14302578212438646,0.9550378769146396,0.011582707904140876,0.7739367666692365,0.1335362728217479,0.2812521651681152,0.007809306898134835,0.14302578212438646,0.03129867563804404,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,sum,0.0632000687442765,0.27681384732913494,first,0.09063384172809326,0.02743377298381676
F02_frac_sn_ext,0.014256331691655516,0.09208880094337946,0.03704814261076839,0.023579471091141425,0.025296270982505906,0.03980608686308713,0.023150497848344068,0.05198874557449707,0.00834502599069743,0.8063940305739776,0.11265071763348006,0.5240720917440318,0.6851905323033317,0.6636236273708177,0.493632340447052,0.6906203666805053,0.3711624671229186,0.8859312081997464,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.22849462365591397,0.022321428571428572,0.1870199692780338,0.11813556067588328,0.20511712749615976,0.0867415514592934,0.23238287250384027,0.20286098310291859,0.23492703533026116,0.07166933829233917,0.8621447825513914,0.14219016858706426,0.3564609485171762,0.1068177297533962,0.4990542711349401,0.06684363285659996,0.11081420356872879,0.06382979678391962,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,ratio,0.014256331691655516,0.8063940305739776,first,0.09208880094337946,0.07783246925172393
F03_feo_formado,0.058068281295593806,0.2538221432297884,-0.051314927007952975,-0.05865324248749985,0.06384670026339125,0.08958136504095067,0.030223221644289634,0.058068281295593806,-0.015528905811952208,0.31777323161053495,9.160515635374309e-06,0.37740284656021467,0.31291438753601136,0.27191897287337563,0.12282624051888782,0.603300769356919,0.31777323161053495,0.7895000026844545,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.1261520737327189,0.3688556067588326,-0.10546274961597543,-0.025633640552995395,0.16033026113671275,0.21212557603686635,0.08870967741935484,0.1261520737327189,0.013968894009216592,0.32452925234837954,0.0029324176488376916,0.41072430213970773,0.8419348850528477,0.20939263569228675,0.09511102026212694,0.4893290740038999,0.32452925234837954,0.9134724391988286,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,sum,0.058068281295593806,0.31777323161053495,first,0.2538221432297884,0.1957538619341946
F04_feo_ret_por_fe,0.10875312801195497,0.23723327866893668,-0.023555570973137357,0.07113332149807201,0.12903495687271582,0.16112302572763618,0.03466665941133405,0.09411141334106024,0.1023806786864855,0.06078654490777417,3.5144227226706005e-05,0.6854926318433655,0.22082314579015122,0.025917417532960087,0.005304052333804877,0.5511061238754539,0.10493455930293309,0.07763501007116755,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.2460637480798771,0.4495487711213518,-0.043922811059907835,0.24793586789554528,0.31009984639016897,0.40898617511520735,-0.004416282642089094,0.24284754224270355,0.22398233486943164,0.051899878451963116,0.0002189143899850344,0.7324936562193021,0.05008568729265945,0.01338507407492347,0.0008745115839988301,0.9725969603882305,0.05514149561827174,0.07761418421579792,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,ratio,0.10875312801195497,0.06078654490777417,first,0.23723327866893668,0.1284801506569817
F05_ley_feo_next,0.12069044481547726,0.361109467324816,0.12069044481547726,0.24089931681959412,0.303400098264411,0.29895575358079,0.3200315879043629,0.2902380179882368,0.28491577805846846,0.037314954208583946,1.3132435752640768e-10,0.037314954208583946,2.6322328696426258e-05,9.196293356970664e-08,1.4416129855145777e-07,1.5980708516479784e-08,3.4070506989390054e-07,5.680085086940652e-07,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.18284370199692782,0.42574435660175763,0.18284370199692782,0.2483678955453149,0.3624231950844854,0.3551267281105991,0.4023665798890442,0.3185483870967742,0.34975038402457764,0.15147573459643587,0.0005038758838650563,0.15147573459643587,0.04967447593722442,0.003511749566509969,0.004289934666041176,0.0010789324001444127,0.010945688942393256,0.004957230344607172,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,last,0.12069044481547726,0.037314954208583946,first,0.361109467324816,0.24041902250933878
F06_B2_ventana,0.0893188126920254,0.0040813513238374625,0.0893188126920254,0.032241111027221325,0.061612511276940805,0.07062590167346514,0.07621477507675348,0.08884540223904099,0.06389340646708606,0.12393176021286996,0.9440669203277148,0.12393176021286996,0.5793236665547159,0.2890835004734664,0.2241424368414345,0.18950303946741245,0.12594463779622644,0.27156771350204567,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,-0.0016321044546850998,0.010560675883256529,-0.0016321044546850998,0.08525345622119816,0.06960445468509985,0.06312403993855607,-0.034610215053763445,0.09322196620583717,0.05510752688172044,0.9898711127275848,0.9345302347920504,0.9898711127275848,0.5064733960018535,0.5877749524232627,0.6230806065437158,0.7877067777511065,0.46741336137178974,0.6679452759075283,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,last,0.0893188126920254,0.12393176021286996,last,0.0893188126920254,0.0
F07_T_media,0.010860362281430272,0.007271217256627236,-0.01402482548090952,0.0043532131714215175,0.012496240263967139,0.014266346434423472,0.0124455118852551,0.012496240263967139,0.010860362281430272,0.8516511210628908,0.9003603806757815,0.8091614316477382,0.9402472143948181,0.8296242479308139,0.80593970997638,0.8303053941799873,0.8296242479308139,0.8516511210628908,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,0.22206221198156684,0.3967453917050692,0.12355990783410138,0.2742415514592934,0.22753456221198157,0.2170698924731183,0.27160138248847926,0.22753456221198157,0.22206221198156684,0.08025981358338462,0.0012853278814705226,0.3346495320657548,0.029628422669205682,0.07290272325058898,0.08747344458606977,0.03129867563804404,0.07290272325058898,0.08025981358338462,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,twmean,0.010860362281430272,0.8516511210628908,median,0.014266346434423472,0.0034059841529932005
F08_T_ventana,-0.036559448721689744,-0.04805279342775695,-0.09751520729052099,-0.06212565374514602,-0.029501919148840653,-0.023210253417431707,-0.01372674014051312,-0.029501919148840653,-0.036559448721689744,0.5288682592071036,0.4077223512546192,0.09234677714660051,0.2842647884319164,0.6113764133742231,0.689366026753425,0.8131421189254173,0.6113764133742231,0.5288682592071036,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,-0.22206221198156684,-0.3969374039938557,-0.12355990783410138,-0.26876920122887865,-0.22681451612903225,-0.2158698156682028,-0.2742415514592934,-0.22681451612903225,-0.22206221198156684,0.08025981358338462,0.0012777294484926966,0.3346495320657548,0.03317725402865482,0.07383883033950667,0.08928132800485916,0.029628422669205682,0.07383883033950667,0.08025981358338462,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,twmean,-0.036559448721689744,0.5288682592071036,min,-0.01372674014051312,0.022832708581176624
F09_T_gas_bhf,0.07680545891225787,-0.04631186729815268,0.0972009606967296,0.06984983502053826,0.06906107607012188,0.06754865210657449,0.09378779376444972,0.08185405490336918,0.07680545891225787,0.1853420756358806,0.42493958454208525,0.09340638275472297,0.22850116514377644,0.23381158535255436,0.24423628038296274,0.10555080060415611,0.15799988220750077,0.1853420756358806,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,0.138536866359447,0.08482142857142858,0.05933179723502304,0.11981566820276499,0.1368087557603687,0.1217357910906298,0.040034562211981574,0.1368087557603687,0.138536866359447,0.27889082349697564,0.5086378780039541,0.6441469777500881,0.34961373370979393,0.28498950643499243,0.3418887789940729,0.7554006380765776,0.28498950643499243,0.27889082349697564,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,twmean,0.07680545891225787,0.1853420756358806,last,0.0972009606967296,0.02039550178447172
F10_irf_next,0.1946100134019597,0.38024177942473825,0.1946100134019597,0.354292175418525,0.33690930539486125,0.33936206127627194,0.2862947447131865,0.33172083566014116,0.3183352004478354,0.0007308906527144725,1.0962219559136402e-11,0.0007308906527144725,3.059917034992947e-10,2.418656758202816e-09,1.8205769713458895e-09,4.980576430408898e-07,4.375198796532691e-09,1.9198686113435507e-08,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,0.3309331797235023,0.5417626728110599,0.3309331797235023,0.4657258064516129,0.4753744239631336,0.4679339477726575,0.5051363287250383,0.43956413210445466,0.46663786482334874,0.00806827788661696,4.531016730672711e-06,0.00806827788661696,0.00011985448197505087,8.246775336597317e-05,0.00011013384146363153,2.4194052496496705e-05,0.0003128718153528878,0.00011574762573689955,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Fusión,last,0.1946100134019597,0.0007308906527144725,first,0.38024177942473825,0.18563176602277853
