id,fase,agg_registrada,rho_coherente_dev,p_coherente_dev,mejor_regla_dev,rho_mejor_dev,brecha,n_bloques_signo_positivo,rho_min,rho_max,rho_media,rho_residual_total,rho_mc_media,rho_mc_sd,frac_rho_positivo,frac_rho_pos_y_sig005,rango_medio_ruido,rango_mediano,prob_top3,robusto
R01_sn_ext,Reducción,sum,0.021351763692002968,0.7135583323381609,sum,0.021351763692002968,0.0,2,-0.06505850585058506,0.12934095850148866,0.025839189962802222,0.050458722675329276,0.05205215495848702,0.004347063348850458,1.0,0.0,11.9,12.0,0.0,False
R02_feo_ret,Reducción,sum,0.2740171532117841,1.630877218518332e-06,mean,0.27936264513445724,0.00534549192267314,3,-0.13628072196620586,0.319613928045445,0.18607932612227002,0.21085832256993614,0.23965491144072992,0.018891942556017595,1.0,1.0,2.0,2.0,0.996,True
R03_sn_net_l03,Reducción,sum,0.016265044788534723,0.7801349768422771,median,0.04695100836040434,0.030685963571869618,3,-0.05249324932493248,0.09346728382074478,0.024929603961597435,0.04970095910946505,0.06127952551938545,0.004088415932705708,1.0,0.0,9.7,13.0,0.0,False
R04_sn_net_l06,Reducción,sum,0.03496235711000812,0.548390913523598,min,0.10993253778488679,0.07497018067487868,3,-0.03716771677167716,0.11647906585314537,0.04050552312651027,0.06479850401747042,0.07610711727723692,0.005014029667878086,1.0,0.0,7.175,10.0,0.002,False
R05_sn_net_l10,Reducción,sum,0.05716149340310415,0.3262219555747283,last,0.13677222066483813,0.07961072726173399,3,-0.0030483048304830477,0.13900431306543234,0.061477331392822805,0.0828620780877982,0.09371598637720609,0.007157700989348545,1.0,0.005,5.365,7.0,0.006,False
R06_frac_sn,Reducción,survival,-0.03181084023823789,0.5882392574332078,max,0.0025183963430475153,0.0343292365812854,3,-0.12375103854351045,0.3080837173579109,0.056989473041697436,0.046659502798709965,-0.02481595106636203,0.008931664972783493,0.005,0.0,15.89,16.0,0.0,False
R07_kapp_sn,Reducción,kapp,-0.11052080140655238,0.06195564442028204,first,-0.02793227311840919,0.08258852828814318,1,-0.21420520587510128,0.3509024577572965,0.014707825400268534,-0.024931470418313045,-0.10759832208869435,0.007378348577601663,0.0,0.0,19.79,19.0,0.0,False
R08_feo_ret_frac,Reducción,product,0.3116152140542384,7.391037542132601e-08,twmean,0.3386187624955276,0.02700354844128916,3,-0.061011904761904774,0.37187996098158094,0.2280409197504092,0.2407930325482412,0.29119386390246466,0.019988386705059515,1.0,1.0,1.0,1.0,0.998,True
R09_selectividad,Reducción,ratio,0.019421793921423274,0.7445082503050277,last,0.06232283041750596,0.04290103649608269,2,-0.026881720430107527,0.06475363941769317,0.018400167909532902,0.05220940195391801,0.03854923224521323,0.03569704349469838,0.85,0.0,11.975,12.0,0.0,False
R10_log_selectividad,Reducción,ratio_log,0.019421793921423274,0.7445082503050277,last,0.06232283041750596,0.04290103649608269,2,-0.026881720430107527,0.06475363941769317,0.018400167909532902,0.05220940195391801,0.03854923224521323,0.03569704349469838,0.85,0.0,11.975,12.0,0.0,False
R11_util_carbon,Reducción,ratio,0.0118118423487551,0.839361493493122,first,0.038128427390172366,0.026316585041417265,2,-0.1057065706570657,0.16306643625192013,0.047835214540190914,0.05212025956645556,0.042994756021455756,0.008905164923831676,1.0,0.0,13.195,13.0,0.004,False
R12_d_avance,Reducción,sum,0.03147385960341898,0.588387861302268,sum,0.03147385960341898,0.0,3,-0.04326432643264326,0.12098897665907973,0.029970934851810987,0.05463133717595557,0.061508059427522514,0.0044429449046383546,1.0,0.0,9.6,10.0,0.01,False
R13_sn_residual,Reducción,last,-0.10478462885232655,0.07040596185552662,median,-0.03063590042872214,0.07414872842360441,1,-0.23252325232523252,0.23223886328725038,-0.0022866351398141763,-0.04979109594282303,-0.1032113061435209,0.0075240042550362984,0.0,0.0,19.205,19.0,0.0,False
R14_log_sn_feo_next,Reducción,last,0.04892819465331867,0.3992235270527693,median,0.12624946690309982,0.07732127224978115,3,-0.18539453945394535,0.3169162826420891,0.12617724506979994,0.0739744825862271,0.048884884738838626,0.00974669657037897,1.0,0.0,12.285,8.0,0.004,False
