Batch,irf_Rfin,feo_Rfin,sio2_Rfin,al2o3_Rfin,cao_Rfin,acidos_Rfin,R08,R02,SDI4,SDI8,ln_feo_ret,ln_sn_dep,irf_F0,kpi,es_lockbox,kpi_next,irf_F0_next,lockbox_next
AP0001,0.20249413242088107,16.94203607843137,45.7386,13.4395,24.4887,59.1781,0.8341036767844682,-1943.0229911495696,2.1214090993941914,1.3958188127607367,-0.18139757165836373,2.8469993860276466,0.20731935307358032,79.91765201995008,False,73.05531072136027,0.2000271482591093,False
AP0002,0.18356901987889115,15.49049009938222,48.0809,13.4205,22.8837,61.501400000000004,0.7878484821761506,-2627.873565831893,1.8642961395479989,0.910498183087747,-0.23844948911506295,2.8180940960082506,0.2000271482591093,73.05531072136027,False,79.15175258246624,0.2347297056749077,False
AP0003,0.20127653123948913,16.60819208165458,45.2884,13.15,24.0759,58.4384,0.8641082365727651,-1704.470369788978,2.065893205336232,1.481664228483755,-0.14605724421311927,2.650122182188709,0.2347297056749077,79.15175258246624,False,72.52505027310832,0.20645258758039672,False
AP0004,0.19421114182257757,16.220572828364222,45.3089,13.1893,25.0221,58.4982,0.949393551101272,-586.6077328218616,2.7303195932913678,2.5225921313213435,-0.051931865492505974,2.9380470552613915,0.20645258758039672,72.52505027310832,False,71.60074551166002,0.15125975558658047,False
AP0005,0.18090255094067756,15.424493193661025,44.9738,13.3106,26.9797,58.2844,0.8443233572588725,-1553.1176752504034,1.63604816401035,0.9591692318287133,-0.16921973304540916,2.3129270961919866,0.15125975558658047,71.60074551166002,False,73.67015516465584,0.15388562081113888,False
AP0006,0.17894117320634226,15.593023303787268,46.2562,13.5058,27.3785,59.762,0.8091995868686156,-2091.4634680825493,1.8833294916246386,1.0364907546979862,-0.21170968423166311,2.730168228551291,0.15388562081113888,73.67015516465584,False,74.14683229482415,0.14071885811312163,False
AP0007,0.1821573893400615,15.536932366371206,45.5967,13.244,26.4533,58.8407,0.909533218640213,-976.3769513737516,1.6459383653797275,1.2666433348895507,-0.09482375762254416,2.025233395869904,0.14071885811312163,74.14683229482415,False,59.56529046993668,0.14819022681327984,False
AP0008,0.1936396935196355,16.277178361536393,45.8079,12.9462,25.305,58.754099999999994,0.7797067928855109,-2644.4456635819715,1.8642029867544516,0.8688536406499812,-0.24883733652611761,2.859552332858922,0.14819022681327984,59.56529046993668,False,77.74576970038642,0.216566296639985,False
AP0009,0.1960057452640059,16.315773043244693,42.6792,13.2938,27.2683,55.973,,-0.0091371228181849,,,,,0.216566296639985,77.74576970038642,False,68.50557650116588,0.15968172171416026,False
AP0010,0.14426315310486357,12.3129899543379,43.1333,13.1027,29.1149,56.236,,8.386466230718005e-22,,,,,0.15968172171416026,68.50557650116588,False,65.4900480917299,0.1921983415885942,False
AP0011,0.23687445865804177,18.70697087295192,40.8231,13.3133,24.8378,54.136399999999995,,8.198174085964284e-22,,,,,0.1921983415885942,65.4900480917299,False,74.17638638591971,0.26356338090594456,False
AP0012,0.19428215722731582,15.72797604082729,44.5366,13.7189,22.6988,58.2555,,-0.0020927047900642,,,,,0.26356338090594456,74.17638638591971,False,64.58338515029256,0.18451536327723622,False
AP0013,0.22251573319628273,17.240630265914586,42.0677,13.0415,22.3713,55.1092,,0.3333997570598368,,,,,0.18451536327723622,64.58338515029256,False,72.27735907223597,0.1938035616483967,False
AP0014,0.24277092848849677,19.133699403706686,41.6011,12.9927,24.22,54.5938,,2.019275156378292,,,,,0.1938035616483967,72.27735907223597,False,76.89084849130701,0.2711199340091104,False
AP0015,0.2310967974372561,18.094601923180228,42.2893,12.963,23.0465,55.2523,,17.874748168550305,,,,,0.2711199340091104,76.89084849130701,False,73.18325133927344,0.1835175294881918,False
AP0016,0.21782041384731582,17.68446910556003,43.126,13.0752,24.9871,56.2012,,20.7578295401885,,,,,0.1835175294881918,73.18325133927344,False,70.17902842181307,0.25837941026112404,False
AP0017,0.25322233096187113,19.652154627988182,40.5268,13.2219,23.8596,53.7487,,-0.0107476868392025,,,,,0.25837941026112404,70.17902842181307,False,70.14778707534529,0.21822720982168414,False
AP0018,0.20998715738470874,16.584134730056405,43.4256,12.9746,22.5767,56.400200000000005,,-1.144120383079023e-23,,,,,0.21822720982168414,70.14778707534529,False,68.85542078251675,0.22510570744963498,False
AP0019,0.20412304092815653,16.392447810905185,44.0389,13.1671,23.1007,57.205999999999996,,4.381171963115168e-22,,,,,0.22510570744963498,68.85542078251675,False,71.49362988104966,0.2544884340380758,False
AP0020,0.2358496878800083,18.49096930432447,42.4728,13.0516,22.8771,55.5244,,6.338127549795581e-22,,,,,0.2544884340380758,71.49362988104966,False,71.54015202378017,0.24239052761086594,False
AP0021,0.23784929015445427,18.42149887724953,41.4205,13.0699,22.9599,54.490399999999994,0.8246054515901878,-2089.4117757182976,1.8659477155104567,1.0945467253598262,-0.19285024753765762,2.637348705661087,0.24239052761086594,71.54015202378017,False,57.76210596236788,0.22954027797541182,False
AP0022,0.20715887830419474,16.60587640075208,43.9705,13.5263,22.6633,57.4968,0.804004595710023,-2177.1571227504974,2.0595398772970093,1.186938702247951,-0.21815029376226464,2.932141052346068,0.22954027797541182,57.76210596236788,False,73.71980227073506,0.2665920429590539,False
AP0023,0.22235404091234467,17.739916798280955,41.7794,12.9824,25.0205,54.7618,0.9637844558971844,-358.1778951462329,2.2047494389005755,2.0571990275406216,-0.03688760283998849,2.3522998502605295,0.2665920429590539,73.71980227073506,False,69.97752808840514,0.26501894594627357,False
AP0024,0.2425012961317627,18.72073630942788,41.6263,12.8277,22.7445,54.454,0.8548286311448673,-1756.3901321293652,1.979999393791657,1.3525823476158647,-0.15685426154394808,2.6074164399674493,0.26501894594627357,69.97752808840514,False,71.64213374701936,0.23593867659821047,False
AP0025,0.23399785140149187,18.286932087026592,41.2801,13.2935,23.5764,54.5736,0.921099364184366,-809.1100368257285,2.339462975058576,2.0107135299913663,-0.08218736126680234,2.6682124201257853,0.23593867659821047,71.64213374701936,False,74.97094771520791,0.2908460559383736,False
AP0026,0.22677681586828732,17.97444381412839,43.2355,13.1277,22.8973,56.363200000000006,0.9373272210959336,-630.511707886686,2.2723533009422034,2.0134619584617526,-0.06472283562011272,2.5312446434226543,0.2908460559383736,74.97094771520791,False,69.86460301210657,0.24663717796756457,False
AP0027,0.2099782927034871,16.83139799086758,42.8412,13.3599,23.9567,56.2011,0.8290595205705614,-1731.0936697223897,1.675883174447189,0.9260298608882098,-0.18746332838974478,2.425736488006168,0.24663717796756457,69.86460301210657,False,66.29014116195945,0.25645132445618407,False
AP0028,0.206643650428264,16.8324271823798,43.7968,13.4839,24.1756,57.280699999999996,0.8356072729377328,-1636.620038276691,1.803181664482091,1.0847954825348936,-0.17959654548679937,2.5215678464292886,0.25645132445618407,66.29014116195945,False,67.01348465735106,0.21575058081616497,False
AP0029,0.2070165116192721,16.558919538006982,43.9106,13.3855,22.6923,57.2961,0.8597505997398739,-1443.1503587869993,1.943973859393713,1.3395221310126133,-0.15111293209527493,2.5484255877748128,0.21575058081616497,67.01348465735106,False,71.22694488104591,0.1963544588256862,False
AP0030,0.20395188178516954,16.368647757185066,42.7762,13.3825,24.0987,56.1587,0.830728482031608,-1691.7004907002977,1.2121880934832918,0.4703789977204036,-0.18545227394072206,1.95399718924618,0.1963544588256862,71.22694488104591,False,64.60847930118547,0.19111324291538573,False
AP0031,0.18421184646713679,15.374062809562181,43.9647,13.9139,25.58,57.8786,0.6821152701110167,-3344.214206587332,1.8903408765460639,0.36011440589615207,-0.38255661766247795,3.4205673471959757,0.19111324291538573,64.60847930118547,False,72.28606164433323,0.2675849141363756,False
AP0032,0.19207723297436266,15.862928777867308,44.7037,14.0957,23.7868,58.7994,0.7081464792241787,-2946.663934548322,2.0943134281238542,0.7138961676120541,-0.34510431512795003,3.4747306886356544,0.2675849141363756,72.28606164433323,False,70.20180396607145,0.35066841343241417,False
AP0033,0.2252299260510302,17.65590904109589,42.3404,13.3815,22.6687,55.721900000000005,0.7439013002579441,-2959.146764897536,1.054714480235543,-0.12867317533609723,-0.29584691389291007,2.2381021358071833,0.35066841343241417,70.20180396607145,False,73.4113115470715,0.24153849049735915,False
AP0034,0.2355498391493688,18.36026198227236,41.3306,12.9319,23.6839,54.262499999999996,0.8202741572292319,-1879.9687718809944,2.004342254879334,1.2118756288076065,-0.19811665651793192,2.796808880951062,0.24153849049735915,73.4113115470715,False,72.33746690454569,0.24863511478562203,False
