fase,target,set,n_dev,n_lockbox,sd_dev,r2_oof,mae_oof,r2_lockbox,mae_lockbox
Reducción,sdi,A_estado,1015,242,0.761346460928974,0.26192508186857233,0.4872425494193256,0.1924693252125651,0.4642331692350856
Reducción,sdi,B_estado+control,1015,242,0.761346460928974,0.25099208936256656,0.4918844019754991,0.24241134870382974,0.4406808940715688
Reducción,sdi,C_control,1015,242,0.761346460928974,0.06555887606476907,0.5430435056811368,-0.16098507371275317,0.5325608810372842
Reducción,ln_feo_ret,A_estado,1015,242,0.09095940308502112,0.2667339221602639,0.05887153155128314,0.27928355683704587,0.051191987619796465
Reducción,ln_feo_ret,B_estado+control,1015,242,0.09095940308502112,0.26731267629646016,0.05820167897027308,0.2549467412769232,0.05155171823083998
Reducción,ln_feo_ret,C_control,1015,242,0.09095940308502112,0.1208546956846871,0.06313425154476968,0.021252556986147253,0.056915064091660035
Reducción,ln_sn_dep,A_estado,1015,242,0.6573957996951899,0.7427979498932267,0.24828358680038506,0.8044341246491417,0.222740366359239
Reducción,ln_sn_dep,B_estado+control,1015,242,0.6573957996951899,0.7463509307118059,0.2468136323843101,0.810267261751233,0.22063865406099278
Reducción,ln_sn_dep,C_control,1015,242,0.6573957996951899,0.7317718415406005,0.25982365375296484,0.7855963620640464,0.23637685134819603
Fusión,irf_next,A_estado,1769,375,0.03957417200454158,0.7093969636044295,0.014716874488038474,0.5403172939203477,0.021694891443725755
Fusión,irf_next,B_estado+control,1769,375,0.03957417200454158,0.7143280393972777,0.014663649215801901,0.596374544176486,0.020550917908054047
Fusión,irf_next,C_control,1769,375,0.03957417200454158,0.1568023792063008,0.027152397885774872,-0.07879996009165313,0.033338168037740035
Fusión,d_irf,A_estado,1768,375,0.02328287114652076,0.36774790761706067,0.013042467857902897,0.16227927868071512,0.015399562318900559
Fusión,d_irf,B_estado+control,1768,375,0.02328287114652076,0.3742355757190009,0.013026796354181323,0.21766735971752982,0.014845595930209237
Fusión,d_irf,C_control,1768,375,0.02328287114652076,0.23842668713455828,0.014402200800719763,0.09087416609417143,0.01590978288209909
