Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0001,1,False,33.74924000000001,3.48976,4.99101946,49.90738644348362,0.7539985730352762,79.91765201995008,67.62373749669,68.66106582307522,,77.33343087719807,,73.32495108111651,77.42865897594358,71.22380360672044,91.73630501566433,0.906287494293617
AP0002,2,False,33.28864000000001,5.89424,6.383471948,49.489247137855884,0.677557695042795,73.05531072136027,67.26438959007012,68.19809021156784,77.33343087719807,74.89099740544182,,77.18759475775913,70.94134119377311,72.15088582243601,87.06449002824175,0.8495710371468355
AP0003,3,False,37.35171999999999,3.6393600000000004,6.198930052000001,50.07122599508495,0.7166118721381775,79.15175258246624,74.59717483983012,75.68029993498381,74.89099740544182,74.43191953402965,75.16687205110435,73.25697188322941,74.40490560794431,75.90824296476922,92.28785923972109,0.9112158059753487
AP0004,4,False,35.99344,6.09688,7.538656284,50.40747014784682,0.6135960623917533,72.52505027310832,71.4049721091537,72.28487572232059,74.43191953402965,72.59465815905455,74.01488389024833,73.69311930601395,75.22434261425705,74.8933202794577,87.71508006711477,0.8551476919158609
AP0005,5,False,32.39488,5.537920000000001,7.310974724,48.723457591627046,0.9487540114335764,71.60074551166002,66.48723551500777,67.80760019917808,72.59465815905455,73.14889962190185,74.22827738756251,73.20948251553412,72.86125205393887,64.74821803021842,87.75981881754362,0.8540070862156234
AP0006,6,False,33.169079999999994,3.93856,7.916128344,49.79558125591482,0.692970731406038,73.67015516465584,66.61048864864912,67.55054292570489,73.14889962190185,69.28783564674201,70.44039398325305,73.32573091053104,65.28539433604091,77.9970622155334,91.25226487061724,0.8938612102521205
AP0007,7,False,34.60576,4.12488,7.941293148,49.04984223379435,1.6964489338718214,74.14683229482415,70.55223508172128,73.07978919444535,69.28783564674201,70.48412158022165,71.35547725687447,66.24004506839307,78.71610698684108,69.68647741891313,91.16196882841832,0.8934982742345595
AP0008,8,False,25.981759999999998,9.457439999999998,8.179759624,45.648046639036004,0.6199905431681814,59.56529046993668,56.917572411043004,57.70126950335819,70.48412158022165,68.49468144905154,70.70120621714852,73.52202602816976,63.31575906805891,62.51811840268622,78.31805232971139,0.7331361881758053
AP0009,9,False,32.688880000000005,3.13888,6.218103236000001,49.68851977121447,4.475538841715918e-06,77.74576970038642,65.78759067589957,65.78759660151267,68.49468144905154,70.37545561547985,69.06365873562608,68.46937354126888,67.72667223489238,74.03081055727374,92.53462824063874,0.9123897223828674
AP0010,10,False,32.743759999999995,5.857520000000001,9.195938376,47.94042176779384,2.75346014193026e-25,68.50557650116588,68.30094269633042,68.30094269633042,70.37545561547985,69.3479879990898,69.01786408453583,67.76332645808559,74.06304688210626,64.95380259598465,87.74506090726571,0.8482558091337904
AP0011,11,False,29.56072,7.66088,7.916128344,47.26575618924079,8.38733337341065e-25,65.4900480917299,62.5415150064371,62.5415150064371,69.3479879990898,67.9321072263759,69.8513982458237,72.05078381983527,62.5917734712787,70.58674973290074,83.0277679425612,0.7941818728910095
AP0012,12,False,32.937799999999996,3.8719200000000003,7.594977511999999,49.077048163706095,3.967832077588841e-07,74.17638638591971,67.11446843772984,67.11446898034386,67.9321072263759,70.11850817901053,68.88386630955802,65.08818417395055,72.7816337652345,75.62113901318048,91.28038199347344,0.8948125658114214
AP0013,13,False,32.21652,8.31776,9.349323848000001,48.207357352155604,4.173146019827141e-05,64.58338515029256,66.82905218109707,66.82911003277155,70.11850817901053,71.05242810354513,70.5635209005183,72.34080426499337,75.21063450867379,74.26892350896264,83.32566342771666,0.7947968978356098
AP0014,14,False,32.1146,5.002079999999999,7.31576802,49.22584475281727,0.0005105636858948538,72.27735907223597,65.23930703730998,65.23998369744069,71.05242810354513,74.16891266359157,72.0573568636016,75.15151102362805,74.20832422700857,69.4609622391744,88.74228132164032,0.8652336361980651
AP0015,15,False,35.33096,4.76952,5.8490194440000005,48.45697475661744,0.0021041805749200367,76.89084849130701,72.91202180378602,72.91518805019497,74.16891266359157,73.39167566267841,71.25892406837568,75.99259200618161,71.44728723185237,72.60921279846639,89.62008279151604,0.881060775332365
AP0016,16,False,30.46036,3.72368,7.4379970680000005,45.60823478190104,0.0013265584698849574,73.18325133927344,66.78697420687666,66.7889168254352,73.39167566267841,71.10441748329784,72.52407277829087,68.32773793991079,69.56252949627066,68.56138723962052,91.05358540256826,0.8910696336653011
