kpi,n,sd,r_con_K0,r_con_K1,SDI_dev,SDI_dev_p,SDI_lockbox,SDI_lockbox_p,SDI_total,SDI_total_p,lnIRF_R_dev,lnIRF_R_dev_p,lnIRF_R_lockbox,lnIRF_R_lockbox_p,lnIRF_R_total,lnIRF_R_total_p,IRF_finF_dev,IRF_finF_dev_p,IRF_finF_lockbox,IRF_finF_lockbox_p,IRF_finF_total,IRF_finF_total_p,z(SDI)+z(lnIRF_R)_dev,z(SDI)+z(lnIRF_R)_dev_p,z(SDI)+z(lnIRF_R)_lockbox,z(SDI)+z(lnIRF_R)_lockbox_p,z(SDI)+z(lnIRF_R)_total,z(SDI)+z(lnIRF_R)_total_p
K0_proxy,362,4.5845502493381325,0.9999999999999999,0.566311226824037,0.31902295393951363,3.461131920085165e-08,0.09379800307219663,0.4646543359147226,0.27981481220094007,1.065610557184924e-07,0.3042149446701533,8.047930565717584e-08,0.3801363287250384,0.0021186647295910123,0.3307640615456535,1.089315639699554e-10,0.1946100134019597,0.0007308906527144725,0.3309331797235023,0.00806827788661696,0.22511210419185498,1.575617355042247e-05,0.4103831983164461,4.800632721803348e-13,0.2555203533026114,0.043258577818068036,0.3985441867686705,9.801523462264432e-15
K1_recuperacion_real,362,5.186793397109839,0.566311226824037,1.0,0.12307153693546505,0.037513830791437545,0.2728494623655914,0.030499537268235375,0.1447719734074837,0.006745640102325103,0.26176561693340217,4.483013575407319e-06,0.49692780337941633,3.432089445497029e-05,0.3170764284154039,6.747381186930367e-10,0.27763369140667066,1.123890266805925e-06,0.35287058371735797,0.0045596219037355125,0.3004157675374828,5.774670796735413e-09,0.2589695285459085,9.151645391465525e-06,0.44676459293394777,0.00024210353427171598,0.3065656979124028,4.975851254722208e-09
K2_recup_corr_escoria,362,5.29094293405522,0.5584683987194053,0.9931718527433495,0.13184068819498856,0.025773678915425934,0.25014400921658986,0.0480128472767117,0.14723248690840826,0.00585675242337472,0.27400327714304956,1.5056015155636823e-06,0.4805587557603687,6.714579712996883e-05,0.3240572250271019,2.6926688493564025e-10,0.27202441238040886,1.8762574936190983e-06,0.34101382488479265,0.0062377194274983025,0.29562321768363914,1.0292455307552295e-08,0.2693057904867917,3.836176763682478e-06,0.43010752688172044,0.00043444071851921154,0.31068076277047724,3.0188788966189194e-09
K3_ventana3_centrada,360,2.8921148590003276,0.6550153253021661,0.4329394714187879,0.2216788400628282,0.00016131500207178833,0.13721638840623504,0.2875574734941508,0.20940330254655784,8.482679372123323e-05,0.2277945443979876,7.244497643538547e-05,0.44292513409382794,0.00031211586723587715,0.2903983312628441,1.9982087393030343e-08,0.1510144983299346,0.00914656038412299,0.4427236785777241,0.00031432563898320354,0.22762639859323697,1.3296475296264433e-05,0.2836029796741435,1.1329242028412732e-06,0.332477147389892,0.00828521968021406,0.3147092393068179,2.044672567101043e-09
K3_ventana5_centrada,358,2.48785532542267,0.4841142722655464,0.36362417083512705,0.14655850296123027,0.01342396839070175,0.274246430460074,0.03245075357543727,0.16744244492889998,0.001803114758698065,0.17474857407743316,0.0025098593984949377,0.46652564780539385,0.00015083532779230614,0.2518342018807492,1.3911562232235934e-06,0.10183048996608318,0.0802746914348308,0.4193019566367001,0.0007694628180361429,0.18728376417417764,0.00037405614530317937,0.1932974824958679,0.0010600935846340846,0.41496562665256476,0.0008834403165391776,0.2568613125887655,1.331226543269471e-06
K5_DP_desplazados_1,361,4.266614775514743,0.3244317097309257,0.4329083863622278,0.14673157394595135,0.012989827904543751,0.39774873460753957,0.0013679234133900076,0.1856094569826141,0.0005007945523350286,0.1844210006509394,0.0013595772576194666,0.5240109793256277,1.2369798548609468e-05,0.2578008703060355,6.855641682975634e-07,0.14961652166204253,0.009695578877087196,0.40338948905844724,0.0011500544168970084,0.20499900976602187,8.93823440265482e-05,0.212368632651046,0.0002979269749306102,0.5330764775503009,8.172869838297921e-06,0.2806977930157486,1.0098478564911679e-07
K5_DP_desplazados_2,360,4.098383788526836,0.25039082641274163,0.3405545169378655,0.08680279925466061,0.14311067898736954,0.29397144368059225,0.021473283918783875,0.12231841134953836,0.02267410986028073,0.07629323696437791,0.18829966598293843,0.27287149656266524,0.033365011345286924,0.13039246702006443,0.013286414317441167,0.045674359359798515,0.43212645309473086,0.13722897937599152,0.29159971289645614,0.08888802435899432,0.09263784796552461,0.09754686904879457,0.09968736758296512,0.31586462189317815,0.01314599160785431,0.15925105362229514,0.0029315913778657533
K5_DP_desplazados_3,359,4.217479560232725,0.5037113931420049,0.42109484271817055,0.14394924715848975,0.014832473477938687,0.035843289802722986,0.7857082731408325,0.12365741468357293,0.02141007180873714,0.16063567596686945,0.00536734681810974,0.14954153931647685,0.2541183207183951,0.17823926383550417,0.0006923784429180368,0.09741304313816716,0.09324237244190459,0.22195054181717147,0.08830897459524908,0.1360900968594593,0.009938998655037851,0.2001036191023354,0.0006647283252006088,0.08285634898582941,0.5290969064006187,0.20305407423555802,0.0001429262950527415
K6_solo_dross,362,3.7375835693870996,0.7168302991430063,0.5675792793827126,0.19620097489160387,0.0008498989474957023,0.11880760368663595,0.353712233947324,0.1765545471226728,0.0009245378815717761,0.1353222149895625,0.01923648359977702,0.4396121351766514,0.0003123432619566369,0.20562273367904246,8.117642141797e-05,0.05259730704726327,0.3655815423402192,0.4654857910906298,0.00012095727307409335,0.1408750503767415,0.007346302493699242,0.21731977906560704,0.00021266747282375542,0.30227534562211983,0.016048492968119298,0.2498129772608579,2.298014197965572e-06
K7_M_sobre_MD,362,4.5262089224300075,0.803617226470957,0.5948144416152357,0.22845472883983794,9.687992666778282e-05,0.13488863287250383,0.2918682250898405,0.20577582678165626,0.00010797507728374288,0.17273865906489191,0.0027266869038048993,0.442300307219662,0.0002840127607137419,0.2390483946836564,4.238573824136264e-06,0.07984652250774223,0.1692034854777827,0.4408122119815668,0.0002993914275930039,0.1612017467338016,0.0021239595474831776,0.26309787773202403,6.494926126137359e-06,0.3115399385560676,0.012938839959973426,0.2906581788925431,3.1966452601860003e-08
