id,fase,n_replicas,rho_dev_base,rho_mc_media,rho_mc_sd,rho_mc_p5,rho_mc_p95,frac_rho_positivo,frac_rho_pos_y_sig005,rango_medio_ruido
R01_sn_ext,Reducción,200,0.021351763692002968,0.05205215495848702,0.004347063348850458,0.04508885401794652,0.058748105961412056,1.0,0.0,11.9
R02_feo_ret,Reducción,200,0.2740171532117841,0.23965491144072992,0.018891942556017595,0.2096333132224582,0.2712858648662558,1.0,1.0,2.0
R03_sn_net_l03,Reducción,200,0.016265044788534723,0.06127952551938545,0.004088415932705708,0.05480664651951491,0.06856382278033868,1.0,0.0,9.7
R04_sn_net_l06,Reducción,200,0.03496235711000812,0.07610711727723692,0.005014029667878086,0.0691411658730013,0.08570520359256861,1.0,0.0,7.175
R05_sn_net_l10,Reducción,200,0.05716149340310415,0.09371598637720609,0.007157700989348545,0.08362566655534265,0.10708610197959481,1.0,0.005,5.365
R06_frac_sn,Reducción,200,-0.03181084023823789,-0.02481595106636203,0.008931664972783493,-0.037812453307958196,-0.009751937348272073,0.005,0.0,15.89
R07_kapp_sn,Reducción,200,-0.11052080140655238,-0.10759832208869435,0.007378348577601663,-0.1196143266233125,-0.094669874413135,0.0,0.0,19.79
R08_feo_ret_frac,Reducción,200,0.3116152140542384,0.29119386390246466,0.019988386705059515,0.26033645430307817,0.3248765868278063,1.0,1.0,1.0
R09_selectividad,Reducción,200,0.019421793921423274,0.03854923224521323,0.03569704349469838,-0.022154872555169066,0.10228828937429704,0.85,0.0,11.975
R10_log_selectividad,Reducción,200,0.019421793921423274,0.03854923224521323,0.03569704349469838,-0.022154872555169066,0.10228828937429704,0.85,0.0,11.975
R11_util_carbon,Reducción,200,0.0118118423487551,0.042994756021455756,0.008905164923831676,0.029532972569885328,0.05872758697386651,1.0,0.0,13.195
R12_d_avance,Reducción,200,0.03147385960341898,0.061508059427522514,0.0044429449046383546,0.05431237698526872,0.0692514922745445,1.0,0.0,9.6
R13_sn_residual,Reducción,200,-0.10478462885232655,-0.1032113061435209,0.0075240042550362984,-0.11481713092859867,-0.09066029943211151,0.0,0.0,19.205
R14_log_sn_feo_next,Reducción,200,0.04892819465331867,0.048884884738838626,0.00974669657037897,0.03216774034252879,0.06339208996431056,1.0,0.0,12.285
R15_d_log_sn_feo,Reducción,200,0.07412977386715348,0.07530487927920085,0.009164245907711853,0.05961092371947346,0.09044214223671473,1.0,0.0,7.435
R16_feo_por_sn_disp,Reducción,200,0.09151867346651718,0.07006196638454805,0.034335805426947044,0.01519518355009347,0.12636190138011477,0.99,0.115,8.325
R17_dT,Reducción,200,-0.0413746043859846,-0.04137460438598461,6.938893903907228e-18,-0.0413746043859846,-0.0413746043859846,0.0,0.0,16.99
R18_T_ventana,Reducción,200,-0.0775964624812013,-0.07759646248120132,1.3877787807814457e-17,-0.0775964624812013,-0.0775964624812013,0.0,0.0,18.005
R19_T_gas_bhf,Reducción,200,0.11114542883436959,0.1111454288343696,1.3877787807814457e-17,0.11114542883436959,0.11114542883436959,1.0,0.0,4.125
R20_fe_metalizado_por_sn,Reducción,200,0.21610172742545852,0.14243736724300715,0.020756778034707664,0.11221998996092637,0.17935551553281978,1.0,0.92,3.065
F01_sn_ext,Fusión,200,0.0632000687442765,0.08337671568777492,0.0031096367432284075,0.07849963802692136,0.08845313814674773,1.0,0.0,4.48
F02_frac_sn_ext,Fusión,200,0.014256331691655516,0.02927051989108709,0.004733862771374447,0.021595243113159884,0.03729691081478384,1.0,0.0,12.4
F03_feo_formado,Fusión,200,0.058068281295593806,0.04851292888935141,0.01413020602758596,0.02858671335473203,0.07179280855966001,1.0,0.0,9.45
F04_feo_ret_por_fe,Fusión,200,0.10875312801195497,0.10349009386359839,0.014075402426246561,0.08041797064265695,0.12753693474440483,1.0,0.24,3.095
F05_ley_feo_next,Fusión,200,0.12069044481547726,0.1151272097872623,0.013592828512899464,0.09602840825484536,0.13687928645617584,1.0,0.515,2.335
F06_B2_ventana,Fusión,200,0.0893188126920254,0.08616008120531025,0.014399045179964586,0.06093785603560917,0.11002072531106671,1.0,0.03,4.715
F07_T_media,Fusión,200,0.010860362281430272,0.01086036228143027,1.734723475976807e-18,0.010860362281430272,0.010860362281430272,1.0,0.0,13.99
F08_T_ventana,Fusión,200,-0.036559448721689744,-0.03655944872168975,6.938893903907228e-18,-0.036559448721689744,-0.036559448721689744,0.0,0.0,15.0
F09_T_gas_bhf,Fusión,200,0.07680545891225787,0.07680545891225787,0.0,0.07680545891225787,0.07680545891225787,1.0,0.0,5.75
F10_irf_next,Fusión,200,0.1946100134019597,0.18878877890258103,0.01036291621113692,0.1713489862599871,0.20383135976949804,1.0,1.0,1.0
F11_log_sn_feo_next,Fusión,200,0.04129485921140429,0.04197688088262934,0.003641177043319471,0.03610233102500391,0.047613324327651724,1.0,0.0,10.395
F12_d_log_sn_feo,Fusión,200,0.05477345337281141,0.05858112901591162,0.004689574644195683,0.050550441679709256,0.06580616154587557,1.0,0.0,8.31
F13_masa_por_carga,Fusión,200,0.03801726270357726,0.04884148889401296,0.015601195003214427,0.022934922613942168,0.07403769916171432,1.0,0.0,9.49
F14_sn_ret_por_c,Fusión,200,-0.0037913797917851007,0.029410645860033214,0.004631012513105182,0.02169248762892933,0.03589633131545398,1.0,0.0,12.275
F15_dT,Fusión,200,-0.0653520684159727,-0.06535206841597271,1.3877787807814457e-17,-0.0653520684159727,-0.0653520684159727,0.0,0.0,16.0
F16_sn_ret_frac,Fusión,200,0.06253938001822448,0.0633911991455032,0.004106363660500188,0.05692361653844,0.0701370282928497,1.0,0.0,7.315
