w,rho_dev,p_dev,rho_lockbox,p_lockbox,rho_total,p_total,rho_dev_T1,p_dev_T1,rho_dev_T2,p_dev_T2,rho_dev_T3,p_dev_T3,elegido
0.0,-0.06247795849849764,0.29234103562273,0.35335061443932414,0.004501019629224942,0.021521871074286842,0.6886662550153835,-0.22348631608608366,0.0363435231686673,-0.007548754875487548,0.9405810843637766,0.04293938756383528,0.6746184368697902,False
0.5,-0.005066820214445374,0.9320125663813235,0.34230990783410137,0.00603109206899036,0.07047157960111225,0.18903873357491727,-0.19953506392870982,0.06234543317765894,0.016825682568256825,0.8680364149489663,0.15573577134696426,0.12569927829793415,False
1.0,0.04514689418412139,0.44692743178921757,0.32642089093702,0.009029266872291752,0.10946659703304304,0.040971934030404035,-0.1636962417667571,0.12752116734901234,0.04603660366036603,0.6492391977632247,0.2452358637925648,0.014939141695012877,False
1.5,0.08769074314645559,0.13904905939078785,0.3026113671274962,0.015925416952728658,0.14430759241746297,0.006926346107675551,-0.11630446268183581,0.28054327419063874,0.08114011401140113,0.4222497539028673,0.3033172031699277,0.0023971988300050926,False
2.0,0.12602057762519892,0.033141237965057545,0.3031874039938557,0.015716311927483708,0.17285530791706072,0.0011867058056380636,-0.06341798457257583,0.5572046774535949,0.11774377437743773,0.24333240810330722,0.34408252523127336,0.0005222055597048571,False
3.0,0.18509218637588343,0.0016683122705050157,0.2572004608294931,0.041855001741585234,0.21303739043290468,6.0273985482691617e-05,0.004402803705399598,0.9675258116115502,0.17220522052205217,0.08667109334946267,0.38934899170539816,7.418478563006257e-05,False
4.0,0.22676655821713587,0.0001094205483927582,0.23967933947772657,0.05849376259717129,0.23831665419848405,6.758084277547103e-06,0.0572012257405516,0.5965582206745906,0.2137173717371737,0.03275795480453093,0.42251464784601744,1.4657731161739759e-05,False
5.0,0.2534684827367754,1.43243047642472e-05,0.18226766513056836,0.15279104803243762,0.2520851976795065,1.8450714895182429e-06,0.09957380860131733,0.3559936737686285,0.26228622862286227,0.00838380296242023,0.44291643555266524,4.948917541446693e-06,False
6.0,0.28117941108955224,1.3503909677674353e-06,0.15456989247311828,0.226440898677042,0.26643640521122985,4.3908517430708715e-07,0.13743792046775388,0.2016316679686686,0.3074827482748274,0.0018587113883911923,0.4648356062199949,1.4216601732158493e-06,False
8.0,0.3089924196471051,9.621044892854851e-08,0.11309523809523811,0.3774924153719626,0.2774059593207899,1.3828195046733926e-07,0.16545736324891694,0.12342046443488726,0.34364236423642364,0.000464463234802453,0.4787088218605155,6.166006189456843e-07,False
10.0,0.31902295393951363,3.461131920085165e-08,0.09379800307219663,0.4646543359147226,0.27981481220094007,1.065610557184924e-07,0.1911697368884506,0.07439383171648466,0.3514431443144314,0.0003366559827758591,0.47984367130169775,5.749307859368287e-07,True
12.0,0.32552530909398686,1.7480342067254894e-08,0.06907642089093702,0.5906176998388857,0.27886318404449023,1.1815029346430033e-07,0.21126413299989438,0.048170775083086495,0.35619561956195617,0.00027558614708731073,0.46914548387302435,1.1010109652668293e-06,False
16.0,0.3272509262239686,1.454240141756307e-08,0.03245007680491552,0.8006752893674087,0.27509534630965315,1.7713481518240984e-07,0.23273220386742283,0.02910492993120806,0.3596879687968797,0.00023741450184558302,0.44343923136264807,4.808636678545845e-06,False
20.0,0.32624346128839066,1.6193946612034117e-08,0.012048771121351765,0.9253296348759634,0.26984064251132717,3.0845578461513735e-07,0.23632489169102888,0.026641782888397133,0.3530153015301529,0.00031519539228957153,0.4248736045495986,1.2974425103518659e-05,False
30.0,0.3255155627427771,1.749846153766932e-08,0.005376344086021506,0.966642861275263,0.26321763800866654,6.103923000823948e-07,0.2614560952414498,0.013871687736643021,0.33549354935493547,0.0006443766973852775,0.4082078942167307,3.013080614584921e-05,False
50.0,0.3219376259170868,2.5533179762012537e-08,-0.018385176651305683,0.8862762349285074,0.2557923412423956,1.283805479219238e-06,0.2785565848332218,0.008589798106262342,0.32898889888988897,0.0008315605125231544,0.4015645620947535,4.164393498374062e-05,False
100.0,0.31836840951089984,3.7041944233139774e-08,-0.03110599078341014,0.8087719525479952,0.24948071195675187,2.372562398508827e-06,0.2807051530414568,0.008071006409231179,0.32398439843984395,0.0010080259538497575,0.3921032330457956,6.525728120464068e-05,False
