rho_dev_T1,p_dev_T1,n_dev_T1,rho_dev_T2,p_dev_T2,n_dev_T2,rho_dev_T3,p_dev_T3,n_dev_T3,rho_lockbox,p_lockbox,n_lockbox,rho_dev,p_dev,n_dev,rho_total,p_total,n_total,w,variante
-0.22348631608608366,0.0363435231686673,88,-0.007548754875487548,0.9405810843637766,100,0.04293938756383528,0.6746184368697902,98,0.35335061443932414,0.004501019629224942,63,-0.06247795849849764,0.29234103562273,286,0.021521871074286842,0.6886662550153835,349,0.0,SDI_log
-0.21420520587510128,0.04506819499041199,88,0.0032403240324032404,0.9744752961683544,100,0.10023015766756561,0.32611335244004186,98,0.35272657450076805,0.004577333485391548,63,-0.03432536654616244,0.5631812321245095,286,0.04562310330712662,0.39549484342857266,349,0.25,SDI_log
-0.19953506392870982,0.06234543317765894,88,0.016825682568256825,0.8680364149489663,100,0.15573577134696426,0.12569927829793415,98,0.34230990783410137,0.00603109206899036,63,-0.005066820214445374,0.9320125663813235,286,0.07047157960111225,0.18903873357491727,349,0.5,SDI_log
-0.17829593885386216,0.09651375376463697,88,0.031755175517551755,0.7537956498621141,100,0.2021753406142213,0.04588807031616813,98,0.3293010752688172,0.008405030196854634,63,0.022937524606330768,0.699303572276942,286,0.09206910666647845,0.0858930043197566,349,0.75,SDI_log
-0.1636962417667571,0.12752116734901234,88,0.04603660366036603,0.6492391977632247,100,0.2452358637925648,0.014939141695012877,98,0.32642089093702,0.009029266872291752,63,0.04514689418412139,0.44692743178921757,286,0.10946659703304304,0.040971934030404035,349,1.0,SDI_log
-0.11630446268183581,0.28054327419063874,88,0.08114011401140113,0.4222497539028673,100,0.3033172031699277,0.0023971988300050926,98,0.3026113671274962,0.015925416952728658,63,0.08769074314645559,0.13904905939078785,286,0.14430759241746297,0.006926346107675551,349,1.5,SDI_log
-0.06341798457257583,0.5572046774535949,88,0.11774377437743773,0.24333240810330722,100,0.34408252523127336,0.0005222055597048571,98,0.3031874039938557,0.015716311927483708,63,0.12602057762519892,0.033141237965057545,286,0.17285530791706072,0.0011867058056380636,349,2.0,SDI_log
0.004402803705399598,0.9675258116115502,88,0.17220522052205217,0.08667109334946267,100,0.38934899170539816,7.418478563006257e-05,98,0.2572004608294931,0.041855001741585234,63,0.18509218637588343,0.0016683122705050157,286,0.21303739043290468,6.0273985482691617e-05,349,3.0,SDI_log
0.0572012257405516,0.5965582206745906,88,0.2137173717371737,0.03275795480453093,100,0.42251464784601744,1.4657731161739759e-05,98,0.23967933947772657,0.05849376259717129,63,0.22676655821713587,0.0001094205483927582,286,0.23831665419848405,6.758084277547103e-06,349,4.0,SDI_log
0.13743792046775388,0.2016316679686686,88,0.3074827482748274,0.0018587113883911923,100,0.4648356062199949,1.4216601732158493e-06,98,0.15456989247311828,0.226440898677042,63,0.28117941108955224,1.3503909677674353e-06,286,0.26643640521122985,4.3908517430708715e-07,349,6.0,SDI_log
0.16545736324891694,0.12342046443488726,88,0.34364236423642364,0.000464463234802453,100,0.4787088218605155,6.166006189456843e-07,98,0.11309523809523811,0.3774924153719626,63,0.3089924196471051,9.621044892854851e-08,286,0.2774059593207899,1.3828195046733926e-07,349,8.0,SDI_log
0.21126413299989438,0.048170775083086495,88,0.35619561956195617,0.00027558614708731073,100,0.46914548387302435,1.1010109652668293e-06,98,0.06907642089093702,0.5906176998388857,63,0.32552530909398686,1.7480342067254894e-08,286,0.27886318404449023,1.1815029346430033e-07,349,12.0,SDI_log
0.23632489169102888,0.026641782888397133,88,0.3530153015301529,0.00031519539228957153,100,0.4248736045495986,1.2974425103518659e-05,98,0.012048771121351765,0.9253296348759634,63,0.32624346128839066,1.6193946612034117e-08,286,0.26984064251132717,3.0845578461513735e-07,349,20.0,SDI_log
0.2785565848332218,0.008589798106262342,88,0.32898889888988897,0.0008315605125231544,100,0.4015645620947535,4.164393498374062e-05,98,-0.018385176651305683,0.8862762349285074,63,0.3219376259170868,2.5533179762012537e-08,286,0.2557923412423956,1.283805479219238e-06,349,50.0,SDI_log
-0.04326432643264326,0.6690850312417327,100,0.009516951695169515,0.9251289237875855,100,0.10878655585945717,0.28883287817308223,97,0.03129800307219662,0.8076140418414667,63,0.027003666265411234,0.6430097057057788,297,0.040766775463802446,0.44063239899979756,360,0.0,masa_norm
-0.020726072607260723,0.8378245562605713,100,0.027818781878187815,0.7835133239817982,100,0.15608563012834,0.12683307298776758,97,0.009072580645161291,0.9437393703495842,63,0.0550640634533252,0.3443154638790401,297,0.06234281643119674,0.2380375893945779,360,0.3,masa_norm
0.0012961296129612961,0.9897886776954419,100,0.0522052205220522,0.6059656844086506,100,0.187697243845992,0.06561601354767761,97,0.016945084485407068,0.8951317673446223,63,0.08331730143810681,0.15205773566590658,297,0.08493635496158664,0.1076474287213163,360,0.6,masa_norm
0.030903090309030903,0.76019972283182,100,0.09474947494749474,0.34840162584676193,100,0.2323006522196507,0.022041376230611663,97,0.01737711213517665,0.8924737190342777,63,0.11326304950466025,0.0511775427046788,297,0.11009704292985799,0.03679503324493378,360,1.0,masa_norm
0.07233123312331233,0.47451264300852447,100,0.13232523252325232,0.18938685319684345,100,0.2686198190616453,0.0078051008219308625,97,0.006528417818740399,0.9595003639406695,63,0.1458416928215586,0.011860789046573254,297,0.13540150772768306,0.01011178094330156,360,1.5,masa_norm
0.10364236423642363,0.30481626359112024,100,0.16588058805880587,0.09906594079369474,100,0.2812565747948664,0.005259166650678701,97,0.004656298003072197,0.9711082833197351,63,0.17304094820873345,0.0027700907872199106,297,0.15664549880786116,0.0028803972298422566,360,2.0,masa_norm
0.15709570957095706,0.11854379476418364,100,0.22239423942394235,0.026154422384342183,100,0.30585945718493585,0.0023138293845830463,97,-0.025969662058371736,0.8398900408862027,63,0.2213061139235636,0.000120244043436078,297,0.18921853820888535,0.0003057827538248026,360,3.0,masa_norm
0.2836123612361236,0.004244073211339944,100,0.2715271527152715,0.006282260960207415,100,0.31414369871660003,0.001726887288233052,97,-0.04209869431643626,0.7432126002225449,63,0.2698685567813085,2.3693206531839287e-06,297,0.2212987754535143,2.2663393498685686e-05,360,5.0,masa_norm
0.32208820882088207,0.001083357891096579,100,0.30280228022802275,0.0021973012432716273,100,0.32529455081001474,0.0011494039667360463,97,-0.08938172043010753,0.48603121969277663,63,0.28580929923211806,5.452531545679673e-07,297,0.22604135319974172,1.4904886569320954e-05,360,10.0,masa_norm
