target,modelo,n_dev,n_lockbox,sd_dev,R2_oof_dev,R2_oof_dev_sd,rho_oof_dev,rho_oof_dev_sd,R2_lockbox,rho_lockbox
rendimiento_proxy_batch,HGB,299,63,4.650817352188879,0.0505406940494094,0.024005838703189585,0.3311493793629773,0.027550776676682483,-0.2145464380050084,0.23891129032258066
rendimiento_proxy_batch,Ridge,299,63,4.650817352188879,0.1375103103674576,0.01499379432293946,0.3845695943974322,0.01893501902116886,0.021408523304806693,0.2521121351766513
f_dross,HGB,299,63,0.03701714522908113,0.10105584859444165,0.030403118801391828,0.38211254517294785,0.029481408298619383,-0.2765789345943219,0.4310675883256529
f_dross,Ridge,299,63,0.03701714522908113,0.11003471718651399,0.021809124192061567,0.35202388274112817,0.02131104755009587,-0.23890629079716774,0.2150057603686636
f_polvo,HGB,299,63,0.03291488429470462,-0.11061834380895715,0.026600096092432763,0.15949056137909362,0.016875795842163133,-0.1844047538925362,0.019825268817204304
f_polvo,Ridge,299,63,0.03291488429470462,0.08167770449531567,0.010953647219716216,0.30280801777737876,0.013947322264396345,-0.08011934165521706,0.05928379416282642
recuperacion_real_pct,HGB,299,63,5.305653772547727,0.11026135783751415,0.028620360056511595,0.40234293281856753,0.02011592943965423,-0.12874412446706973,0.31504416282642095
recuperacion_real_pct,Ridge,299,63,5.305653772547727,0.15416604889459917,0.015214451245438323,0.40117519247603867,0.01554515946520885,-0.1402049005825785,0.453052995391705
rend_mean_b_bnext,HGB,299,62,3.473075053632283,0.13824593812958544,0.0252016299513577,0.40697510718053465,0.013981952696185351,-0.18495448041016194,0.29052403616126515
rend_mean_b_bnext,Ridge,299,62,3.473075053632283,0.07749985005024815,0.02698792217634562,0.32230163183766913,0.0218822495112002,0.01061719189791177,0.3806753796177381
rend_ma3_centrada,HGB,298,62,2.91753136803037,0.2526771770534536,0.023849998032397055,0.5006200815363349,0.01486501727281762,-0.3255000096092897,0.3475359472186548
rend_ma3_centrada,Ridge,298,62,2.91753136803037,0.09414124160112543,0.0221822215829349,0.33199345478306663,0.029172447459235647,-0.0780954270181351,0.29601369897509505
