id,fase,familia,agg,kpi,muestra,n,rho_spearman,p_spearman,r_pearson,p_pearson,ci_low,ci_high,signo_esperado,signo_ok,dir_ok,p_bh,significativo_bh,p_holm,significativo_holm
R01_sn_ext,Reducción,extraccion,sum,rendimiento_proxy_batch,dev,298,0.021351763692002968,0.7135583323381609,-0.0057644952286811735,0.9210642542494961,-0.09151150447412158,0.13889221582863853,,,True,0.8211947124655549,False,1.0,False
R01_sn_ext,Reducción,extraccion,sum,rendimiento_proxy_batch,lockbox,63,0.044450844854070665,0.7294001737744276,-0.04252074890408329,0.740728101924977,-0.1922924264772547,0.27630296593576364,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,rendimiento_proxy_batch,total,361,0.04722966182539804,0.3709203136425984,0.011777329213314619,0.8235347842062133,-0.059312898140582174,0.1505792402581583,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_metal,dev,298,0.021351763692002968,0.7135583323381609,-0.005764495228681247,0.9210642542494961,-0.10507682826831242,0.12512905775113922,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_metal,lockbox,63,0.044450844854070665,0.7294001737744276,-0.042520748904083416,0.740728101924977,-0.1875880048494015,0.26510770328086386,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_metal,total,361,0.04722966182539804,0.3709203136425984,0.011777329213314536,0.8235347842062133,-0.0444151211065264,0.14754311404052775,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_dross,dev,298,-0.1036721278915618,0.07394477510996818,-0.06462172074746199,0.2661303303267202,-0.22089892768379962,0.021337825150275238,-1.0,True,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_dross,lockbox,63,-0.09485407066052229,0.45961915093354394,-0.005414185594669798,0.9664082112178844,-0.36286809876259113,0.16604460734512771,-1.0,True,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_dross,total,361,-0.1269733653703902,0.01578258138396545,-0.08074415593217432,0.12569042115098103,-0.23235047694974095,-0.012744091319725927,-1.0,True,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_polvo,dev,298,0.08032900212649265,0.16663368660883943,0.08055733738684773,0.16542774500059687,-0.03736095896933739,0.18932809626639385,-1.0,False,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_polvo,lockbox,63,0.04181067588325653,0.744909571224085,0.06679712538414825,0.6029587947582286,-0.19957375786727272,0.2744409650080281,-1.0,False,True,,,,
R01_sn_ext,Reducción,extraccion,sum,f_polvo,total,361,0.07618774327502384,0.14855700712407466,0.0765787528329967,0.146478474440861,-0.02583389256415296,0.18271530534815608,-1.0,False,True,,,,
R01_sn_ext,Reducción,extraccion,sum,recuperacion_real_pct,dev,298,0.1722717512037617,0.0028477524010472248,0.14120947857979949,0.014701687487893321,0.06272770681775293,0.27384909411803054,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,recuperacion_real_pct,lockbox,63,0.19666858678955454,0.1223752855285234,0.07869092067753737,0.5398537163284779,-0.05753074310386037,0.4408341312571041,,,True,,,,
R01_sn_ext,Reducción,extraccion,sum,recuperacion_real_pct,total,361,0.2011202767022237,0.00011936955929760004,0.15396907102710292,0.003359484974245736,0.09931130652776429,0.29591660497984373,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,rendimiento_proxy_batch,dev,297,0.2740171532117841,1.630877218518332e-06,0.2700557666110743,2.3300324374680954e-06,0.16923163629673563,0.37805207363556553,,,True,1.630877218518332e-05,True,3.0986667151848304e-05,True
R02_feo_ret,Reducción,sobre-reduccion,sum,rendimiento_proxy_batch,lockbox,63,-0.13628072196620586,0.2868704033684845,-0.023086545064625465,0.8574680087613158,-0.3726579008689814,0.08993903813748141,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,rendimiento_proxy_batch,total,360,0.20513738531933118,8.838596161671033e-05,0.216063087161417,3.562145190767259e-05,0.10537567160581203,0.30576602979908024,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_metal,dev,297,0.2740171532117841,1.630877218518332e-06,0.27005576661107433,2.3300324374680954e-06,0.16397740788252418,0.37632551139912956,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_metal,lockbox,63,-0.13628072196620586,0.2868704033684845,-0.023086545064625257,0.8574680087613178,-0.36508175466946446,0.1109891643462278,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_metal,total,360,0.20513738531933118,8.838596161671033e-05,0.216063087161417,3.562145190767259e-05,0.10400060460383034,0.30271040479801065,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_dross,dev,297,-0.2007949071707461,0.0004988611828071085,-0.20107859750954543,0.0004895892169680906,-0.30932119122538493,-0.08576753203701057,-1.0,True,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_dross,lockbox,63,0.1274961597542243,0.31935903111081687,0.11880896842413369,0.3537066653782023,-0.1102888327812873,0.3544554757057347,-1.0,False,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_dross,total,360,-0.13330041126860545,0.011350800670321928,-0.13582634211567907,0.009876355986481756,-0.23051052182429846,-0.024170051961274874,-1.0,True,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_polvo,dev,297,-0.1220631858215751,0.03550105407715419,-0.1547738624194203,0.007535629665874805,-0.23223858080260448,-0.014930289635280803,-1.0,True,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_polvo,lockbox,63,-0.014352918586789555,0.9111031688125001,-0.120074620878475,0.34856567129915395,-0.2728297009554658,0.2504466085852384,-1.0,True,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,f_polvo,total,360,-0.10956643183975183,0.03771795852909749,-0.14904882303010084,0.004596730343978695,-0.20827754237037646,-0.0075234145182567266,-1.0,True,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,recuperacion_real_pct,dev,297,0.0714427056708936,0.21959771155777683,0.0702657424044333,0.227307301826335,-0.04070795156800668,0.18821133016732236,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,recuperacion_real_pct,lockbox,63,0.013728878648233486,0.9149536154141559,0.10103293407236935,0.4307641947461486,-0.2435095207639038,0.2792476529119888,,,True,,,,
R02_feo_ret,Reducción,sobre-reduccion,sum,recuperacion_real_pct,total,360,0.05918461304999781,0.2627027900034702,0.06467757908431351,0.22088242401995636,-0.04188381508891952,0.16222266470584096,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,rendimiento_proxy_batch,dev,297,0.016265044788534723,0.7801349768422771,-0.0210729328455384,0.7175963475474001,-0.09250072856373862,0.13720476850025842,,,True,0.8211947124655549,False,1.0,False
R03_sn_net_l03,Reducción,metal-equivalente,sum,rendimiento_proxy_batch,lockbox,63,0.041474654377880185,0.7468908972628707,-0.029712908290162154,0.8171848799523503,-0.18419166508544696,0.2833487209297279,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,rendimiento_proxy_batch,total,360,0.0462364678739805,0.3817414025468629,0.0031668761395515273,0.952252459671345,-0.060354457080458675,0.1410828095103058,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_metal,dev,297,0.016265044788534723,0.7801349768422771,-0.021072932845538517,0.7175963475473973,-0.09177195246769414,0.12420867354323979,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_metal,lockbox,63,0.041474654377880185,0.7468908972628707,-0.029712908290162286,0.8171848799523492,-0.20329642888476804,0.2891229481855569,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_metal,total,360,0.0462364678739805,0.3817414025468629,0.0031668761395514393,0.9522524596713506,-0.055639077688408374,0.1523213136736503,,,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_dross,dev,297,-0.09092878723751208,0.11789482274231725,-0.0443925661855426,0.44594224693625634,-0.2132328822645803,0.017613909337331625,-1.0,True,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_dross,lockbox,63,-0.1051747311827957,0.4120106063640752,-0.006950589446502866,0.9568837955852432,-0.36613917361993364,0.16171067169010933,-1.0,True,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_dross,total,360,-0.11927664050905741,0.023615347850721502,-0.06727381816158366,0.20286377296436287,-0.22583791468288475,-0.017570117394295013,-1.0,True,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_polvo,dev,297,0.08253082246370838,0.15597657339131726,0.07947041044214283,0.17195335069273524,-0.03489944444635915,0.1861127764805722,-1.0,False,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_polvo,lockbox,63,0.055299539170506916,0.6668562158671623,0.05074406496580146,0.6928740859195017,-0.19712856395669467,0.2977794706637154,-1.0,False,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,f_polvo,total,360,0.07567368060967547,0.15189528949796074,0.07325460850627824,0.1654604600817963,-0.022356737857965627,0.18141220243264028,-1.0,False,True,,,,
R03_sn_net_l03,Reducción,metal-equivalente,sum,recuperacion_real_pct,dev,297,0.14015953109912843,0.015639419860110835,0.10442730266099509,0.0723364737126049,0.038973851398066695,0.2543672145661003,,,True,,,,
