id,fase,variante,muestra,n,coef,ci_low,ci_high,p,r2_adj,controles_usados,controles_excluidos
R01_sn_ext,Reducción,A_controles,dev,297,-0.0699819220964427,-0.6326687534963139,0.4927049093034285,0.8074146299122824,0.0028542868177362513,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R01_sn_ext,Reducción,A_controles,lockbox,63,0.037523717327216044,-1.2797458607499186,1.3547932954043507,0.955476041863441,0.029089813766763672,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R01_sn_ext,Reducción,A_controles,total,360,-0.05823464859544836,-0.5707622568088251,0.45429295961792837,0.8237721668807686,0.003117715750035499,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R01_sn_ext,Reducción,B_controles_idx,dev,297,0.009981456958833861,-0.597124757724504,0.6170876716421718,0.9742935410268554,0.0009087455634114727,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R01_sn_ext,Reducción,B_controles_idx,lockbox,63,0.007204240595825029,-1.307229023574151,1.321637504765801,0.9914290400271454,0.02101734987785775,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R01_sn_ext,Reducción,B_controles_idx,total,360,0.042507250077727154,-0.4738941262115194,0.5589086263669737,0.8718309870456186,0.0054670878927740585,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R01_sn_ext,Reducción,C_solo,dev,298,-0.02697463554699872,-0.5512481004522701,0.49729882935827263,0.9196750839456886,-0.003345036711632332,,
R01_sn_ext,Reducción,C_solo,lockbox,63,-0.19147734132048955,-1.4347236863710067,1.0517690037300276,0.7627573478356314,-0.014555788960384675,,
R01_sn_ext,Reducción,C_solo,total,361,0.05391007838974688,-0.4170096499752497,0.5248298067547434,0.8224668469714349,-0.002646423470686443,,
R02_feo_ret,Reducción,A_controles,dev,296,1.453278987820188,0.8739541222019606,2.0326038534384154,8.800913816996373e-07,0.0925654957165386,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R02_feo_ret,Reducción,A_controles,lockbox,63,-0.5861156316016461,-1.6356235269177049,0.46339226371441244,0.2737026959372941,0.046536697862740395,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R02_feo_ret,Reducción,A_controles,total,359,1.2216061962877314,0.7226875141269764,1.7205248784484863,1.5947033804794028e-06,0.07028274923857336,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
R02_feo_ret,Reducción,B_controles_idx,dev,296,1.5149677137157864,0.8983914545321404,2.1315439728994323,1.466420333452287e-06,0.09133019223864747,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R02_feo_ret,Reducción,B_controles_idx,lockbox,63,-0.5262610502562224,-1.6199416446843333,0.5674195441718886,0.34562856965129274,0.03493519343645435,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R02_feo_ret,Reducción,B_controles_idx,total,359,1.2112464525671935,0.6858342477164255,1.7366586574179617,6.232161638829875e-06,0.06770852745298062,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t,z_idx_cronologico",
R02_feo_ret,Reducción,C_solo,dev,297,1.2496430269874477,0.705413746793501,1.7938723071813945,6.7822263635828434e-06,0.06978750730728456,,
R02_feo_ret,Reducción,C_solo,lockbox,63,-0.09793775414547357,-1.3964621340520467,1.2005866257610995,0.8824808154989556,-0.015851716542503835,,
R02_feo_ret,Reducción,C_solo,total,360,0.9897338009324783,0.5006189951105535,1.478848606754403,7.308053868968479e-05,0.04402036170532486,,
R03_sn_net_l03,Reducción,A_controles,dev,296,-0.14942343137763636,-0.7196242201592002,0.4207773574039275,0.607520128382105,0.0037295466469645655,"z_feed_sn_total_t,z_ley_sn_conc_batch_pct,z_espesor_ladrillo_norm_mm,z_frac_carga_secundaria_F,z_feed_dross_Fe_total_t",
