seccion,item,valor,p,n,ci_low,ci_high
1.3_polvo_vs_pellets,k+2,-0.04249023250190011,0.42153862248535745,360.0,,
1.3_polvo_vs_pellets,k+3,-0.0329168711284154,0.5341529130845696,359.0,,
1.3_polvo_vs_pellets,k+4,-0.06751297575790204,0.2025243504371098,358.0,,
1.3_polvo_vs_pellets,k+5,-0.04033720294413759,0.44738287925384407,357.0,,
1.4_polvo_vs_escala,carga_total_kg,0.13616041981953655,0.009493295317725262,362.0,0.04281651249644904,0.23485217396008037
1.4_dross_vs_escala,carga_total_kg,0.19405697172326025,0.00020337302354054142,362.0,,
1.4_polvo_vs_escala,duracion_total_min,-0.014158326173477198,0.7883434734961616,362.0,-0.11923809747166024,0.09156348122357208
1.4_dross_vs_escala,duracion_total_min,0.026114765988838412,0.6204354151062789,362.0,,
1.4_polvo_vs_escala,n_escalones,,,362.0,,
1.4_dross_vs_escala,n_escalones,,,362.0,,
1.5_stock_unicos,sn_dross_t,351.0,,362.0,,
1.5_stock_rachas,sn_dross_t,1.0,,0.0,,
1.5_stock_corr_ma,sn_dross_t_ma3,0.6965998358912028,1.4321481953712573e-53,360.0,,
1.5_stock_corr_ma,sn_dross_t_ma5,0.6067954940809944,2.2074383477727974e-37,358.0,,
1.5_stock_corr_ma,sn_dross_t_ma7,0.6414261071080228,1.1826534335344676e-42,356.0,,
1.5_stock_unicos,sn_polvo_t,350.0,,362.0,,
1.5_stock_rachas,sn_polvo_t,1.0,,0.0,,
1.5_stock_corr_ma,sn_polvo_t_ma3,0.5167882791141406,5.67945027229851e-26,360.0,,
1.5_stock_corr_ma,sn_polvo_t_ma5,0.22676040562827385,1.4771765059792314e-05,358.0,,
1.5_stock_corr_ma,sn_polvo_t_ma7,0.5085427044126759,8.223475165135739e-25,356.0,,
1.5_stock_unicos,sn_metal_t,355.0,,362.0,,
1.5_stock_rachas,sn_metal_t,1.0,,0.0,,
1.5_stock_corr_ma,sn_metal_t_ma3,0.7620796237314861,1.4509795639381957e-69,360.0,,
1.5_stock_corr_ma,sn_metal_t_ma5,0.6956988528783631,4.308410898085604e-53,358.0,,
1.5_stock_corr_ma,sn_metal_t_ma7,0.6961766810772573,6.659514278238095e-53,356.0,,
