fase,target,variante,palanca,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,theta_1sd_rel,significativo,signo_teorico,concuerda,r2_oof_interno,n
Reducción,sdi,primitivas,tasa_feed_Carbon_kg_min,0.003788684201718472,0.08373157261292026,-0.10949328472169244,0.24692923377585554,0.10997827784048973,False,0.0,,0.2678512665129491,1015
Reducción,sdi,primitivas,tasa_gn_nm3_min,-0.03096430101078588,-0.153389430730377,-0.24655654435448726,-0.044519009904533675,-0.20147125993495188,True,-1.0,True,0.2678512665129491,1015
Reducción,sdi,primitivas,tasa_o2_nm3_min,0.006790357918178082,0.05881621592463791,-0.04700410089184083,0.17940703085173804,0.0772528920051352,False,1.0,True,0.2678512665129491,1015
Reducción,sdi,primitivas,tasa_aire_nm3_min,0.0032994641489018754,0.031159985838576956,-0.010109716054233393,0.08531374702524006,0.040927471837928296,False,1.0,True,0.2678512665129491,1015
Reducción,sdi,cinetica,Cx_sn_v4,0.0006416619062652138,0.18580941941296925,-0.1675032733109151,0.4044797896238683,0.24405369821546122,False,,,0.2686222184558059,1015
Reducción,sdi,cinetica,tasa_gn_nm3_min,-0.020756472818600512,-0.10282239371418868,-0.19072553319156826,-0.004964717313511079,-0.1350533548008191,True,-1.0,True,0.2686222184558059,1015
Reducción,sdi,cinetica,exceso_o2_combustion_pct,0.0012405920484317079,0.013368051020475884,-0.028128482323020246,0.05757121226824002,0.017558433258052526,False,,,0.2686222184558059,1015
Reducción,sdi,cinetica,tasa_aire_nm3_min,0.0024029220098453798,0.022693083609623927,-0.020207686443543434,0.07570690886903972,0.02980651355748663,False,1.0,True,0.2686222184558059,1015
Reducción,ln_feo_ret,primitivas,tasa_feed_Carbon_kg_min,3.915214105822769e-05,0.0008652793865694401,-0.023251579079780208,0.02069068572128391,0.009512808541197775,False,-1.0,False,0.2774050773002251,1015
Reducción,ln_feo_ret,primitivas,tasa_gn_nm3_min,-0.004724984758351366,-0.023406397000234735,-0.035010461757093,-0.01170401340393464,-0.25732795298091854,True,-1.0,True,0.2774050773002251,1015
Reducción,ln_feo_ret,primitivas,tasa_o2_nm3_min,0.0008301839086558483,0.007190825081244518,-0.0074079666972858395,0.022897828936721702,0.07905532399463028,False,1.0,True,0.2774050773002251,1015
Reducción,ln_feo_ret,primitivas,tasa_aire_nm3_min,0.00013193827829994804,0.0012460189587939273,-0.003537596311552393,0.007828325564112884,0.013698627261540565,False,1.0,True,0.2774050773002251,1015
Reducción,ln_feo_ret,cinetica,Cx_sn_v4,3.558169070480977e-06,0.0010303577673909626,-0.04048280708082701,0.03078254053215022,0.011327666326348598,False,,,0.27731797351616283,1015
Reducción,ln_feo_ret,cinetica,tasa_gn_nm3_min,-0.0032721953651086255,-0.01620964038935531,-0.027465941091311234,-0.004346129696294077,-0.17820741825013864,True,-1.0,True,0.27731797351616283,1015
Reducción,ln_feo_ret,cinetica,exceso_o2_combustion_pct,0.00021351221634816975,0.002300709733909228,-0.0029063890632263106,0.007885827350430254,0.025293808620959396,False,,,0.27731797351616283,1015
Reducción,ln_feo_ret,cinetica,tasa_aire_nm3_min,1.2794758544300289e-05,0.00012083310412119444,-0.004688504289560446,0.00679289055775363,0.0013284289476729516,False,1.0,True,0.27731797351616283,1015
Reducción,ln_sn_dep,primitivas,tasa_feed_Carbon_kg_min,0.004039351338077732,0.0892714256099629,0.0001658807672888788,0.17570012942621488,0.13579555216409164,True,1.0,True,0.7462942181364141,1015
Reducción,ln_sn_dep,primitivas,tasa_gn_nm3_min,0.011911295980839207,0.059005591927475655,0.010047141960975656,0.1074072510035449,0.08975656971771703,True,1.0,True,0.7462942181364141,1015
Reducción,ln_sn_dep,primitivas,tasa_o2_nm3_min,-0.0011662237602526342,-0.01010151001257769,-0.078009367704832,0.06076600154304449,-0.015365948515736465,False,-1.0,True,0.7462942181364141,1015
Reducción,ln_sn_dep,primitivas,tasa_aire_nm3_min,0.00025165382429022734,0.0023766070025998095,-0.02212013343333783,0.0215936176357936,0.0036151843435898953,False,-1.0,False,0.7462942181364141,1015
Reducción,ln_sn_dep,cinetica,Cx_sn_v4,0.0005789296507968794,0.16764370963150144,0.0026577737175090765,0.29551544983899886,0.2550118356540027,True,,,0.7472619789156321,1015
Reducción,ln_sn_dep,cinetica,tasa_gn_nm3_min,0.00977079611699571,0.04840208902653707,-0.0026725261312377903,0.10120824683992015,0.07362701290300201,False,1.0,True,0.7472619789156321,1015
Reducción,ln_sn_dep,cinetica,exceso_o2_combustion_pct,-0.00034064302627592616,-0.0036706130438144287,-0.023709973502676302,0.016654941574968097,-0.005583566316542266,False,,,0.7472619789156321,1015
Reducción,ln_sn_dep,cinetica,tasa_aire_nm3_min,0.0005064068591515668,0.004782482805570964,-0.020439899391687628,0.023319269814356065,0.007274891028796388,False,-1.0,False,0.7472619789156321,1015
