target,kpi,subset,comparacion,rho,p,n,ci_lo,ci_hi
st_R22_sdi,K0,DEV,raw,0.31902295393951363,3.461131920085165e-08,286,0.21132710678281924,0.41738254043773937
st_R22_sdi,K0,lockbox,raw,0.09379800307219663,0.4646543359147226,63,-0.14215749807987713,0.32388152841781864
st_R22_sdi,K0,total,raw,0.27981481220094007,1.065610557184924e-07,349,0.1725622891583271,0.3731637048851751
st_R22_sdi,K1,DEV,raw,0.12307153693546505,0.037513830791437545,286,0.005902364644341539,0.2421707817214877
st_R22_sdi,K1,lockbox,raw,0.2728494623655914,0.030499537268235375,63,0.01169234831029186,0.4930131528417819
st_R22_sdi,K1,total,raw,0.1447719734074837,0.006745640102325103,349,0.03367427696303301,0.2501112185413638
st_R22_sdi,K2,DEV,raw,0.13184068819498856,0.025773678915425934,286,0.017343657626070975,0.24135703834035022
st_R22_sdi,K2,lockbox,raw,0.25014400921658986,0.0480128472767117,63,-0.010912298387096774,0.46348046274961596
st_R22_sdi,K2,total,raw,0.14723248690840826,0.00585675242337472,349,0.03941641847925812,0.2570472638220391
st_R22_sdi,K3,DEV,raw,0.2216788400628282,0.00016131500207178833,285,0.09664597448511458,0.3345576106621325
st_R22_sdi,K3,lockbox,raw,0.13721638840623504,0.2875574734941508,62,-0.10993301604089548,0.3788358389363149
st_R22_sdi,K3,total,raw,0.20940330254655784,8.482679372123323e-05,347,0.10472979765052425,0.3156532127940794
st_R22_sdi,K3b,DEV,raw,0.21517506883360538,0.00024633630635602035,286,0.08147069874926101,0.32487565066512436
st_R22_sdi,K3b,lockbox,raw,0.3356953992596509,0.008172611880533682,61,0.10485457429931253,0.5290335801163405
st_R22_sdi,K3b,total,raw,0.22323092838814887,2.7119185488225608e-05,347,0.1215764742813914,0.323045298722097
st_R22_sdi,K4,DEV,raw,0.14655850296123027,0.01342396839070175,284,0.02104718322956149,0.2692055101671962
st_R22_sdi,K4,lockbox,raw,0.274246430460074,0.03245075357543727,61,0.017868852459016392,0.5007773664727656
st_R22_sdi,K4,total,raw,0.16744244492889998,0.001803114758698065,345,0.06015458336499179,0.27011212937690315
st_R22_sdi,K5_k1,DEV,raw,0.14673157394595135,0.012989827904543751,286,0.029739477467333693,0.262740084049455
st_R22_sdi,K5_k1,lockbox,raw,0.39774873460753957,0.0013679234133900076,62,0.14474956561154342,0.6110548714461987
st_R22_sdi,K5_k1,total,raw,0.1856094569826141,0.0005007945523350286,348,0.07940779678284686,0.2871933039615465
