id,fase,familia,grupo_mecanistico,variante,palanca,role,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda_teoria,theta_1sd_rel,sd_target,r2_oof_interno,n_obs,n_batches
R01_sn_ext,Reducción,extraccion,extraccion,primitiva,tasa_feed_Carbon_kg_min,carbon,7.649538912828177,168.1235657748651,-59.78726508297379,380.6263444724898,False,1,True,0.044622897977423734,3767.6523353531325,0.9764211069144367,1050,290
R01_sn_ext,Reducción,extraccion,extraccion,primitiva,tasa_gn_nm3_min,gn,13.166881349220393,65.41931049794546,11.313909771660297,110.92766942854064,True,1,True,0.01736341484698425,3767.6523353531325,0.9764211069144367,1050,290
R01_sn_ext,Reducción,extraccion,extraccion,primitiva,tasa_o2_nm3_min,o2,2.778999588705376,23.964863804687702,-48.9279854639025,103.12254775352214,False,-1,False,0.006360688745035584,3767.6523353531325,0.9764211069144367,1050,290
R01_sn_ext,Reducción,extraccion,extraccion,primitiva,tasa_aire_nm3_min,aire,0.5945830204347899,5.933934853935345,-27.46882924171124,37.67021943190185,False,-1,False,0.0015749687937645586,3767.6523353531325,0.9764211069144367,1050,290
R01_sn_ext,Reducción,extraccion,extraccion,cinetica,Cx_sn_v4,carbon,1.5849008571176486,436.6423515197649,-108.17093556914479,902.5753980348678,False,1,True,0.11586521430585635,3768.537037933869,0.9762418151501825,1049,290
R01_sn_ext,Reducción,extraccion,extraccion,cinetica,tasa_gn_nm3_min,gn,18.57716233387175,91.45492456608363,32.796074152025035,160.186697051676,True,1,True,0.024268017972360046,3768.537037933869,0.9762418151501825,1049,290
R01_sn_ext,Reducción,extraccion,extraccion,cinetica,exceso_o2_combustion_pct,o2,-0.07192742374683192,-0.7751095589347772,-21.049111921906384,24.02380585042845,False,-1,True,-0.00020567916704348943,3768.537037933869,0.9762418151501825,1049,290
R01_sn_ext,Reducción,extraccion,extraccion,cinetica,tasa_aire_nm3_min,aire,0.16087283910738392,1.4935594473655938,-28.395866029087987,36.13355629252507,False,-1,False,0.0003963234094110031,3768.537037933869,0.9762418151501825,1049,290
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_feed_Carbon_kg_min,carbon,-4.181921103258401,-91.99729070454264,-318.9851605762628,80.56039478775767,False,-1,True,-0.10439903950599543,881.2082097676714,0.3779097375874133,1046,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_gn_nm3_min,gn,-48.687796592660504,-241.56374066769436,-370.17960639803727,-144.89412364810346,True,-1,True,-0.2741278825935838,881.2082097676714,0.3779097375874133,1046,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_o2_nm3_min,o2,19.08977298750677,164.07682726416317,53.86350755251411,308.8013229997561,True,1,True,0.18619530032229462,881.2082097676714,0.3779097375874133,1046,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_aire_nm3_min,aire,4.244584575490727,42.47688073613541,-3.2263257848773517,104.92890517346608,False,1,True,0.048203001589527124,881.2082097676714,0.3779097375874133,1046,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,cinetica,Cx_sn_v4,carbon,-0.2871878124442553,-81.59699270315659,-393.7626812315982,217.96369560018175,False,-1,True,-0.09256955096313481,881.4668738714314,0.36758762981922644,1045,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,cinetica,tasa_gn_nm3_min,gn,-14.898048106613789,-73.23596125999259,-181.91764665797297,20.613092593089824,False,-1,True,-0.08308419003692998,881.4668738714314,0.36758762981922644,1045,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,cinetica,exceso_o2_combustion_pct,o2,4.543382319015873,49.19426091070999,5.1902256197009216,98.87180426949193,True,1,True,0.05580954017551129,881.4668738714314,0.36758762981922644,1045,289
R02_feo_ret,Reducción,sobre-reduccion,sobre-reduccion,cinetica,tasa_aire_nm3_min,aire,-1.1106828050559194,-10.341679513583458,-57.809590599113,38.904799633673065,False,1,False,-0.011732351855904082,881.4668738714314,0.36758762981922644,1045,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_feed_Carbon_kg_min,carbon,8.775788222756022,192.50216842758397,-49.41137596072819,363.2009227349647,False,0,,0.05310205254305587,3625.1361144938905,0.9774542225232312,1037,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_gn_nm3_min,gn,3.8167859223429446,18.893948963255344,-35.446859477663004,79.58664969612263,False,0,,0.005211928150149791,3625.1361144938905,0.9774542225232312,1037,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_o2_nm3_min,o2,3.6572262623633955,31.404683119636456,-24.952737386537486,95.6346806006358,False,0,,0.008663035573774834,3625.1361144938905,0.9774542225232312,1037,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_aire_nm3_min,aire,0.602644915969595,6.049348127057281,-25.165535736785184,36.89300231323853,False,0,,0.0016687230316321069,3625.1361144938905,0.9774542225232312,1037,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,cinetica,Cx_sn_v4,carbon,1.5070614132550935,411.57388224362666,-111.84197210115335,738.2303709442423,False,0,,0.11350366645469519,3626.084470213178,0.9764595082853513,1036,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_gn_nm3_min,gn,9.629032960563046,47.22188555636671,-16.60343754573482,119.97406537209925,False,0,,0.013022831085231317,3626.084470213178,0.9764595082853513,1036,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,cinetica,exceso_o2_combustion_pct,o2,0.5590646552582355,6.055748963446065,-14.526196721381327,26.71063129714741,False,0,,0.0016700518184812297,3626.084470213178,0.9764595082853513,1036,289
R03_sn_net_l03,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_aire_nm3_min,aire,0.44607165855742714,4.165305187635378,-27.972745754899012,28.698832178525567,False,0,,0.0011487060552096016,3626.084470213178,0.9764595082853513,1036,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_feed_Carbon_kg_min,carbon,6.938708022692228,152.20471444269285,-107.35513198655438,344.6483873767327,False,0,,0.043172478985705774,3525.50323767804,0.9739239794197236,1037,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_gn_nm3_min,gn,-4.2574464248762,-21.075317584494375,-83.15331642599142,49.354420647932486,False,0,,-0.005977960070850753,3525.50323767804,0.9739239794197236,1037,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_o2_nm3_min,o2,4.55626284484058,39.124730215495205,-30.326898761291673,125.78526004559073,False,0,,0.011097629920562336,3525.50323767804,0.9739239794197236,1037,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_aire_nm3_min,aire,1.0728682776533964,10.769449030462226,-16.07229636243157,48.724348838092425,False,0,,0.0030547267452107575,3525.50323767804,0.9739239794197236,1037,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,cinetica,Cx_sn_v4,carbon,1.5671400523285388,427.9811756066518,-76.44998743460062,771.3983078202264,False,0,,0.12136119323679923,3526.507643770258,0.972784354346435,1036,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_gn_nm3_min,gn,4.180716208847484,20.50271332193043,-54.50015444447429,96.23992382897795,False,0,,0.005813885972471785,3526.507643770258,0.972784354346435,1036,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,cinetica,exceso_o2_combustion_pct,o2,1.069059928087139,11.579981833022611,-11.149922478529625,35.16539113047259,False,0,,0.0032836967909254913,3526.507643770258,0.972784354346435,1036,289
R04_sn_net_l06,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_aire_nm3_min,aire,0.35708519321070664,3.3343719090300694,-30.59853244305205,29.287031256842976,False,0,,0.0009455167111066369,3526.507643770258,0.972784354346435,1036,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_feed_Carbon_kg_min,carbon,6.466163701517951,141.8391718617643,-141.32654476278574,368.0409367455555,False,0,,0.04155701656417521,3413.1221052099945,0.9581740625239064,1037,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_gn_nm3_min,gn,-18.96453828558455,-93.87873089292464,-190.96440039932963,8.78547592743604,False,0,,-0.027505236554421098,3413.1221052099945,0.9581740625239064,1037,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_o2_nm3_min,o2,6.442750346852918,55.32404028267345,-46.53362759852778,170.61464895832057,False,0,,0.01620921800548053,3413.1221052099945,0.9581740625239064,1037,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,primitiva,tasa_aire_nm3_min,aire,1.660815527833421,16.67126202586872,-19.72944245627384,64.79159566443408,False,0,,0.004884461062913836,3413.1221052099945,0.9581740625239064,1037,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,cinetica,Cx_sn_v4,carbon,1.4670728168694998,400.65311835495135,-192.02153904012906,792.7502138595162,False,0,,0.11734886201429959,3414.2053998455444,0.9584651398186311,1036,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_gn_nm3_min,gn,-5.590864288999482,-27.418241758814514,-112.9362600992349,65.70497289692473,False,0,,-0.008030636282180002,3414.2053998455444,0.9584651398186311,1036,289
