target,especificacion,variable,theta,se,ci_lo,ci_hi,t,p,theta_por_sd,sd_usada,n,n_clusters,r2_within
sn_dep,0_sin_FE,dev__gn,0.010692586830516574,0.0032252155120271,0.0043712805845635486,0.0170138930764696,3.3153092531779715,0.0009154179143275295,0.029264519977128842,2.736898043568661,1326,361,0.7397165945587709
sn_dep,0_sin_FE,dev__carbon,0.0012731927254218602,0.0013709754169253126,-0.0014138697154415373,0.0039602551662852575,0.928676553717681,0.35305673514928315,0.009804987097093303,7.701102041597446,1326,361,0.7397165945587709
sn_dep,0_sin_FE,ley_sn_escoria_pct_prev,0.19207288432647737,0.020370437892416358,0.15214755970803132,0.23199820894492343,9.42900124881378,4.140122327326851e-21,1.223856230522781,6.371832415670511,1326,361,0.7397165945587709
sn_dep,0_sin_FE,ley_feo_escoria_pct_prev,-0.03590331784507382,0.019571435675642578,-0.07426262689507562,0.002455991204927975,-1.834475428379376,0.06658345196412192,-0.05540004672763905,1.5430341832667231,1326,361,0.7397165945587709
sn_dep,0_sin_FE,m6_sn_inv_kg_prev,-0.0001440478984499849,2.9144905158676542e-05,-0.00020117086289382657,-8.692493400614326e-05,-4.94247271232246,7.713790471586816e-07,-0.7515358438941654,5217.263507354169,1326,361,0.7397165945587709
sn_dep,0_sin_FE,m6_feo_inv_kg_prev,7.379316154314268e-05,2.4865541600387646e-05,2.5057595550300435e-05,0.0001225287275359849,2.96768768318291,0.003000490369297352,0.1430323375785665,1938.287160863051,1326,361,0.7397165945587709
sn_dep,0_sin_FE,temperatura_horno_celsius_prev,0.00037818181707289557,0.00015165199226675364,8.094937404631164e-05,0.0006754142600994795,2.4937477669774313,0.01264023317645137,0.027626404945037663,73.05059021310007,1326,361,0.7397165945587709
sn_dep,1_within_dev,dev__gn,0.021771845386891534,0.004918570911513222,0.012131623544919274,0.03141206722886379,4.426457558216502,9.579321948143776e-06,0.04552320625574866,2.0909208864379236,1326,361,0.3156160742925118
sn_dep,1_within_dev,dev__carbon,-0.003002495135452559,0.001589117011731015,-0.0061171072456652625,0.00011211697476014477,-1.8894109831358235,0.058836780341354325,-0.017810814741291803,5.932004528829061,1326,361,0.3156160742925118
sn_dep,1_within_dev,ley_sn_escoria_pct_prev,0.20314721528055169,0.036758264712923185,0.1311023403090327,0.2751920902520707,5.526572510076374,3.265473335245888e-08,0.3505594760172894,1.7256425372760216,1326,361,0.3156160742925118
sn_dep,1_within_dev,ley_feo_escoria_pct_prev,-0.0632879995024657,0.08792419690861542,-0.2356162588129599,0.10904025980802846,-0.7198018489522798,0.4716470063606697,-0.04030925516775535,0.6369178277816303,1326,361,0.3156160742925118
sn_dep,1_within_dev,m6_sn_inv_kg_prev,-0.00016597692204211825,5.618303486317715e-05,-0.00027609364691610374,-5.5860197168132783e-05,-2.9542178069647314,0.003134626859653286,-0.2744171292491896,1653.3450908286732,1326,361,0.3156160742925118
sn_dep,1_within_dev,m6_feo_inv_kg_prev,0.00028059187318008776,0.00011891948814287933,4.751395936010628e-05,0.0005136697870000693,2.3595112757545875,0.01829902474691864,0.13922658940606109,496.18895881814626,1326,361,0.3156160742925118
sn_dep,1_within_dev,temperatura_horno_celsius_prev,-0.0002768066278512279,0.0008060428943772069,-0.0018566216708249764,0.0013030084151225206,-0.3434142646528805,0.7312868296833412,-0.003853317963403751,13.920613076774844,1326,361,0.3156160742925118
sn_dep,2_within_carbon_cinetico,dev__gn,0.020533892120049576,0.004847638551596724,0.011032695148852086,0.030035089091247066,4.235854612816809,2.27684066800778e-05,0.04293474391367475,2.0909208864379236,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,dev_carbon_x_sn,-0.0002645503036044592,0.00027229435171372235,-0.0007982374261570373,0.00026913681894811896,-0.9715600119483753,0.33126948424779024,-0.011955555732847506,45.19199399870198,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,ley_sn_escoria_pct_prev,0.20399273552586208,0.036662771797649624,0.132135023229058,0.27585044782266616,5.564029273393335,2.636156948171502e-08,0.3520185417187251,1.7256425372760216,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,ley_feo_escoria_pct_prev,-0.06891278287885705,0.08641202900790179,-0.23827724756537497,0.10045168180766087,-0.7974906233547119,0.425166146392833,-0.04389177997758875,0.6369178277816303,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,m6_sn_inv_kg_prev,-0.00016721018004917484,5.5895040995848175e-05,-0.0002767624473154271,-5.765791278292258e-05,-2.991502950352877,0.0027760785567246325,-0.2764561303208818,1653.3450908286732,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,m6_feo_inv_kg_prev,0.0002843301749236989,0.00011708374873270621,5.485024423265754e-05,0.0005138101056147402,2.428434159319619,0.015164178193671194,0.14108149345597157,496.18895881814626,1326,361,0.31434248184394176
sn_dep,2_within_carbon_cinetico,temperatura_horno_celsius_prev,-0.00034478561088931365,0.0007999033348061588,-0.0019125673382228698,0.0012229961164442423,-0.4310340961047072,0.6664435789091132,-0.004799627083629582,13.920613076774844,1326,361,0.31434248184394176
sn_dep,3_within_nivel,tasa_gn_nm3_min,0.027109783717061995,0.0052636617726013815,0.01679319621596303,0.03742637121816096,5.150365826728249,2.599788624203722e-07,0.057298998585435905,2.113591136818027,1326,361,0.3246296254434423
sn_dep,3_within_nivel,tasa_feed_Carbon_kg_min,-0.0007134092650591228,0.0017225668322922033,-0.004089578217315089,0.0026627596871968426,-0.4141547669937403,0.6787607660198036,-0.0038835328116685382,5.443625422143482,1326,361,0.3246296254434423
sn_dep,3_within_nivel,ley_sn_escoria_pct_prev,0.22379404447277412,0.039300959525240375,0.1467655792454366,0.30082250970011165,5.694365918192053,1.2383125429680126e-08,0.38618852273126075,1.7256425372760216,1326,361,0.3246296254434423
sn_dep,3_within_nivel,ley_feo_escoria_pct_prev,-0.030904075544546394,0.09078060421625694,-0.20883079030319499,0.14702263921410222,-0.34042597327207597,0.7335357616328746,-0.019683356665431893,0.6369178277816303,1326,361,0.3246296254434423
sn_dep,3_within_nivel,m6_sn_inv_kg_prev,-0.0001786513208766347,5.983450067985199e-05,-0.000295924787242082,-6.137785451118741e-05,-2.985757695756819,0.00282876685874125,-0.295372284341442,1653.3450908286732,1326,361,0.3246296254434423
sn_dep,3_within_nivel,m6_feo_inv_kg_prev,0.0002306951623912934,0.00012407320222284252,-1.2483845412032923e-05,0.0004738741701946197,1.8593472100200314,0.06297793928728461,0.11446839243131904,496.18895881814626,1326,361,0.3246296254434423
sn_dep,3_within_nivel,temperatura_horno_celsius_prev,-0.0003797329157680942,0.0008010754936606961,-0.001949812032240703,0.0011903462007045145,-0.47402887589635095,0.6354793158766034,-0.005286114992923172,13.920613076774844,1326,361,0.3246296254434423
feo_ret,0_sin_FE,dev__gn,-0.0027830697623022404,0.0005234123184112778,-0.003808939055452956,-0.001757200469151525,-5.317165195404148,1.0539637356055528e-07,-0.007616978187560101,2.736898043568661,1326,361,0.4286854981265098
feo_ret,0_sin_FE,dev__carbon,0.00035771700666056394,0.0002389867700098921,-0.00011068845534038167,0.0008261224686615095,1.496806733886388,0.1344435536187432,0.002754815170307796,7.701102041597446,1326,361,0.4286854981265098
feo_ret,0_sin_FE,ley_sn_escoria_pct_prev,-0.01601244510371365,0.0038028559759252286,-0.023465905854920015,-0.008558984352507282,-4.21063674382721,2.5465192912282876e-05,-0.10202861676598718,6.371832415670511,1326,361,0.4286854981265098
feo_ret,0_sin_FE,ley_feo_escoria_pct_prev,-0.0036163377321704244,0.0028870478415211538,-0.009274847523195988,0.0020421720588551383,-1.2526074837280894,0.21034858997149353,-0.005580132738976225,1.5430341832667231,1326,361,0.4286854981265098
feo_ret,0_sin_FE,m6_sn_inv_kg_prev,9.152964331597336e-06,5.144954279881666e-06,-9.309607590759387e-07,1.9236889422270612e-05,1.7790176226420915,0.07523687282695195,0.04775342679135712,5217.263507354169,1326,361,0.4286854981265098
feo_ret,0_sin_FE,m6_feo_inv_kg_prev,-1.327791527649908e-06,3.972386154084949e-06,-9.113525322341985e-06,6.457942267042169e-06,-0.33425540119872077,0.7381868415083384,-0.0025736412703465535,1938.287160863051,1326,361,0.4286854981265098
feo_ret,0_sin_FE,temperatura_horno_celsius_prev,5.846945119846645e-06,2.7866482896857386e-05,-4.8770357733795226e-05,6.046424797348852e-05,0.20981998846025984,0.8338081717724413,0.0004271227919484025,73.05059021310007,1326,361,0.4286854981265098
feo_ret,1_within_dev,dev__gn,-0.003282858633106127,0.0006627730902190568,-0.004581870019857794,-0.00198384724635446,-4.953216540552501,7.299666458512526e-07,-0.006864197683184654,2.0909208864379236,1326,361,0.38720574115669504
feo_ret,1_within_dev,dev__carbon,0.0009793887387161933,0.00024961374711082767,0.0004901547843328821,0.0014686226930995046,3.92361698845596,8.722937662935825e-05,0.005809738433548641,5.932004528829061,1326,361,0.38720574115669504
feo_ret,1_within_dev,ley_sn_escoria_pct_prev,-0.009114720391933713,0.005084467161375468,-0.01908009290880623,0.0008506521249388079,-1.792659899777574,0.07302732218122844,-0.015728749223697987,1.7256425372760216,1326,361,0.38720574115669504
feo_ret,1_within_dev,ley_feo_escoria_pct_prev,-0.03617785562507684,0.010587350947461974,-0.056928682173788325,-0.015427029076365353,-3.4170828760285388,0.0006329600789577739,-0.023042321218521376,0.6369178277816303,1326,361,0.38720574115669504
feo_ret,1_within_dev,m6_sn_inv_kg_prev,-3.0644442729991884e-06,4.7530368622281874e-06,-1.2380225340157704e-05,6.251336794159326e-06,-0.6447339589036135,0.5190996056007278,-0.00506658389488125,1653.3450908286732,1326,361,0.38720574115669504
feo_ret,1_within_dev,m6_feo_inv_kg_prev,-2.8101696003364667e-05,1.4178293679391119e-05,-5.589064097720315e-05,-3.1275102952618694e-07,-1.9820224237710586,0.04747673099163552,-0.013943751280933576,496.18895881814626,1326,361,0.38720574115669504
feo_ret,1_within_dev,temperatura_horno_celsius_prev,0.00047574943437424916,0.0001206236542032606,0.00023933141645224488,0.0007121674522962535,3.9440807652251433,8.010665913781897e-05,0.006622723797418408,13.920613076774844,1326,361,0.38720574115669504
feo_ret,2_within_carbon_cinetico,dev__gn,-0.0029111338402320924,0.0006825160546885716,-0.004248840726292062,-0.0015734269541721223,-4.265297234012213,1.9963624804239056e-05,-0.006086950549757523,2.0909208864379236,1326,361,0.3831142760159667
feo_ret,2_within_carbon_cinetico,dev_carbon_x_sn,9.388793923813665e-05,3.417014058956842e-05,2.691569433591229e-05,0.00016086018414036103,2.747660314479335,0.006002215771352794,0.004242983186600368,45.19199399870198,1326,361,0.3831142760159667
feo_ret,2_within_carbon_cinetico,ley_sn_escoria_pct_prev,-0.009353406691276892,0.005084629627569655,-0.019319097636038722,0.0006122842534849408,-1.8395453310033165,0.06583501684936084,-0.01614063645490957,1.7256425372760216,1326,361,0.3831142760159667
feo_ret,2_within_carbon_cinetico,ley_feo_escoria_pct_prev,-0.034166305944872584,0.010693796728632115,-0.05512576239098378,-0.01320684949876139,-3.194964970055395,0.0013984781359481539,-0.02176112936573085,0.6369178277816303,1326,361,0.3831142760159667
feo_ret,2_within_carbon_cinetico,m6_sn_inv_kg_prev,-2.6920693514874064e-06,4.782638012269121e-06,-1.2065867606627116e-05,6.681728903652303e-06,-0.5628837776518559,0.5735140273891584,-0.004450919646452033,1653.3450908286732,1326,361,0.3831142760159667
feo_ret,2_within_carbon_cinetico,m6_feo_inv_kg_prev,-2.964111559477229e-05,1.4383378881282277e-05,-5.783202017807957e-05,-1.450211011465013e-06,-2.06078945979415,0.039323130477552364,-0.01470759428517838,496.18895881814626,1326,361,0.3831142760159667
