idx_cronologico,A1_T1000,A2_T1020,A3_espesorP20,A4_recetaR0
"(0, 100]",100.0,100.0,10.0,92.0
"(100, 200]",93.5,86.5,0.0,94.0
"(200, 300]",42.75,27.0,0.0,34.0
"(300, 400]",18.548387096774192,5.64516129032258,0.0,0.0
