target,n,pearson,spearman,r2_oos
sn_dep,1326,0.539178548348094,0.5346127641686039,0.28962664841710917
feo_ret,1326,0.6144717127509515,0.5845050003052791,0.3775005036728114
dT,1432,0.421641329035088,0.39855384513108744,0.17747981168726046
