q,target,palanca,x_media,y_media,y_se,n
0,sn_dep,gn,-2.717901866553125,-0.037136831818339815,0.02158313315037209,266
1,sn_dep,gn,-0.7624867579379243,-0.02310595136818111,0.021356426787040885,265
2,sn_dep,gn,6.16128296778568e-05,0.014234145833000703,0.02173207525949732,265
3,sn_dep,gn,0.8022881828752938,0.028993999468433552,0.021639003324118576,265
4,sn_dep,gn,2.6882950622447686,0.017154776873080407,0.022359596575336562,265
0,sn_dep,carbon,-7.228865732234608,0.010113746687870219,0.020360454721221027,266
1,sn_dep,carbon,-2.4110891109185544,-0.013696360860032243,0.020226096288857257,265
2,sn_dep,carbon,-0.2353013877403925,-0.028271018760313224,0.022466184377925514,265
3,sn_dep,carbon,2.51109208890832,-0.006730448819582804,0.02206023894479653,265
4,sn_dep,carbon,7.391442880597441,0.038545916670217034,0.02345586392797801,265
0,feo_ret,gn,-2.717901866553125,0.007949711852083796,0.003607345194994191,266
1,feo_ret,gn,-0.7624867579379243,0.006237149957820074,0.003644090525441928,265
2,feo_ret,gn,6.16128296778568e-05,-0.00527336847030723,0.0036203627058823,265
3,feo_ret,gn,0.8022881828752938,-0.007782731413473725,0.0038273003814996687,265
4,feo_ret,gn,2.6882950622447686,-0.001160760838772289,0.0035716797677220473,265
0,feo_ret,carbon,-7.228865732234608,-0.0015481578292734215,0.0036633867423693416,266
1,feo_ret,carbon,-2.4110891109185544,0.007186013520424405,0.0036489375420852414,265
2,feo_ret,carbon,-0.2353013877403925,-0.0007959187305499501,0.0036332098696465463,265
3,feo_ret,carbon,2.51109208890832,0.002760330650699627,0.003628992512324247,265
4,feo_ret,carbon,7.391442880597441,-0.007596425506284535,0.003737567728631972,265
0,dT,gn,-2.709331582293631,-2.5470202406689286,0.6701305494429477,287
1,dT,gn,-0.7527595217539915,-0.3282838813576324,0.7613277228917037,286
2,dT,gn,-0.008449435800289815,0.39669476364753703,0.715446371677602,286
3,dT,gn,0.8218881599421456,1.2265784151630061,0.8049695309581776,286
4,dT,gn,2.6488638056980585,1.2565431010468646,0.721361354608148,287
0,dT,carbon,-7.009806466113332,-0.8876143552787817,0.7582967967090323,287
1,dT,carbon,-2.3932988674385856,1.0189925169869989,0.7468859414263295,286
2,dT,carbon,-0.2650776814389209,0.8192218676816578,0.7216921604960644,286
3,dT,carbon,2.495994756344508,-0.07837520715437286,0.7325207002611644,286
4,dT,carbon,7.1716224684284455,-0.8660929784114105,0.7353682584739543,287
