target,control_lag,variable,theta,se,ci_lo,ci_hi,t,p,theta_por_sd,sd_usada,n
sn_dep,sin_lag,dev__gn,0.015971153464086268,0.004557729456107315,0.0070381678788386005,0.024904139049333935,3.504190763821023,0.0004579971465218045,0.03210127148300829,2.009953229439139,964
sn_dep,sin_lag,dev__carbon,-0.003553137933063082,0.0019096767596785166,-0.0072960356041461265,0.0001897597380199627,-1.8605965198326198,0.06280117667373496,-0.017480036758343937,4.919605455134915,964
sn_dep,con_lag,dev__gn,0.016308636118854483,0.004634320807028313,0.007225534244274391,0.025391737993434575,3.519099518125968,0.0004330142450879089,0.03277959583483936,2.009953229439139,964
sn_dep,con_lag,dev__carbon,-0.0035729808876507297,0.0019217383576217491,-0.007339518856298513,0.00019355708099705327,-1.859244196006203,0.06299253289242071,-0.017577656265979322,4.919605455134915,964
feo_ret,sin_lag,dev__gn,-0.002610335087883567,0.0007559280452217903,-0.0040919268314220415,-0.0011287433443450926,-3.4531528554648228,0.0005540749414848827,-0.005246651439809874,2.009953229439139,964
feo_ret,sin_lag,dev__carbon,0.0011938406139381712,0.00033406423332158847,0.0005390867481048724,0.00184859447977147,3.5736858210406353,0.000351991242328088,0.005873224796891843,4.919605455134915,964
feo_ret,con_lag,dev__gn,-0.0023796558443694975,0.0007521203176489954,-0.0038537845790023537,-0.0009055271097366414,-3.163929744389715,0.0015565436460309064,-0.004782996949344193,2.009953229439139,964
feo_ret,con_lag,dev__carbon,0.0011725796376442024,0.0003259262686317802,0.0005337758895103865,0.0018113833857780182,3.597683741683739,0.00032106367494086515,0.00576862918193454,4.919605455134915,964
dT,sin_lag,dev__gn,0.032664792095218484,0.14904484334731738,-0.25945773294693786,0.32478731713737485,0.21916083348888574,0.8265247641460236,0.06486811712624094,1.9858726465225665,1072
dT,sin_lag,dev__carbon,0.27145219107477103,0.0601158895074357,0.15362721274160773,0.38927716940793433,4.515481568998413,6.317304120863197e-06,1.303003905159112,4.800122997718599,1072
dT,con_lag,dev__gn,0.05602349228863964,0.14717260556940404,-0.23242951413831123,0.3444764987155905,0.3806652200787458,0.7034516795691481,0.11125552089867739,1.9858726465225665,1072
dT,con_lag,dev__carbon,0.25101210087842196,0.05805755518947122,0.13722138367661185,0.36480281808023207,4.3235044958273265,1.535700071762582e-05,1.2048889581321742,4.800122997718599,1072
