muestra,orden,theta_sn,t_sn,theta_feo,t_feo,kg_Sn_agotado,kg_FeO_reducido,R_Sn/FeO,R_P5,R_P95,P(R<0.5),P(R<0.7),P(R<0.9),P(R>0.9)
LOCKBOX,R0,0.07531134942690332,2.591040937865525,-0.011843902574833878,-1.573996811440086,916.5243199139745,163.34750774885043,5.61088646251736,2.39954426536932,16.930333737510782,0.0,0.0,0.002,0.984
LOCKBOX,R1,0.013486771999436157,1.142568296187519,-0.000978789803888294,-0.41885038150006987,27.391880256146287,11.514276558067282,2.378949308539461,-0.28135595665296637,11.078855066592022,0.13,0.178,0.226,0.433
LOCKBOX,R2,0.0035504746974697665,0.20306641428273878,-0.0038118379154494504,-2.231820332839676,4.465717229069746,42.259119049372224,0.1056746408710592,-1.5863037069843595,0.8879663689976949,0.801,0.899,0.941,0.046
LOCKBOX,R3,0.04360295250883171,2.0744552959979763,-0.003264140449670927,-1.2068839077289368,44.357095597708444,34.61346632358444,1.2814982233514425,0.5349395625122254,6.258625792154217,0.038,0.127,0.268,0.622
