version,idx_evento,k,delta_plan_gn,n_pre_disp,n_post_disp,kpi_res_pre,kpi_res_post,dross_res_pre,dross_res_post,d_kpi,d_dross
9,16,6,1.5833333333333321,6,6,1.770289295916618,2.2737068152121034,-0.5811993901587247,-2.2293892272133102,0.5034175192954853,-1.6481898370545855
9,16,8,1.5833333333333321,8,8,2.851239676311397,1.0132541234375072,-1.3794634698808663,-1.6885363132366327,-1.83798555287389,-0.30907284335576635
9,16,10,1.5833333333333321,10,10,2.581741598452842,1.1333475782766087,-1.7342087633257544,-1.9643205987587493,-1.4483940201762333,-0.23011183543299496
11,26,6,-1.2916666666666643,6,6,0.3561431631137874,0.1286308275392495,-1.872246786366401,-0.4020989648531826,-0.2275123355745379,1.4701478215132184
11,26,8,-1.2916666666666643,8,8,0.602271046299343,0.6145052146740451,-1.4331943364070265,-0.2209178524744978,0.012234168374702037,1.2122764839325288
11,26,10,-1.2916666666666643,10,10,1.1333475782766087,1.3398393040057144,-1.9643205987587493,-0.6647533955310667,0.20649172572910568,1.2995672032276826
17,59,6,-0.4166666666666643,6,6,-0.9510120224122716,1.7457661659224246,0.5502909281004577,-1.4445903061823897,2.6967781883346964,-1.9948812342828472
17,59,8,-0.4166666666666643,8,8,-0.020173410804490643,1.2797378252664222,-0.2566624415802653,-1.3471649471325584,1.2999112360709129,-1.0905025055522932
17,59,10,-0.4166666666666643,10,10,-0.14310235204202398,0.58097252929158,-0.7951908977932225,-1.4782320428802325,0.724074881333604,-0.68304114508701
19,70,6,0.8333333333333321,6,6,-1.8665988093522046,-3.0159675779743274,-0.04909863111554147,0.720951341039978,-1.1493687686221228,0.7700499721555195
19,70,8,0.8333333333333321,8,8,-1.9071113363519467,-2.984669872811966,0.5136275791347079,0.933218486343699,-1.0775585364600193,0.41959090720899106
19,70,10,0.8333333333333321,10,10,-0.4404267484542565,-2.442596462228098,-0.5295138774935182,0.5276483638921022,-2.0021697137738417,1.0571622413856203
20,77,6,-1.0416666666666643,6,6,-2.352042191177688,-2.1265183325130166,0.6549134958820803,0.7480160145581612,0.22552385866467128,0.09310251867608099
20,77,8,-1.0416666666666643,8,8,-2.603395201086518,-2.1520885535963306,1.200373695068012,0.7483230006612112,0.45130664749018745,-0.4520506944068008
20,77,10,-1.0416666666666643,10,10,-2.525533891790772,-1.7405336744785018,0.559798870880224,0.019715717622564632,0.7850002173122703,-0.5400831532576593
23,106,6,1.4583333333333357,6,6,-1.0194286295633244,-0.9443702277900646,2.0126736935324403,-0.125213232547943,0.07505840177325973,-2.1378869260803834
23,106,8,1.4583333333333357,8,8,-2.233093722462046,0.20136513370511366,2.6726348931868635,-0.2568577657519885,2.4344588561671596,-2.929492658938852
23,106,10,1.4583333333333357,10,10,-3.1957875886457865,-0.6703420067274763,2.428143262200345,0.4595006425822218,2.5254455819183104,-1.968642619618123
24,112,6,-0.41666666666666785,6,6,-0.9443702277900646,-1.0537552021551662,-0.125213232547943,1.8468371324271018,-0.10938497436510153,1.9720503649750447
24,112,8,-0.41666666666666785,8,8,-1.529273050894199,-1.4062796316521435,0.9633745905113759,2.2382651280499353,0.12299341924205542,1.2748905375385595
24,112,10,-0.41666666666666785,10,10,-1.0368524843486724,-1.2846751103138743,0.5327269389953196,2.070606317559865,-0.24782262596520188,1.5378793785645453
27,125,6,0.41666666666666785,6,6,0.20815946194320625,-1.2919578523597082,0.6922939041299125,2.1093638009656024,-1.5001173143029145,1.4170698968356898
27,125,8,0.41666666666666785,8,8,-1.2117738224554682,-1.8435964258821125,1.4886771655403885,2.490968890847559,-0.6318226034266443,1.0022917253071704
27,125,10,0.41666666666666785,10,10,-1.1460393403137616,-2.1891303799523163,1.6802484019526016,3.4720281158101542,-1.0430910396385547,1.7917797138575526
31,150,6,-0.625,6,6,3.2878159051978906,-3.0267736988364895,0.2248328996863471,2.823784958047929,-6.31458960403438,2.598952058361582
31,150,8,-0.625,8,8,3.444647726483254,-2.129433357298363,-0.03674139502915219,2.1096984792499613,-5.574081083781617,2.1464398742791135
31,150,10,-0.625,10,10,2.098398722170976,-0.5305841516379353,0.8152166775464582,1.2880021974908533,-2.628982873808911,0.4727855199443951
35,197,6,1.8333333333333321,6,6,-2.928096265985721,0.47978173948915054,2.772584468561037,2.0782787495910533,3.4078780054748714,-0.6943057189699835
35,197,8,1.8333333333333321,8,8,-2.0050072051915313,-0.8994584528115315,1.4192718417066876,2.3813533725691967,1.1055487523799998,0.962081530862509
35,197,10,1.8333333333333321,10,10,-1.912424976728954,-1.6577170960388898,0.9397654878080601,3.117570592140602,0.2547078806900642,2.177805104332542
39,251,6,0.625,6,6,0.47485717220407037,1.4404406516689103,0.4499642379304401,-0.3973858054644746,0.9655834794648399,-0.8473500433949147
39,251,8,0.625,8,8,-1.3905573184295719,1.7493430710360975,1.720158305010397,-0.796777336432563,3.1399003894656694,-2.5169356414429602
39,251,10,0.625,10,10,-1.6908126339272385,1.9242144021159375,2.1566864633384326,-1.1262271068119254,3.615027036043176,-3.282913570150358
41,277,6,-0.4166666666666643,6,6,3.4560199511880647,1.921719819829126,-3.125809793024313,-1.3820476232770726,-1.5343001313589386,1.7437621697472405
41,277,8,-0.4166666666666643,8,8,3.8447398585699277,2.4656891357433732,-2.8691637101694405,-1.365303954625832,-1.3790507228265545,1.5038597555436084
41,277,10,-0.4166666666666643,10,10,3.186377131572977,1.5075528046947517,-2.285179427315364,-1.2790156286525876,-1.6788243268782255,1.0061637986627763
43,296,6,0.875,6,6,-1.6019244461296864,-5.253459012716861,2.0913281149635226,2.6307630639322297,-3.6515345665871743,0.5394349489687071
43,296,8,0.875,8,8,-2.0875122018413315,-4.089465757673977,1.6715193690530716,2.443398118996295,-2.001953555832645,0.7718787499432236
43,296,10,0.875,10,10,-1.3174341216857868,-3.28495400458226,1.1005789593531328,2.0916221240312263,-1.967519882896473,0.9910431646780935
47,333,6,-0.41666666666666785,6,6,2.954816790536531,4.084302099821083,-3.3509183933407996,-4.96738808968244,1.129485309284552,-1.6164696963416403
47,333,8,-0.41666666666666785,8,8,1.7633661899165158,2.685235118580847,-2.573804047994919,-3.1868201405287917,0.9218689286643311,-0.6130160925338726
47,333,10,-0.41666666666666785,10,10,1.7784586939990745,2.038355770135344,-3.1860690633144615,-2.3347919163800945,0.25989707613626956,0.851277146934367
49,357,6,0.625,6,6,-1.0823491511439407,-1.1172465234275677,1.761184818488924,0.42826800913384916,-0.03489737228362699,-1.332916809355075
49,357,8,0.625,8,6,-1.167626322496095,-1.1172465234275677,1.4782276340805673,0.42826800913384916,0.0503797990685273,-1.0499596249467182
49,357,10,0.625,10,6,-0.37960492025650083,-1.1172465234275677,0.29745253346561845,0.42826800913384916,-0.7376416031710669,0.1308154756682307
