variable,orden_i,R0,R1,R2,R3
dev__gn,R0,1.0,0.23971270037062611,0.09121923444118024,-0.011471392095380069
dev__gn,R1,0.23971270037062611,1.0,0.31803612213261484,0.11070091587248532
dev__gn,R2,0.09121923444118024,0.31803612213261484,1.0,0.37434229317764406
dev__gn,R3,-0.011471392095380069,0.11070091587248532,0.37434229317764406,1.0
dev__carbon,R0,1.0,-0.3452827861303947,-0.48638483401347327,-0.2303479443469429
dev__carbon,R1,-0.3452827861303947,1.0,-0.13616761699155278,-0.41004201193397627
dev__carbon,R2,-0.48638483401347327,-0.13616761699155278,1.0,0.33794545027374795
dev__carbon,R3,-0.2303479443469429,-0.41004201193397627,0.33794545027374795,1.0
