target,tercio,variable,theta,se,ci_lo,ci_hi,t,p,theta_por_sd,sd_usada,n,n_batches
sn_dep,T1_temprano,dev__gn,0.03673194156450181,0.007642379658872866,0.02175315267692949,0.05171073045207413,4.8063487034245576,1.5371170704800756e-06,0.07945199740653407,2.1630219918273372,438,121
sn_dep,T1_temprano,dev__carbon,-0.010598996886174957,0.0023732018389209567,-0.01525038701850426,-0.005947606753845655,-4.466116919492229,7.965209054143607e-06,-0.07505838532955803,7.081649908536357,438,121
sn_dep,T2_medio,dev__gn,0.019092785180808498,0.010720417107964147,-0.0019188462500482756,0.04010441661166527,1.7809740972321457,0.0749166824276686,0.034733072143235205,1.8191726253824854,429,120
sn_dep,T2_medio,dev__carbon,0.0034109901997717482,0.0034852857054041932,-0.0034200442586527478,0.010242024658196245,0.978683094611944,0.3277365876100278,0.015482067408812174,4.53887771646139,429,120
sn_dep,T3_tardio,dev__gn,0.018704571043905497,0.00712665010732431,0.004736593503131338,0.032672548584679655,2.6245951130226177,0.00867520591407437,0.041130353301595035,2.1989466213926634,459,121
sn_dep,T3_tardio,dev__carbon,-0.001583195818428776,0.002743023879595611,-0.0069594238311695075,0.0037930321943119554,-0.577171722858708,0.5638234571112228,-0.007668543806587546,4.843711508913724,459,121
feo_ret,T1_temprano,dev__gn,-0.004426357984274785,0.0012869487837950428,-0.0069487312504606935,-0.0019039847180888762,-3.439420464909285,0.0005829610507968031,-0.009574309663686883,2.1630219918273372,438,121
feo_ret,T1_temprano,dev__carbon,0.0019660699299682252,0.0004412528078049905,0.0011012303185932693,0.002830909541343181,4.455654208181538,8.36377502525889e-06,0.013923018939735564,7.081649908536357,438,121
feo_ret,T2_medio,dev__gn,-0.004448484646242204,0.0013466756330079391,-0.0070879203857954435,-0.001809048906688964,-3.3033081888517235,0.0009555131244606569,-0.008092561492878106,1.8191726253824854,429,120
feo_ret,T2_medio,dev__carbon,0.0006108856307844155,0.0005896257306881687,-0.0005447595657225084,0.0017665308272913393,1.0360566016537878,0.30017573709024803,0.002772735176873844,4.53887771646139,429,120
feo_ret,T3_tardio,dev__gn,-0.003644955535474547,0.001057127021320419,-0.005716886424346675,-0.0015730246466024197,-3.447982562135026,0.0005647904998856781,-0.00801506265985824,2.1989466213926634,459,121
feo_ret,T3_tardio,dev__carbon,0.0008057473176010059,0.00043581695572648727,-4.843821947479634e-05,0.0016599328546768083,1.8488204899184368,0.06448373765902046,0.0039028075555403545,4.843711508913724,459,121
dT,T1_temprano,dev__gn,0.4908984855373904,0.2648132700954149,-0.02812598647790049,1.0099229575526814,1.853753346123911,0.06377445584171192,1.0386106784918243,2.1157341264861493,478,121
dT,T1_temprano,dev__carbon,-0.10605693667426011,0.0749316236035491,-0.2529202202403278,0.04080634689180754,-1.4153828727292754,0.15695626855362171,-0.7300894076481071,6.883938293357279,478,121
dT,T2_medio,dev__gn,-0.4427625627619055,0.3533644724147098,-1.1353442021107343,0.24981907658692315,-1.252991167267879,0.21020892120390344,-0.8091746150976986,1.8275587937023263,474,120
dT,T2_medio,dev__carbon,0.1778784224203855,0.1328395672344487,-0.08248234508102095,0.438239189921792,1.3390469882098281,0.18055537656897158,0.7861472418378803,4.419576197836714,474,120
dT,T3_tardio,dev__gn,0.3353934569162766,0.15566754373524563,0.030290677633381446,0.6404962361991717,2.154549682409732,0.031197090173941816,0.7357900884371592,2.193811695679062,480,121
dT,T3_tardio,dev__carbon,-0.005010286452652737,0.06795298087776781,-0.13819568161521661,0.12817510870991117,-0.07373166545357474,0.9412239019672285,-0.02390490208389933,4.771164744730849,480,121
