segmento,n,beta_plus_P50,ganancia_P50,IC95_lo,IC95_hi,P_mayor_0
total,361,-0.6181291823547762,0.6539614265945546,0.08770408885859282,1.226037961868855,0.99
DEV,298,-0.9028016236288796,0.9251104185602522,0.30967704740401897,1.530083147783787,0.9985
dentro_A1(T>=1000),361,-0.43248797117011195,0.31871765496146975,-0.006086798688498924,0.6692604265882094,0.9715
