version,ini_idx,fin_idx,n,plan_medio,fecha_ini,delta_plan
1,1,1,1,32.083333333333336,1,
2,2,2,1,30.625,2,-1.4583333333333357
3,3,4,2,32.08333333333333,3,1.4583333333333286
4,5,15,11,31.666666666666664,5,-0.4166666666666643
5,16,16,1,32.08333333333333,16,0.4166666666666643
6,17,25,9,30.0,17,-2.0833333333333286
7,26,27,2,31.25,26,1.25
8,28,41,14,30.833333333333332,28,-0.41666666666666785
9,42,43,2,32.083333333333336,42,1.2500000000000036
10,44,45,2,31.666666666666668,44,-0.41666666666666785
11,46,50,5,29.583333333333332,46,-2.0833333333333357
12,51,60,10,30.833333333333332,51,1.25
13,61,64,4,29.166666666666668,61,-1.6666666666666643
14,65,68,4,29.583333333333336,65,0.41666666666666785
15,69,83,15,27.5,69,-2.0833333333333357
16,84,93,10,27.083333333333336,84,-0.4166666666666643
17,94,96,3,26.875,94,-0.2083333333333357
18,97,127,31,26.458333333333336,97,-0.4166666666666643
19,128,129,2,27.083333333333332,128,0.6249999999999964
20,130,130,1,26.458333333333336,130,-0.6249999999999964
21,131,156,26,27.083333333333332,131,0.6249999999999964
22,157,167,11,25.41666666666667,157,-1.6666666666666607
23,168,170,3,26.666666666666668,168,1.2499999999999964
24,171,175,5,26.25,171,-0.41666666666666785
25,176,196,21,25.833333333333332,176,-0.41666666666666785
26,197,201,5,28.75,197,2.916666666666668
27,202,231,30,28.333333333333332,202,-0.41666666666666785
28,232,238,7,26.25,232,-2.083333333333332
29,239,250,12,26.666666666666668,239,0.41666666666666785
30,251,257,7,27.083333333333332,251,0.4166666666666643
31,258,302,45,27.916666666666668,258,0.8333333333333357
32,303,304,2,27.083333333333336,303,-0.8333333333333321
33,305,316,12,28.333333333333332,305,1.2499999999999964
34,317,325,9,29.166666666666668,317,0.8333333333333357
35,326,338,13,28.958333333333336,326,-0.20833333333333215
36,339,339,1,30.416666666666668,339,1.4583333333333321
37,340,341,2,28.958333333333336,340,-1.4583333333333321
38,342,362,21,30.416666666666668,342,1.4583333333333321
