regla,y,x,n,beta,se,t
A1_T1000,recuperacion_refinada_pct,x_gn,361,-0.8106201024588963,0.42840337686675234,-1.892188872056968
A1_T1000,recuperacion_refinada_pct,x_carbon,361,-0.6752256071692744,0.543382715222915,-1.2426335771322292
A1_T1000,f_dross,x_gn,361,0.6006044928897056,0.29214697931122696,2.0558298918773894
A1_T1000,f_dross,x_carbon,361,0.07753670550269214,0.48549379424096467,0.15970689311058098
A1_T1000,sn_perdido_escoria_frac,x_gn,361,-0.019474293780228816,0.10206242737738178,-0.19080766821488068
A1_T1000,sn_perdido_escoria_frac,x_carbon,361,0.007996069463934207,0.09760053402714063,0.08192649296069088
A2_T1020,recuperacion_refinada_pct,x_gn,361,-1.3494244959047816,0.48580456544414763,-2.7777106101731834
A2_T1020,recuperacion_refinada_pct,x_carbon,361,-0.022016361688777335,0.6244444420318503,-0.03525751885490298
A2_T1020,f_dross,x_gn,361,0.8490082517274858,0.34942381394321803,2.4297378079258536
A2_T1020,f_dross,x_carbon,361,-0.297229214253447,0.5597128696206712,-0.5310387350122667
A2_T1020,sn_perdido_escoria_frac,x_gn,361,-0.03285658636709438,0.12590341659131635,-0.2609665984978562
A2_T1020,sn_perdido_escoria_frac,x_carbon,361,0.07470655491067531,0.11911419096589647,0.6271843371883751
A3_espesorP20,recuperacion_refinada_pct,x_gn,361,-1.8604335047054865,4.623327353622313,-0.402401422700009
A3_espesorP20,recuperacion_refinada_pct,x_carbon,361,1.6968760818492057,4.215991613611865,0.40248563976518015
A3_espesorP20,f_dross,x_gn,361,3.25133988164111,2.6272527260505862,1.237543632328315
A3_espesorP20,f_dross,x_carbon,361,-1.3668847857165018,3.7744637732577853,-0.36214012581096444
A3_espesorP20,sn_perdido_escoria_frac,x_gn,361,0.7395402938795571,0.7075112199990335,1.0452700578805907
A3_espesorP20,sn_perdido_escoria_frac,x_carbon,361,0.9672681542107491,0.7847493455234421,1.2325823012513168
A4_recetaR0,recuperacion_refinada_pct,x_gn,361,-1.6120547077878071,0.4995408654661145,-3.2270727366491263
A4_recetaR0,recuperacion_refinada_pct,x_carbon,361,0.3950567023362531,0.8473200255990059,0.46624261247333443
A4_recetaR0,f_dross,x_gn,361,1.2009334675573216,0.38719709672407066,3.1016076249485574
A4_recetaR0,f_dross,x_carbon,361,-1.3210642788966847,0.7849297985756856,-1.6830349431170222
A4_recetaR0,sn_perdido_escoria_frac,x_gn,361,-0.08343987805089738,0.1297254394428303,-0.6432036646726422
A4_recetaR0,sn_perdido_escoria_frac,x_carbon,361,0.16442037992706385,0.13721537033808845,1.1982650305278795
