target,palanca_lead,theta,se,ci_lo,ci_hi,t,p,n
sn_dep,lead_dev_gn,0.008130521702945984,0.006415236761359518,-0.004443111301616049,0.02070415470750802,1.2673767166191015,0.2050206210530543,1068
sn_dep,lead_dev_carbon,-0.0014977696502093758,0.002212273867563035,-0.005833746754572058,0.0028382074541533063,-0.6770272307466468,0.49838867727116354,1068
feo_ret,lead_dev_gn,-0.0026602761624410446,0.0009939941778902158,-0.0046084689519483675,-0.000712083372933722,-2.6763498435046826,0.007442890873255224,1068
feo_ret,lead_dev_carbon,0.0010674115405224008,0.0003855753557269571,0.0003116977299713452,0.0018231253510734564,2.7683603857666723,0.0056339118490971955,1068
dT,lead_dev_gn,-0.8051566280903345,0.2728317930895351,-1.3398971163833073,-0.2704161397973617,-2.9511099823549767,0.0031663414866555505,1074
dT,lead_dev_carbon,0.38459565105413795,0.0982517484834102,0.19202576260856608,0.5771655394997098,3.914389891179157,9.063308451770865e-05,1074
