,coef,se,t,p
const,0.10000000000000028,0.26861355167964784,0.37228203631089185,0.7096828719300938
kpi_prev10,0.1409207697285017,0.4211836328187238,0.3345827300681306,0.7379398742007284
T_prev,-0.04318098040824906,0.29739804592177216,-0.14519591167592077,0.8845561937398412
ley_prev,-0.1815085103428215,0.22069516414866253,-0.8224399072947313,0.4108265744695291
dross_prev10,-0.2521465992457649,0.4085441478577745,-0.6171832360539505,0.5371138717648959
