variable,nivel,var_total,var_entre_batch,var_dentro_batch,frac_dentro,icc_entre
dev__gn,global,7.408166067217974,3.00309177246163,4.49031269993107,0.6061301352032649,0.4053758710608112
dev__gn,orden_0,4.731578591956024,4.731578591956024,0.0,0.0,1.0
dev__gn,orden_1,9.08072921964092,9.08072921964092,0.0,0.0,1.0
dev__gn,orden_2,8.89809442872746,8.89809442872746,0.0,0.0,1.0
dev__gn,orden_3,6.255239357545827,6.255239357545827,0.0,0.0,1.0
dev__carbon,global,59.175347693185934,2.5813003319770824,56.59939905505537,0.9564692268225204,0.04362121107189236
dev__carbon,orden_0,48.06004043247105,48.06004043247105,0.0,0.0,1.0
dev__carbon,orden_1,49.738556810327765,49.738556810327765,0.0,0.0,1.0
dev__carbon,orden_2,28.3840385698279,28.3840385698279,0.0,0.0,1.0
dev__carbon,orden_3,17.59564610333869,17.59564610333869,0.0,0.0,1.0
