regla,t_obs,p_perm_simple,p_corregida_maxstat_4reglas
A1_T1000,1.187700886818462,0.08091908091908091,0.23676323676323677
A2_T1020,2.024502795672672,0.02097902097902098,0.05094905094905095
A3_espesorP20,,,
A4_recetaR0,2.330567291120585,0.007992007992007992,0.02197802197802198
