target,palanca,parte,theta,se,ci_lo,ci_hi,t,p,n
sn_dep,gn,pos_paso_de_mas,0.020498602618524833,0.005360505530608744,0.009992204839603922,0.031005000397445744,3.824005497518252,0.00013130098493359987,1326
sn_dep,gn,neg_paso_de_menos,0.022877341213697795,0.005229464214000853,0.01262777969581506,0.03312690273158053,4.374700787214157,1.215991532722628e-05,1326
sn_dep,carbon,pos_paso_de_mas,-0.003161240757987697,0.0018326863429214979,-0.006753239985072256,0.0004307584690968619,-1.7249218723092252,0.08454155325837526,1326
sn_dep,carbon,neg_paso_de_menos,-0.0028605768949637777,0.0017245194490698756,-0.00624057290577959,0.0005194191158520343,-1.658767546232452,0.09716264236401169,1326
feo_ret,gn,pos_paso_de_mas,-0.003117067946750034,0.0007413595908225872,-0.004570106044355656,-0.0016640298491444121,-4.204529064352486,2.616263196512529e-05,1326
feo_ret,gn,neg_paso_de_menos,-0.0034268067602376312,0.0007254445139389615,-0.004848651880340161,-0.0020049616401351016,-4.723733785828809,2.3155348931378253e-06,1326
feo_ret,carbon,pos_paso_de_mas,0.0008418831433719552,0.00027769410839585353,0.0002976126921971204,0.00138615359454679,3.031692491552068,0.002431868091112896,1326
feo_ret,carbon,neg_paso_de_menos,0.001102318441198126,0.0002601007376665463,0.0005925303630193945,0.0016121065193768574,4.238044271182796,2.2547531479396117e-05,1326
dT,gn,pos_paso_de_mas,0.2658778690202305,0.17999073096569493,-0.08689748122356983,0.6186532192640308,1.477175338939565,0.13962864254298607,1432
dT,gn,neg_paso_de_menos,0.40257096073345777,0.1517449521842307,0.10515631961661298,0.6999856018503026,2.6529446610171514,0.007979295159178296,1432
dT,carbon,pos_paso_de_mas,-0.05055663713983136,0.06134561810885906,-0.17079183924254326,0.06967856496288052,-0.824127927933134,0.4098668729622229,1432
dT,carbon,neg_paso_de_menos,0.00914085124194609,0.060113367798640946,-0.10867918463279999,0.12696088711669218,0.15206020851409938,0.8791394481835799,1432
