,coef,se,t,p
const,0.00588235294117632,0.14994537877159442,0.03922997153607957,0.9687070381924502
kpi_prev10,-0.08867115672231687,0.27223262605761633,-0.32571833143743095,0.7446374734726021
T_prev,0.06086742242210669,0.18686692738135796,0.32572603014918994,0.7446316481511162
ley_prev,0.11229610060117784,0.18773574140136076,0.5981604768646568,0.5497328603380323
dross_prev10,0.03466336359406846,0.19951828764915275,0.17373527009726045,0.86207351749496
