version,idx_inicio,n_pre,delta_plan,kpi_prev10,T_prev,ley_prev,dross_prev10,feed_sn_prev
5,16,10,0.4166666666666572,69.59314831217087,1168.381226028679,42.15743069741506,0.1229918473464409,48.435539288229066
7,26,9,1.25,68.44006126759352,1136.801100237574,35.10588535094203,0.09906526196972548,44.27442776351271
9,42,10,1.2500000000000107,69.26203148221775,1118.2899151167626,38.19779162304859,0.11636186501601728,46.20410549318309
12,51,5,1.25,67.46221468949982,1078.6019697536904,39.93587201733333,0.10916907367054045,49.27189109036743
13,61,10,-1.6666666666666643,68.47652749988195,1096.8510011116398,40.741580108,0.12361457696364408,49.761341496465214
14,65,4,0.41666666666666785,67.87785997155362,1093.0575937676954,40.8716429,0.127594825161526,50.64180433595381
15,69,4,-2.0833333333333357,66.40035641873165,1197.2253182821119,40.8716429,0.1212578533223735,52.10656397615597
16,84,10,-0.4166666666666643,66.06968497544385,1135.7933762655778,40.164748713,0.14087924240244226,53.24260454037528
17,94,10,-0.2083333333333357,67.20768998314404,1099.880919132649,40.755827655000004,0.12689026067008435,50.59850950836092
18,97,3,-0.4166666666666572,66.09190650070435,1079.5597490206906,40.83807624000001,0.12733451438477392,47.25127105593946
19,128,10,0.6249999999999893,67.19776644229604,1063.9793908329943,41.217088265,0.14064717939999202,51.22786058146987
22,157,10,-1.6666666666666714,68.19329230154696,1045.8704264871944,39.510172350999994,0.13920485480091085,50.89762420758626
23,168,10,1.2500000000000036,71.09865365631349,1075.6140890077613,38.650057664,0.10523606000450816,50.33006035524075
24,171,3,-0.41666666666666785,70.90720421600209,1076.628075894315,38.633354,0.09515183581250997,49.966677803651464
25,176,5,-0.41666666666666785,70.50425958858014,1065.3968903941554,38.633354,0.09552240968108618,49.8380783586465
26,197,10,2.916666666666668,66.5697871839632,1097.8345175444067,38.98367768999999,0.13166147786658267,50.12211531759313
27,202,5,-0.41666666666666075,69.30137087755831,1018.1731414479818,39.01174560000001,0.14068715074236934,52.502991039163156
28,232,10,-2.0833333333333393,65.90847739002716,959.5969801185158,38.372728005,0.14682829840077463,50.71145290364551
29,239,7,0.4166666666666714,67.18500078409146,939.9707924375978,38.484651250000006,0.14512083562399672,52.068125803244875
30,251,10,0.4166666666666643,66.61703362312592,957.2179022980197,39.17214257,0.14772244032526038,52.81777322411621
31,258,7,0.8333333333333428,69.81978705415618,972.2756424196907,38.20825156271776,0.11752071543429458,50.65619100023345
32,303,10,-0.8333333333333428,64.17568185655644,1020.0743068209686,39.209996489999995,0.15126262436276666,52.19462195969489
34,317,10,0.8333333333333393,69.22615944796061,979.3596992699404,41.46081095865934,0.11744262588786651,53.458274674772966
35,326,9,-0.20833333333333925,71.03511059066015,967.5316734795407,41.50480573615384,0.08905093874429842,53.80514872460241
36,339,10,1.4583333333333393,71.91901355938009,973.833269368819,41.67422262180288,0.08557184370855109,54.76051028219969
