Batch,orden_escalon_fase,inicio_bloque,receta__gn,hist__gn,rec__gn,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,receta__carbon,hist__carbon,rec__carbon,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon,presion_punta_lanza_kpa,tiro_horno_pct,d_temperatura_horno_celsius,desvio_duracion_min,duracion_plan_min,temperatura_horno_celsius,plan__o2,tasa_o2_nm3_min,tasa_gn_nm3_min,tasa_feed_Carbon_kg_min,twin_gn,rec_o2_acompanado,rec_o2_sin_piso
AP0141,0,140,26.666666666666668,28.2383656028465,23.7565661838784,0.5400840780157301,-1.0,1.571698936179832,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.9092432389578537,1.6835216514777016,60.0,58.37689957157257,55.0089902171328,-0.18386066184508112,-0.5653688126016464,-1.6231004284274277,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,0.08448096037054106,0.25977770216221685,32.0028923034668,89.15831707369897,38.72124496252923,0.0,30.0,1114.563975045481,24.631428571428565,28.193117099338103,28.2383656028465,58.37689957157257,False,18.811227605852032,18.811227605852032
AP0141,1,140,25.833333333333332,24.91860577392578,23.143507197407892,-0.3400693997245435,-1.0000000000000002,-0.9147275594075523,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,0.5725141974412942,1.6835216514777023,18.333333333333332,33.50466895470253,18.333333333333332,2.3236118376063395,0.0,15.171335621369199,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-1.0676615519568953,-0.0,70.4530410003662,84.04621094923753,-65.62386791149788,0.0,25.0,1048.940107133983,23.06928571428572,25.805791978624132,24.91860577392578,33.50466895470253,False,17.68963344243484,17.68963344243484
AP0141,2,140,17.5,18.727368842230902,17.5,0.4491370267836829,0.0,1.2273688422309021,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.7561319090706505,-0.0,16.666666666666668,8.590837872217572,12.919700317689735,-1.2185382282759274,-0.5653688126016465,-8.075828794449096,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.5598983422549993,0.2597777021622169,59.6581697965923,78.0,-53.18715287308612,0.0,20.0,995.7529542608969,7.447857142857144,9.524834785461426,18.727368842230902,8.590837872217572,False,7.447857142857144,7.447857142857144
AP0141,3,140,16.666666666666668,16.77402756302445,16.666666666666668,0.058364988048211476,0.0,0.10736089635778256,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.09825872106740131,-0.0,13.333333333333334,7.474033482869467,10.798737010587445,-1.306979486005464,-0.5653688126016465,-5.859299850463867,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.6005356504991374,0.25977770216221685,36.0581723531087,78.0,-2.21330982063148,2.0,13.0,993.5396444402654,5.885714285714285,6.5524951454445155,16.77402756302445,7.474033482869467,True,5.885714285714285,5.885714285714285
AP0142,0,140,26.666666666666668,28.80297059235749,23.7565661838784,0.7340997117886309,-1.0,2.1363039256908216,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-1.2358727591397005,1.6835216514777016,60.0,43.982617853176414,55.0089902171328,-1.8144080495338533,-0.5653688126016464,-16.017382146823586,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,0.8336907579382836,0.25977770216221685,51.3349826812744,91.64686830582157,-24.081952129263527,0.0,30.0,1082.0558406527202,24.631428571428565,28.1910710200557,28.80297059235749,43.982617853176414,False,18.811227605852032,18.811227605852032
AP0142,1,140,25.833333333333332,26.243389838324656,23.143507197407892,0.1524472156451271,-1.0000000000000002,0.4100565049913243,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,-0.25664818824606167,1.6835216514777023,18.333333333333332,41.912098889473164,18.333333333333332,3.6112772223706546,0.0,23.57876555613983,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-1.659322689522315,-0.0,48.8318296813965,87.66343072744516,-66.12571005291898,0.0,25.0,1015.9301305998013,23.06928571428572,25.06628963216146,26.243389838324656,41.912098889473164,False,17.68963344243484,17.68963344243484
AP0142,2,140,17.5,20.94432268778483,17.5,1.2603976881663688,0.0,3.4443226877848296,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-2.1219067975005226,-0.0,16.666666666666668,15.621316746303012,12.919700317689735,-0.15772979743749066,-0.5653688126016465,-1.0453499203636554,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.07247425649863998,0.2597777021622169,28.1724548339844,84.31306493849982,-18.30595868108037,0.0,20.0,997.6241719187209,7.447857142857144,14.737115198771159,20.94432268778483,15.621316746303012,False,7.447857142857144,7.447857142857144
AP0142,3,140,16.666666666666668,16.838370530870225,16.666666666666668,0.09334398577183552,0.0,0.17170386420355754,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.1571466210821116,-0.0,13.333333333333334,5.8407876756456165,10.798737010587445,-1.6712924278456078,-0.5653688126016465,-7.492545657687717,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.7679314756485389,0.25977770216221685,28.9752648890018,83.55416470482236,4.438344001649739,7.0,13.0,1002.0625159203706,5.885714285714285,6.349976662529839,16.838370530870225,5.8407876756456165,True,5.885714285714285,5.885714285714285
AP0143,0,140,27.5,28.157035637257035,24.589899517211734,0.2257776462163626,-1.0,0.6570356372570352,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.38010155582491906,1.6835216514777016,60.0,60.57726158225228,55.0089902171328,0.06539071440790262,-0.5653688126016464,0.5772615822522766,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.030045961420230697,0.25977770216221685,44.4808228651683,87.91054461079258,-4.658915584104761,0.0,30.0,1089.020129569363,26.193571428571417,27.63836270976999,28.157035637257035,60.57726158225228,False,20.373370462994885,20.373370462994885
AP0143,1,140,25.0,24.502492565298184,22.31017386407456,-0.18495895628980802,-1.0000000000000002,-0.49750743470181646,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,0.31138240754860963,1.6835216514777023,18.333333333333332,22.841459929637423,18.333333333333332,0.6904557770013126,0.0,4.508126596304091,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.3172531119441282,-0.0,40.7535489273071,84.0,-65.11505825002996,0.0,25.0,1023.905071319333,21.507142857142853,21.674725463058778,24.502492565298184,22.841459929637423,False,16.127490585291973,16.127490585291973
AP0143,2,140,17.5,17.29425896823573,17.5,-0.07528781252590001,0.0,-0.20574103176426917,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,0.12674866247974678,-0.0,16.666666666666668,13.49205821203807,12.919700317689735,-0.47900740100283384,-0.5653688126016465,-3.174608454628597,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.22009604912340253,0.2597777021622169,51.6681192398071,84.0,-10.20556642459428,0.0,20.0,1013.6995048947388,7.447857142857144,6.506162567566088,17.29425896823573,13.49205821203807,True,7.447857142857144,7.447857142857144
AP0143,3,140,16.666666666666668,16.68284376418554,16.666666666666668,0.008794413379312057,0.0,0.01617709751887375,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.014805585336117028,-0.0,13.333333333333334,6.840319554847584,10.798737010587445,-1.448336154047461,-0.5653688126016465,-6.49301377848575,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.6654867224202743,0.25977770216221685,41.0554336971707,84.0,-5.404228244650994,5.0,13.0,1008.2952766500878,5.885714285714285,5.8446710044955035,16.68284376418554,6.840319554847584,True,5.885714285714285,5.885714285714285
