version,idx_inicio,n_pre,delta_plan,kpi_prev10,T_prev,ley_prev,dross_prev10,feed_sn_prev
9,16,7,1.5833333333333321,70.36671386172421,1161.2925409542338,42.41547856183673,0.11960590482169695,48.5517032505065
11,26,9,-1.2916666666666643,68.44006126759352,1136.801100237574,35.10588535094203,0.09906526196972548,44.27442776351271
13,32,4,1.0,66.39375378977957,1123.5176079634014,36.50794218065217,0.12779411954030437,46.295963634898115
14,35,3,-1.0,70.80737643523445,1132.2857564496278,36.50794218065217,0.12218548683526075,45.06736634577144
15,49,10,-0.375,69.16854183249157,1088.2604959311882,39.260686961254905,0.1065703803469975,48.96306534238641
17,59,8,-0.4166666666666643,67.65469075177106,1098.8159217685266,40.70906441,0.12863744075788175,49.48645639259574
19,70,9,0.8333333333333357,66.37774599561133,1146.5867483239738,40.83176977777778,0.13450099796092763,51.523783260589425
20,77,7,-1.0416666666666679,65.29285291467855,1129.0521979122,40.5127848,0.1405479672762902,52.865192494017386
21,94,10,-0.2083333333333357,67.20768998314404,1099.880919132649,40.755827655000004,0.12689026067008435,50.59850950836092
22,97,3,0.0,66.09190650070435,1079.5597490206906,40.83807624000001,0.12733451438477392,47.25127105593946
23,106,9,1.4583333333333357,65.40388678579922,1088.4699662920875,40.03423258444444,0.14105858848004021,45.8923759680021
24,112,6,-0.41666666666666785,67.56971047683164,1089.1842701224743,39.40062749999999,0.11891473917305834,47.557794190234766
26,116,3,-0.6499999999999986,67.53451516479356,1098.5004350080399,41.05276577000001,0.1499283227123196,53.70878421113346
27,125,9,0.41666666666666785,67.35370787849159,1074.6729998309158,41.12579799,0.14511865508497998,51.93036050989995
29,130,3,-0.5250000000000057,66.37806383798704,1017.2418862968867,41.38141076,0.15154244437640338,50.92049933843598
30,143,10,-3.552713678800501e-15,65.83493948493216,1022.064501130982,41.23643079,0.1736948189024154,53.04471304915161
31,150,7,-0.6249999999999964,71.52379190764064,1035.98498099722,41.44016998,0.1324977668304031,52.368784664133976
33,158,6,-0.20833333333333925,67.55241163184938,1045.089638087952,38.67939099833334,0.13517643337961552,51.05466300474678
34,168,10,-0.2083333333333357,71.09865365631349,1075.6140890077613,38.650057664,0.10523606000450816,50.33006035524075
35,197,10,1.8333333333333357,66.5697871839632,1097.8345175444067,38.98367768999999,0.13166147786658267,50.12211531759313
36,213,10,-0.25,68.19986602111483,1019.0666421634296,38.841100860000005,0.13416650372926978,52.81714612511429
37,225,10,-0.3333333333333357,67.68821372119123,981.3965372162975,38.53109184,0.12914488641751667,50.65537349042886
38,235,10,0.2083333333333357,67.83448406048724,950.7506262181116,38.358795828,0.141245929334105,51.058643164131844
39,251,10,0.625,66.61703362312592,957.2179022980197,39.17214257,0.14772244032526038,52.81777322411621
40,258,7,-0.20833333333333215,69.81978705415618,972.2756424196907,38.20825156271776,0.11752071543429458,50.65619100023345
41,277,10,-0.41666666666666785,71.32858399688068,970.6153729478268,38.83230500000002,0.09998305262458033,51.16009434475164
42,284,7,-0.20833333333333215,71.4006894138096,1018.145283322654,37.56804095731707,0.10275711043202697,51.0513075562169
43,296,10,0.875,67.15807385146864,1032.1819949375047,38.39665544162601,0.1295588049079429,50.3214518221816
44,299,3,-0.16666666666666785,63.28656165229915,1021.5174654173419,39.20999649,0.1505103500358765,52.768054733729194
45,302,3,-0.9166666666666679,62.762107022887164,1006.9249745216756,39.20999649,0.1531076328548205,53.27039253893858
46,305,3,0.8333333333333286,66.60699086323848,1008.2297563251594,38.04745766523036,0.13550114742296102,51.229906785866056
47,333,10,-0.41666666666666075,70.58180663775798,971.0626218022126,41.40521414642308,0.09322172858532644,53.80891812536572
48,337,4,-0.2083333333333286,72.14173235131533,985.8579442257353,41.8820163453125,0.08192764284995767,55.09382970939961
49,357,10,0.6249999999999964,68.35599418099937,968.2380606711977,41.81522012397728,0.13078239114390727,55.33244495344742
