regimen,tendencia,modelo,palanca,n,F,p,coef_propio,r2
TOTAL,lineal,univariado,gn,361,6.661618033745621,0.010252936638774484,0.3582864708977179,0.09990965285602627
TOTAL,lineal,univariado,carbon,361,242.3691573978917,5.34906735561811e-42,0.867789656115219,0.4863759465862839
TOTAL,lineal,conjunto,gn,361,4.437263857660345,0.03586794700356996,0.32308037914919996,0.10076820441745626
TOTAL,lineal,conjunto,carbon,361,236.67262765842335,3.1158042192328433e-41,0.9407583476285465,0.5037060443231054
TOTAL,cubica,univariado,gn,361,7.7255842133076165,0.005736720121530167,0.417680447795642,0.10420945827162986
TOTAL,cubica,univariado,carbon,361,5.449443946962528,0.020136454000436114,0.32680371894814914,0.5466965606375149
TOTAL,cubica,conjunto,gn,361,2.809208832946771,0.09461503465011595,0.2594641100808792,0.131020534109329
TOTAL,cubica,conjunto,carbon,361,7.062826017721233,0.008229820190726187,0.4073696656473457,0.5555560291914043
TOTAL,bloque40,univariado,gn,361,3.9537771894002476,0.047553783752165756,0.3562893489979733,0.148401239361457
TOTAL,bloque40,univariado,carbon,361,11.89342359533861,0.0006328634738029565,0.4241226928860939,0.5676273614321374
TOTAL,bloque40,conjunto,gn,361,3.013810287832068,0.08345078340909319,0.31683954218330135,0.1549206853474525
TOTAL,bloque40,conjunto,carbon,361,12.013179354659771,0.000594952513004021,0.4377348087126405,0.568996953632759
DEV,lineal,univariado,gn,298,6.877118854984348,0.009190291684317866,0.38656162670453986,0.0881052844205582
DEV,lineal,univariado,carbon,298,84.0754659973661,8.94380664827375e-18,0.6628779454574826,0.5318147946201544
DEV,lineal,conjunto,gn,298,4.453267871385183,0.03569078324584469,0.3502167777440305,0.08875822957662227
DEV,lineal,conjunto,carbon,298,66.42006422647614,1.1018639314758212e-14,0.7414551456019057,0.5414166411046497
DEV,cubica,univariado,gn,298,10.422528977198585,0.0013882478203710998,0.5209729295316791,0.10800945663493688
DEV,cubica,univariado,carbon,298,3.0868351282746516,0.07998712626595168,0.2733387510187383,0.5722204404789388
DEV,cubica,conjunto,gn,298,3.93192934897785,0.04832739162614566,0.33132430459240414,0.1322185398929262
DEV,cubica,conjunto,carbon,298,3.4095978334398254,0.06584412327302738,0.34295275243145384,0.5763494157912622
DEV,bloque40,univariado,gn,298,4.770272334603123,0.029770265960522492,0.4094563534840544,0.14946949297563294
DEV,bloque40,univariado,carbon,298,10.688417343841094,0.0012103153411573732,0.43813277614480617,0.5671158805301768
DEV,bloque40,conjunto,gn,298,3.752999355202461,0.05370429030244004,0.37258106625277704,0.15305624304020526
DEV,bloque40,conjunto,carbon,298,10.60751268941653,0.001262919321342704,0.45704542700288064,0.5687381918521313
LB,lineal,univariado,gn,63,0.025601695271832075,0.8734526545476934,-0.2544140199580811,0.034836850894517046
LB,lineal,univariado,carbon,63,0.7136376311166965,0.4018335822123053,-0.28948185916660263,0.3020253847921095
LB,lineal,conjunto,gn,63,0.05820633509202742,0.8102508769607478,-0.3715277683781437,0.055883968924863914
LB,lineal,conjunto,carbon,63,0.47723042310609937,0.492584877627659,-0.25772060146913844,0.30564230404979775
LB,cubica,univariado,gn,63,0.1316160477935021,0.7181785008323511,-0.8747976949790961,0.0841852596965893
LB,cubica,univariado,carbon,63,1.06352905289493,0.30700860308479694,-0.3482556509583947,0.32415572014591487
LB,cubica,conjunto,gn,63,0.3074754377687788,0.581565996716331,-1.2685863317677657,0.10981277558846059
LB,cubica,conjunto,carbon,63,1.1675964474581264,0.2847882102807435,-0.40360416453845094,0.32611514217227455
LB,bloque40,univariado,gn,63,0.2637271945184995,0.609627959427469,-0.6300637412050946,0.10571817282823082
LB,bloque40,univariado,carbon,63,0.19328371469710434,0.6619202385944088,0.17993108803226757,0.308892985423204
LB,bloque40,conjunto,gn,63,0.11673584147187425,0.7339281225304438,-0.45400273041791306,0.1227147896318952
LB,bloque40,conjunto,carbon,63,0.03320833724694981,0.856083406815764,0.078504198647614,0.33114358026502433
